counter;index;instructionType;totalChars 
0;0;original;13105 
2;33;VariableDeclaration;13135 
15;79;CallExpression;13126 
17;88;CallExpression;13115 
20;127;CallExpression;13091 
21;133;CallExpression;13077 
22;128;CallExpression;13052 
24;153;CallExpression;13035 
25;152;CallExpression;13022 
27;164;CallExpression;13022 
28;165;CallExpression;13004 
30;195;CallExpression;12981 
32;201;CallExpression;12958 
33;206;CallExpression;12936 
35;220;CallExpression;12921 
36;220;CallExpression;12902 
38;254;CallExpression;12781 
39;249;CallExpression;12660 
41;264;CallExpression;12670 
42;268;CallExpression;12660 
43;266;CallExpression;12639 
45;291;CallExpression;12617 
49;25;Literal;12563 
51;41;Literal;12559 
52;45;Literal;12555 
53;44;Literal;12550 
54;40;Literal;12545 
55;48;Literal;12542 
56;47;Literal;12536 
58;67;Literal;12528 
60;99;Literal;12521 
61;94;Literal;12509 
62;91;Literal;12499 
63;88;Literal;12492 
64;98;Literal;12483 
65;99;Literal;12474 
66;98;Literal;12467 
67;92;Literal;12455 
68;98;Literal;12443 
69;98;Literal;12435 
70;96;Literal;12423 
71;95;Literal;12415 
73;107;Literal;12412 
74;116;Literal;12424 
75;117;Literal;12427 
76;108;Literal;12427 
77;113;Literal;12416 
78;111;Literal;12407 
79;119;Literal;12391 
80;109;Literal;12387 
81;119;Literal;12384 
83;127;Literal;12379 
85;147;Literal;12376 
86;148;Literal;12372 
88;175;Literal;12368 
89;174;Literal;12363 
90;176;Literal;12356 
93;18;ExpressionStatement;12343 
94;12;ExpressionStatement;12330 
96;28;ExpressionStatement;12298 
97;36;ExpressionStatement;12284 
98;28;ExpressionStatement;12194 
99;34;ExpressionStatement;12186 
100;27;ExpressionStatement;12126 
101;34;ExpressionStatement;12112 
102;37;ExpressionStatement;12078 
103;36;ExpressionStatement;12053 
105;40;ExpressionStatement;12041 
106;55;ExpressionStatement;12028 
108;75;ExpressionStatement;12006 
110;90;ExpressionStatement;11964 
111;98;ExpressionStatement;11957 
112;97;ExpressionStatement;11947 
114;111;ExpressionStatement;11935 
115;110;ExpressionStatement;11924 
116;104;ExpressionStatement;11912 
117;106;ExpressionStatement;11902 
118;107;ExpressionStatement;11858 
120;125;ExpressionStatement;11841 
121;132;ExpressionStatement;11781 
122;128;ExpressionStatement;11775 
123;139;ExpressionStatement;11759 
124;129;ExpressionStatement;11723 
125;121;ExpressionStatement;11620 
126;133;ExpressionStatement;11599 
128;153;ExpressionStatement;11554 
129;152;ExpressionStatement;11513 
130;146;ExpressionStatement;11494 
131;157;ExpressionStatement;11481 
133;170;ExpressionStatement;11467 
134;168;ExpressionStatement;11449 
135;178;ExpressionStatement;11417 
137;187;ExpressionStatement;11405 
138;186;ExpressionStatement;11388 
139;185;ExpressionStatement;11369 
147;5;ObjectExpression;11349 
148;11;ObjectExpression;11346 
150;24;ObjectExpression;11343 
151;24;ObjectExpression;11340 
152;28;ObjectExpression;11290 
154;5;Property;11277 
155;5;Property;11269 
156;8;Property;11259 
157;3;Property;11236 
158;11;Property;11170 
159;19;Property;11156 
160;19;Property;11133 
161;18;Property;11122 
164;3;IfStatement;11089 
165;14;IfStatement;11060 
166;3;IfStatement;10994 
167;4;IfStatement;10961 
168;13;IfStatement;10926 
169;8;IfStatement;10890 
170;10;IfStatement;10877 
171;16;IfStatement;10857 
172;19;IfStatement;10820 
173;10;IfStatement;10799 
174;18;IfStatement;10789 
175;18;IfStatement;10725 
177;31;IfStatement;10667 
178;39;IfStatement;10582 
179;36;IfStatement;10571 
180;35;IfStatement;10566 
181;39;IfStatement;10536 
182;39;IfStatement;10502 
184;51;IfStatement;10458 
185;43;IfStatement;10417 
186;53;IfStatement;10383 
187;49;IfStatement;10347 
188;43;IfStatement;10321 
189;40;IfStatement;10283 
190;57;IfStatement;10261 
191;57;IfStatement;10241 
192;57;IfStatement;10205 
194;73;IfStatement;10155 
195;77;IfStatement;10132 
196;63;IfStatement;10132 
197;72;IfStatement;10100 
198;76;IfStatement;10068 
199;71;IfStatement;10036 
200;79;IfStatement;9887 
201;78;IfStatement;9877 
210;10;ReturnStatement;9866 
211;2;ReturnStatement;9852 
212;9;ReturnStatement;9841 
213;8;ReturnStatement;9829 
214;19;ReturnStatement;9806 
215;8;ReturnStatement;9795 
217;33;ReturnStatement;9789 
219;14;ArrayExpression;9786 
220;14;ArrayExpression;9783 
229;33;VariableDeclaration;9783 
230;31;VariableDeclaration;9776 
233;63;VariableDeclaration;9776 
