counter;index;instructionType;totalChars 
0;0;original;129648 
2;4;ExpressionStatement;129634 
3;6;ExpressionStatement;129628 
4;5;ExpressionStatement;129616 
5;6;ExpressionStatement;129609 
6;6;ExpressionStatement;129596 
7;5;ExpressionStatement;129590 
13;25;ExpressionStatement;129577 
14;25;ExpressionStatement;129562 
16;31;ExpressionStatement;129537 
17;31;ExpressionStatement;129509 
24;54;ExpressionStatement;129500 
27;63;ExpressionStatement;129487 
28;61;ExpressionStatement;129474 
32;72;ExpressionStatement;129454 
33;72;ExpressionStatement;129428 
35;79;ExpressionStatement;129404 
36;79;ExpressionStatement;129346 
38;81;ExpressionStatement;129288 
39;80;ExpressionStatement;129264 
49;117;ExpressionStatement;129241 
50;119;ExpressionStatement;129224 
57;142;ExpressionStatement;129191 
60;151;ExpressionStatement;129142 
61;151;ExpressionStatement;129077 
62;149;ExpressionStatement;129044 
63;151;ExpressionStatement;128951 
65;155;ExpressionStatement;128896 
66;155;ExpressionStatement;128843 
70;165;ExpressionStatement;128810 
71;164;ExpressionStatement;128775 
73;169;ExpressionStatement;128742 
74;168;ExpressionStatement;128707 
76;174;ExpressionStatement;128674 
78;177;ExpressionStatement;128639 
79;177;ExpressionStatement;128606 
82;185;ExpressionStatement;128573 
86;197;ExpressionStatement;128538 
87;198;ExpressionStatement;128521 
90;207;ExpressionStatement;128497 
92;209;ExpressionStatement;128469 
93;208;ExpressionStatement;128440 
98;227;ExpressionStatement;128422 
100;231;ExpressionStatement;128404 
101;228;ExpressionStatement;128377 
103;233;ExpressionStatement;128359 
105;236;ExpressionStatement;128314 
111;256;ExpressionStatement;128233 
114;265;ExpressionStatement;128185 
116;270;ExpressionStatement;128141 
122;288;ExpressionStatement;128108 
124;295;ExpressionStatement;128060 
129;309;ExpressionStatement;127992 
131;313;ExpressionStatement;127957 
132;313;ExpressionStatement;127924 
135;320;ExpressionStatement;127891 
136;323;ExpressionStatement;127858 
141;336;ExpressionStatement;127775 
142;336;ExpressionStatement;127742 
143;336;ExpressionStatement;127707 
144;339;ExpressionStatement;127674 
145;339;ExpressionStatement;127639 
148;347;ExpressionStatement;127604 
149;347;ExpressionStatement;127571 
151;350;ExpressionStatement;127536 
152;350;ExpressionStatement;127503 
154;355;ExpressionStatement;127470 
156;358;ExpressionStatement;127435 
157;358;ExpressionStatement;127402 
159;362;ExpressionStatement;127369 
160;361;ExpressionStatement;127334 
163;370;ExpressionStatement;127301 
166;376;ExpressionStatement;127292 
169;386;ExpressionStatement;127263 
170;385;ExpressionStatement;127239 
171;387;ExpressionStatement;127204 
172;387;ExpressionStatement;127171 
174;390;ExpressionStatement;127138 
175;391;ExpressionStatement;127081 
176;391;ExpressionStatement;127035 
180;400;ExpressionStatement;127028 
182;406;ExpressionStatement;126995 
183;405;ExpressionStatement;126960 
186;413;ExpressionStatement;126932 
187;412;ExpressionStatement;126904 
188;415;ExpressionStatement;126867 
189;415;ExpressionStatement;126835 
199;451;ExpressionStatement;126809 
200;451;ExpressionStatement;126780 
202;452;ExpressionStatement;126691 
206;466;ExpressionStatement;126681 
223;528;ExpressionStatement;126648 
227;540;ExpressionStatement;126615 
231;552;ExpressionStatement;126608 
233;556;ExpressionStatement;126601 
236;564;ExpressionStatement;126594 
237;565;ExpressionStatement;126571 
239;569;ExpressionStatement;126564 
241;573;ExpressionStatement;126557 
245;584;ExpressionStatement;126550 
247;589;ExpressionStatement;126543 
251;602;ExpressionStatement;126510 
262;640;ExpressionStatement;126480 
266;655;ExpressionStatement;126437 
271;669;ExpressionStatement;126404 
278;695;ExpressionStatement;126379 
280;698;ExpressionStatement;126355 
281;698;ExpressionStatement;126326 
282;698;ExpressionStatement;126300 
286;711;ExpressionStatement;126284 
288;714;ExpressionStatement;126261 
289;713;ExpressionStatement;126203 
291;717;ExpressionStatement;126154 
298;742;ExpressionStatement;126122 
303;756;ExpressionStatement;126098 
304;756;ExpressionStatement;126070 
308;768;ExpressionStatement;126039 
309;768;ExpressionStatement;126013 
310;769;ExpressionStatement;125986 
312;773;ExpressionStatement;125958 
313;774;ExpressionStatement;125927 
314;775;ExpressionStatement;125901 
316;777;ExpressionStatement;125874 
318;781;ExpressionStatement;125842 
321;791;ExpressionStatement;125824 
323;792;ExpressionStatement;125797 
324;794;ExpressionStatement;125779 
327;800;ExpressionStatement;125774 
333;823;ExpressionStatement;125751 
334;821;ExpressionStatement;125727 
336;825;ExpressionStatement;125703 
354;895;ExpressionStatement;125690 
355;893;ExpressionStatement;125677 
356;895;ExpressionStatement;125664 
358;896;ExpressionStatement;125647 
360;901;ExpressionStatement;125626 
363;910;ExpressionStatement;125613 
364;911;ExpressionStatement;125574 
368;922;ExpressionStatement;125547 
371;930;ExpressionStatement;125534 
373;932;ExpressionStatement;125513 
386;982;ExpressionStatement;125508 
399;1029;ExpressionStatement;125503 
401;1035;ExpressionStatement;125489 
411;1068;ExpressionStatement;125455 
413;1074;ExpressionStatement;125319 
418;1090;ExpressionStatement;125250 
434;1148;ExpressionStatement;125225 
440;1171;ExpressionStatement;125208 
441;1171;ExpressionStatement;125195 
