counter;index;instructionType;totalChars 
0;0;original;1861 
1;5;ExpressionStatement;1842 
2;12;ExpressionStatement;1826 
3;0;ExpressionStatement;1813 
8;89;Identifier;1832 
10;144;Identifier;1830 
11;144;Identifier;1829 
21;26;Literal;1827 
22;34;Literal;1808 
25;2;FunctionExpression;1754 
27;3;IfStatement;1743 
28;7;IfStatement;1722 
29;4;IfStatement;1630 
30;4;IfStatement;1625 
32;16;BinaryExpression;1587 
36;64;MemberExpression;1575 
38;15;ExpressionStatement;1564 
39;1;ExpressionStatement;1546 
40;17;ExpressionStatement;1518 
41;2;ExpressionStatement;1476 
42;12;ExpressionStatement;1473 
43;13;ExpressionStatement;1444 
48;10;ReturnStatement;1375 
49;10;ReturnStatement;1363 
50;11;ReturnStatement;1363 
53;1;RESTART;1363 
