counter;index;instructionType;totalChars 
0;0;original;8743 
1;27;ExpressionStatement;8714 
6;34;Literal;8647 
7;35;Literal;8580 
9;42;Literal;8575 
10;75;Literal;8510 
11;73;Literal;8445 
13;87;Literal;8378 
14;85;Literal;8312 
15;93;Literal;8287 
16;93;Literal;8278 
18;123;Literal;8237 
19;145;Literal;8234 
20;139;Literal;8216 
22;186;Literal;8200 
23;183;Literal;8181 
24;177;Literal;8164 
25;168;Literal;8098 
26;177;Literal;8064 
27;178;Literal;8061 
28;197;Literal;8060 
38;63;Identifier;8060 
40;86;Identifier;8060 
42;159;Identifier;8058 
43;159;Identifier;8057 
44;149;Identifier;8056 
46;195;Identifier;8056 
47;162;Identifier;8054 
48;191;Identifier;8052 
49;174;Identifier;8044 
51;229;Identifier;8044 
54;293;Identifier;8044 
55;306;Identifier;8044 
58;363;Identifier;8042 
60;407;Identifier;8042 
62;471;Identifier;8042 
65;546;Identifier;8042 
66;535;Identifier;8042 
68;575;Identifier;8042 
69;563;Identifier;8041 
70;562;Identifier;8040 
71;563;Identifier;8039 
73;620;Identifier;8039 
76;696;Identifier;8039 
77;683;Identifier;8039 
79;736;Identifier;8038 
80;755;Identifier;8038 
81;747;Identifier;8037 
84;836;Identifier;8036 
86;868;Identifier;8036 
87;868;Identifier;8035 
89;914;Identifier;8033 
90;895;Identifier;8036 
124;62;CallExpression;8018 
125;53;CallExpression;8000 
