counter;index;instructionType;totalChars 
0;0;original;86954 
1;3;ExpressionStatement;86952 
2;4;ExpressionStatement;86944 
3;1;ExpressionStatement;86931 
4;3;ExpressionStatement;86922 
5;3;ExpressionStatement;86868 
6;4;ExpressionStatement;86842 
8;5;ExpressionStatement;86683 
9;6;ExpressionStatement;86679 
10;5;ExpressionStatement;86637 
11;8;ExpressionStatement;86632 
12;9;ExpressionStatement;86632 
13;9;ExpressionStatement;86632 
14;9;ExpressionStatement;86632 
15;9;ExpressionStatement;86632 
17;11;ExpressionStatement;86528 
18;14;ExpressionStatement;86492 
19;12;ExpressionStatement;86488 
20;13;ExpressionStatement;86472 
21;13;ExpressionStatement;86461 
22;14;ExpressionStatement;86457 
23;13;ExpressionStatement;86444 
24;13;ExpressionStatement;86415 
25;14;ExpressionStatement;86401 
26;13;ExpressionStatement;86394 
27;13;ExpressionStatement;86376 
28;13;ExpressionStatement;86342 
29;11;ExpressionStatement;86342 
30;12;ExpressionStatement;86342 
31;14;ExpressionStatement;86334 
32;12;ExpressionStatement;86329 
33;14;ExpressionStatement;86250 
34;12;ExpressionStatement;86224 
35;13;ExpressionStatement;86183 
36;12;ExpressionStatement;86161 
37;13;ExpressionStatement;86018 
38;13;ExpressionStatement;86004 
39;13;ExpressionStatement;86001 
40;14;ExpressionStatement;85969 
41;12;ExpressionStatement;85897 
42;12;ExpressionStatement;85661 
43;13;ExpressionStatement;85661 
44;14;ExpressionStatement;85653 
45;13;ExpressionStatement;85653 
46;13;ExpressionStatement;85637 
47;14;ExpressionStatement;85627 
48;13;ExpressionStatement;85620 
49;14;ExpressionStatement;85583 
50;13;ExpressionStatement;85573 
51;12;ExpressionStatement;85573 
52;12;ExpressionStatement;85534 
53;14;ExpressionStatement;85516 
54;14;ExpressionStatement;85488 
55;13;ExpressionStatement;85484 
56;14;ExpressionStatement;85473 
57;12;ExpressionStatement;85470 
58;13;ExpressionStatement;85448 
59;13;ExpressionStatement;85322 
60;14;ExpressionStatement;85322 
61;12;ExpressionStatement;85317 
62;12;ExpressionStatement;85283 
63;14;ExpressionStatement;85275 
64;13;ExpressionStatement;85254 
65;13;ExpressionStatement;85225 
66;13;ExpressionStatement;85218 
67;13;ExpressionStatement;85195 
68;12;ExpressionStatement;85195 
69;12;ExpressionStatement;85190 
70;12;ExpressionStatement;85165 
72;18;ExpressionStatement;85131 
73;19;ExpressionStatement;85050 
74;17;ExpressionStatement;85035 
75;18;ExpressionStatement;84918 
76;17;ExpressionStatement;84872 
77;17;ExpressionStatement;84813 
78;19;ExpressionStatement;84711 
79;18;ExpressionStatement;84688 
80;17;ExpressionStatement;84603 
81;19;ExpressionStatement;84342 
82;18;ExpressionStatement;84195 
83;17;ExpressionStatement;84091 
84;19;ExpressionStatement;83962 
85;17;ExpressionStatement;83684 
86;19;ExpressionStatement;83204 
87;19;ExpressionStatement;82694 
88;19;ExpressionStatement;82603 
89;19;ExpressionStatement;82567 
90;19;ExpressionStatement;82531 
91;18;ExpressionStatement;82526 
92;18;ExpressionStatement;82138 
93;17;ExpressionStatement;82110 
94;18;ExpressionStatement;81624 
95;18;ExpressionStatement;81575 
96;18;ExpressionStatement;81295 
97;17;ExpressionStatement;81007 
98;17;ExpressionStatement;80937 
99;17;ExpressionStatement;80657 
100;17;ExpressionStatement;80442 
101;17;ExpressionStatement;80360 
102;19;ExpressionStatement;80332 
103;18;ExpressionStatement;80214 
104;18;ExpressionStatement;80204 
105;17;ExpressionStatement;80158 
106;18;ExpressionStatement;80147 
107;17;ExpressionStatement;79900 
108;18;ExpressionStatement;79875 
109;18;ExpressionStatement;79831 
110;18;ExpressionStatement;79804 
111;18;ExpressionStatement;79779 
112;18;ExpressionStatement;79764 
113;18;ExpressionStatement;79704 
114;18;ExpressionStatement;79670 
115;18;ExpressionStatement;79643 
116;18;ExpressionStatement;79624 
117;18;ExpressionStatement;79603 
118;18;ExpressionStatement;79582 
119;19;ExpressionStatement;79579 
120;19;ExpressionStatement;79544 
121;18;ExpressionStatement;79538 
122;18;ExpressionStatement;79519 
123;18;ExpressionStatement;79515 
124;18;ExpressionStatement;79497 
125;18;ExpressionStatement;79461 
126;18;ExpressionStatement;79450 
127;18;ExpressionStatement;79433 
128;18;ExpressionStatement;79423 
129;18;ExpressionStatement;79403 
130;18;ExpressionStatement;79379 
131;18;ExpressionStatement;79375 
132;18;ExpressionStatement;79357 
133;18;ExpressionStatement;79327 
134;18;ExpressionStatement;79324 
135;19;ExpressionStatement;79322 
136;18;ExpressionStatement;79286 
137;18;ExpressionStatement;79280 
138;19;ExpressionStatement;79269 
139;19;ExpressionStatement;79265 
140;19;ExpressionStatement;79253 
141;19;ExpressionStatement;79251 
142;19;ExpressionStatement;79221 
143;18;ExpressionStatement;79166 
144;18;ExpressionStatement;79142 
145;19;ExpressionStatement;79128 
146;19;ExpressionStatement;79118 
147;18;ExpressionStatement;79105 
148;18;ExpressionStatement;79086 
149;18;ExpressionStatement;79053 
150;18;ExpressionStatement;79020 
151;18;ExpressionStatement;79003 
152;18;ExpressionStatement;78975 
153;19;ExpressionStatement;78966 
154;19;ExpressionStatement;78957 
155;19;ExpressionStatement;78948 
156;19;ExpressionStatement;78921 
157;18;ExpressionStatement;78912 
158;18;ExpressionStatement;78811 
159;18;ExpressionStatement;78686 
160;18;ExpressionStatement;78654 
161;18;ExpressionStatement;78619 
162;19;ExpressionStatement;78615 
163;19;ExpressionStatement;78620 
164;19;ExpressionStatement;78619 
165;18;ExpressionStatement;78160 
166;18;ExpressionStatement;78142 
167;18;ExpressionStatement;78136 
168;19;ExpressionStatement;78127 
169;18;ExpressionStatement;78089 
170;19;ExpressionStatement;78078 
171;18;ExpressionStatement;78064 
172;18;ExpressionStatement;78052 
173;19;ExpressionStatement;78041 
174;19;ExpressionStatement;78028 
175;18;ExpressionStatement;78004 
176;19;ExpressionStatement;77995 
177;18;ExpressionStatement;77981 
178;19;ExpressionStatement;77970 
179;18;ExpressionStatement;77959 
180;18;ExpressionStatement;77928 
181;19;ExpressionStatement;77917 
182;18;ExpressionStatement;77913 
183;18;ExpressionStatement;77895 
184;18;ExpressionStatement;77877 
185;19;ExpressionStatement;77856 
186;19;ExpressionStatement;77822 
187;19;ExpressionStatement;77809 
188;19;ExpressionStatement;77787 
189;19;ExpressionStatement;77771 
190;19;ExpressionStatement;77758 
191;18;ExpressionStatement;77748 
192;19;ExpressionStatement;77743 
193;19;ExpressionStatement;77733 
194;19;ExpressionStatement;77714 
195;19;ExpressionStatement;77710 
196;19;ExpressionStatement;77705 
197;19;ExpressionStatement;77694 
198;18;ExpressionStatement;77647 
199;19;ExpressionStatement;77637 
200;18;ExpressionStatement;77622 
201;18;ExpressionStatement;77615 
202;19;ExpressionStatement;77549 
203;18;ExpressionStatement;77536 
204;18;ExpressionStatement;77533 
205;19;ExpressionStatement;77533 
206;18;ExpressionStatement;77523 
207;19;ExpressionStatement;77510 
208;18;ExpressionStatement;77498 
209;19;ExpressionStatement;77494 
210;18;ExpressionStatement;77473 
211;18;ExpressionStatement;77464 
212;18;ExpressionStatement;75811 
213;18;ExpressionStatement;75024 
214;18;ExpressionStatement;74952 
215;18;ExpressionStatement;74930 
216;19;ExpressionStatement;74835 
217;19;ExpressionStatement;74803 
218;19;ExpressionStatement;74697 
219;19;ExpressionStatement;74674 
220;19;ExpressionStatement;74635 
221;19;ExpressionStatement;74427 
222;19;ExpressionStatement;74361 
224;21;ExpressionStatement;74332 
225;23;ExpressionStatement;74311 
226;21;ExpressionStatement;74273 
227;23;ExpressionStatement;74245 
228;22;ExpressionStatement;74221 
229;22;ExpressionStatement;74205 
230;21;ExpressionStatement;74186 
231;22;ExpressionStatement;74167 
232;21;ExpressionStatement;74143 
233;22;ExpressionStatement;74122 
234;22;ExpressionStatement;73317 
235;24;ExpressionStatement;73268 
236;23;ExpressionStatement;73246 
237;23;ExpressionStatement;73221 
238;21;ExpressionStatement;73042 
239;21;ExpressionStatement;73028 
240;22;ExpressionStatement;73015 
241;24;ExpressionStatement;73000 
242;23;ExpressionStatement;72959 
243;21;ExpressionStatement;72886 
244;23;ExpressionStatement;72876 
245;21;ExpressionStatement;72857 
246;21;ExpressionStatement;72857 
247;22;ExpressionStatement;72839 
248;24;ExpressionStatement;72824 
249;23;ExpressionStatement;72058 
250;22;ExpressionStatement;72049 
251;21;ExpressionStatement;72033 
252;24;ExpressionStatement;72017 
253;23;ExpressionStatement;71744 
254;21;ExpressionStatement;70745 
256;26;ExpressionStatement;70735 
257;28;ExpressionStatement;70730 
258;27;ExpressionStatement;70716 
259;27;ExpressionStatement;70708 
260;29;ExpressionStatement;70706 
261;29;ExpressionStatement;70691 
262;27;ExpressionStatement;70670 
264;32;ExpressionStatement;70651 
265;33;ExpressionStatement;70557 
266;33;ExpressionStatement;70547 
267;34;ExpressionStatement;70540 
268;34;ExpressionStatement;70533 
269;34;ExpressionStatement;70521 
270;34;ExpressionStatement;70513 
273;44;ExpressionStatement;70268 
274;44;ExpressionStatement;70246 
275;43;ExpressionStatement;70212 
277;45;ExpressionStatement;70181 
278;47;ExpressionStatement;70172 
280;50;ExpressionStatement;70129 
281;54;ExpressionStatement;70086 
282;50;ExpressionStatement;70077 
283;54;ExpressionStatement;70023 
285;59;ExpressionStatement;70015 
288;66;ExpressionStatement;69970 
289;69;ExpressionStatement;69752 
290;65;ExpressionStatement;69740 
291;65;ExpressionStatement;69720 
292;68;ExpressionStatement;69687 
293;69;ExpressionStatement;69635 
294;68;ExpressionStatement;69598 
295;69;ExpressionStatement;69582 
296;69;ExpressionStatement;69555 
297;69;ExpressionStatement;69526 
298;69;ExpressionStatement;69481 
299;69;ExpressionStatement;69449 
300;66;ExpressionStatement;69425 
301;68;ExpressionStatement;69415 
302;69;ExpressionStatement;69371 
303;69;ExpressionStatement;69304 
304;69;ExpressionStatement;69298 
305;68;ExpressionStatement;69271 
306;68;ExpressionStatement;69250 
307;67;ExpressionStatement;69136 
308;67;ExpressionStatement;69131 
309;69;ExpressionStatement;69122 
310;67;ExpressionStatement;69114 
311;69;ExpressionStatement;69070 
312;68;ExpressionStatement;69065 
313;68;ExpressionStatement;69027 
314;68;ExpressionStatement;68996 
315;67;ExpressionStatement;68975 
316;66;ExpressionStatement;68943 
317;68;ExpressionStatement;68936 
318;67;ExpressionStatement;68034 
319;68;ExpressionStatement;68007 
320;69;ExpressionStatement;67992 
321;67;ExpressionStatement;67938 
322;68;ExpressionStatement;67922 
323;66;ExpressionStatement;67910 
324;67;ExpressionStatement;67664 
325;68;ExpressionStatement;67646 
326;69;ExpressionStatement;67634 
327;69;ExpressionStatement;67620 
328;68;ExpressionStatement;67610 
329;68;ExpressionStatement;67576 
330;66;ExpressionStatement;67385 
331;67;ExpressionStatement;67355 
332;69;ExpressionStatement;67293 
333;67;ExpressionStatement;67279 
334;67;ExpressionStatement;67205 
335;68;ExpressionStatement;67189 
336;67;ExpressionStatement;67151 
337;67;ExpressionStatement;67134 
338;67;ExpressionStatement;66555 
339;67;ExpressionStatement;65916 
340;66;ExpressionStatement;65570 
341;69;ExpressionStatement;65462 
342;69;ExpressionStatement;65448 
343;69;ExpressionStatement;65438 
344;67;ExpressionStatement;65417 
345;69;ExpressionStatement;65409 
346;67;ExpressionStatement;65394 
347;67;ExpressionStatement;65385 
348;69;ExpressionStatement;65367 
349;69;ExpressionStatement;65355 
350;69;ExpressionStatement;65318 
351;66;ExpressionStatement;65311 
352;68;ExpressionStatement;65302 
353;69;ExpressionStatement;65289 
354;68;ExpressionStatement;65271 
355;68;ExpressionStatement;65243 
356;69;ExpressionStatement;65203 
357;66;ExpressionStatement;65195 
358;69;ExpressionStatement;65187 
359;69;ExpressionStatement;65180 
360;69;ExpressionStatement;65079 
361;69;ExpressionStatement;65106 
362;67;ExpressionStatement;65079 
363;69;ExpressionStatement;64959 
364;67;ExpressionStatement;64959 
365;68;ExpressionStatement;64945 
366;68;ExpressionStatement;64912 
367;67;ExpressionStatement;64912 
368;67;ExpressionStatement;64870 
369;67;ExpressionStatement;64647 
370;69;ExpressionStatement;64635 
371;67;ExpressionStatement;64613 
372;68;ExpressionStatement;64585 
373;66;ExpressionStatement;64581 
374;66;ExpressionStatement;64527 
375;68;ExpressionStatement;64473 
376;69;ExpressionStatement;64445 
377;69;ExpressionStatement;64417 
378;67;ExpressionStatement;64415 
379;69;ExpressionStatement;64377 
380;69;ExpressionStatement;64370 
381;68;ExpressionStatement;64327 
382;67;ExpressionStatement;64320 
383;67;ExpressionStatement;64264 
384;67;ExpressionStatement;64251 
385;67;ExpressionStatement;64238 
