counter;index;instructionType;totalChars 
0;0;original;12325 
2;77;VariableDeclaration;12262 
3;56;VariableDeclaration;12263 
4;62;VariableDeclaration;12200 
5;55;VariableDeclaration;12165 
6;69;VariableDeclaration;12165 
7;60;VariableDeclaration;12163 
8;54;VariableDeclaration;12164 
9;51;VariableDeclaration;12133 
10;76;VariableDeclaration;12131 
11;68;VariableDeclaration;12068 
12;77;VariableDeclaration;12072 
13;69;VariableDeclaration;12070 
14;75;VariableDeclaration;12071 
15;63;VariableDeclaration;12007 
16;69;VariableDeclaration;12007 
17;56;VariableDeclaration;12005 
18;52;VariableDeclaration;11998 
19;72;VariableDeclaration;11991 
20;77;VariableDeclaration;11959 
21;58;VariableDeclaration;11957 
22;54;VariableDeclaration;11922 
23;75;VariableDeclaration;11922 
24;57;VariableDeclaration;11858 
25;45;VariableDeclaration;11827 
26;65;VariableDeclaration;11785 
27;59;VariableDeclaration;11722 
28;46;VariableDeclaration;11691 
29;66;VariableDeclaration;11659 
30;54;VariableDeclaration;11596 
31;77;VariableDeclaration;11596 
32;72;VariableDeclaration;11567 
33;65;VariableDeclaration;11568 
34;59;VariableDeclaration;11505 
35;78;VariableDeclaration;11472 
36;69;VariableDeclaration;11473 
37;54;VariableDeclaration;11473 
38;77;VariableDeclaration;11440 
39;70;VariableDeclaration;11440 
42;137;VariableDeclaration;11396 
43;135;VariableDeclaration;11377 
44;134;VariableDeclaration;11378 
45;138;VariableDeclaration;11374 
51;21;CallExpression;11365 
52;21;CallExpression;11329 
57;64;Literal;11329 
59;114;Literal;11333 
60;115;Literal;11333 
61;108;Literal;11331 
63;151;Literal;11328 
64;141;Literal;11323 
66;185;Literal;11324 
68;236;Literal;11280 
73;28;ExpressionStatement;11188 
74;35;ExpressionStatement;11091 
75;19;ExpressionStatement;11074 
76;25;ExpressionStatement;11057 
77;34;ExpressionStatement;11038 
78;37;ExpressionStatement;11019 
79;33;ExpressionStatement;10902 
80;31;ExpressionStatement;10883 
81;31;ExpressionStatement;10839 
82;22;ExpressionStatement;10610 
83;34;ExpressionStatement;10489 
84;10;ExpressionStatement;10454 
85;33;ExpressionStatement;10326 
86;30;ExpressionStatement;10205 
87;33;ExpressionStatement;10081 
88;35;ExpressionStatement;10049 
89;16;ExpressionStatement;10038 
90;25;ExpressionStatement;9936 
91;30;ExpressionStatement;9880 
92;31;ExpressionStatement;9861 
94;71;ExpressionStatement;9842 
95;60;ExpressionStatement;9713 
96;68;ExpressionStatement;9690 
97;71;ExpressionStatement;9667 
98;58;ExpressionStatement;9648 
99;55;ExpressionStatement;9616 
100;65;ExpressionStatement;9509 
101;70;ExpressionStatement;9490 
102;64;ExpressionStatement;9423 
103;46;ExpressionStatement;9400 
104;61;ExpressionStatement;9295 
105;73;ExpressionStatement;9237 
106;74;ExpressionStatement;9214 
107;75;ExpressionStatement;9136 
108;78;ExpressionStatement;9106 
109;79;ExpressionStatement;9086 
110;71;ExpressionStatement;8998 
111;73;ExpressionStatement;8920 
112;58;ExpressionStatement;8897 
113;78;ExpressionStatement;8877 
114;44;ExpressionStatement;8832 
115;70;ExpressionStatement;8801 
116;54;ExpressionStatement;8778 
117;64;ExpressionStatement;8650 
118;74;ExpressionStatement;8597 
119;73;ExpressionStatement;8577 
120;79;ExpressionStatement;8538 
121;69;ExpressionStatement;8500 
122;69;ExpressionStatement;8419 
123;64;ExpressionStatement;8364 
124;61;ExpressionStatement;8253 
125;60;ExpressionStatement;8221 
