counter;index;instructionType;totalChars 
0;0;original;4800 
1;0;ExpressionStatement;4787 
5;19;VariableDeclaration;4805 
9;30;VariableDeclaration;4803 
10;30;VariableDeclaration;4801 
21;14;CallExpression;4786 
26;33;CallExpression;4773 
27;32;CallExpression;4736 
28;34;CallExpression;4691 
33;52;CallExpression;4691 
36;64;CallExpression;4673 
37;63;CallExpression;4668 
44;15;Literal;4652 
45;15;Literal;4642 
46;19;Literal;4631 
47;19;Literal;4619 
48;19;Literal;4609 
49;19;Literal;4600 
50;19;Literal;4589 
51;19;Literal;4576 
52;19;Literal;4562 
53;19;Literal;4552 
54;19;Literal;4541 
55;19;Literal;4528 
57;20;Literal;4514 
58;20;Literal;4514 
59;24;Literal;4511 
60;20;Literal;4504 
62;28;Literal;4455 
64;32;Literal;4448 
67;7;ExpressionStatement;4370 
68;9;ExpressionStatement;4350 
69;8;ExpressionStatement;4329 
71;10;ExpressionStatement;4247 
72;11;ExpressionStatement;4247 
73;12;ExpressionStatement;4232 
74;13;ExpressionStatement;4212 
75;13;ExpressionStatement;4137 
76;12;ExpressionStatement;4111 
78;16;ExpressionStatement;4091 
79;19;ExpressionStatement;4069 
80;17;ExpressionStatement;4049 
81;17;ExpressionStatement;4029 
82;15;ExpressionStatement;4009 
83;16;ExpressionStatement;4009 
86;28;ExpressionStatement;3972 
87;28;ExpressionStatement;3928 
90;38;ExpressionStatement;3786 
103;1;FunctionDeclaration;3621 
105;1;ReturnStatement;3598 
107;5;ReturnStatement;3598 
109;14;ReturnStatement;3598 
119;8;Property;3546 
120;9;Property;3536 
121;6;Property;3526 
122;5;Property;3514 
123;8;Property;3486 
125;10;Property;3468 
127;15;Property;3435 
128;19;Property;3387 
129;19;Property;3369 
131;21;Property;3355 
132;21;Property;3331 
133;22;Property;3301 
134;24;Property;3273 
135;23;Property;3255 
137;28;Property;3237 
138;26;Property;3219 
139;29;Property;3205 
140;28;Property;3175 
142;30;Property;3145 
143;33;Property;3113 
144;31;Property;3095 
146;3;IfStatement;3079 
148;8;IfStatement;3037 
149;6;IfStatement;3037 
150;6;IfStatement;3013 
153;5;BinaryExpression;2987 
158;3;VariableDeclaration;2943 
186;3;ExpressionStatement;2924 
157;0;RESTART;2924 
228;1;RESTART;2924 
