counter;index;instructionType;totalChars 
0;0;original;1722 
1;11;ExpressionStatement;1711 
2;6;ExpressionStatement;1431 
3;4;ExpressionStatement;1419 
4;7;ExpressionStatement;1402 
5;8;ExpressionStatement;1374 
6;0;ExpressionStatement;1361 
7;6;VariableDeclaration;1361 
8;7;VariableDeclaration;1326 
9;8;VariableDeclaration;1312 
12;11;Identifier;1311 
15;51;Identifier;1316 
16;56;Identifier;1315 
19;84;Identifier;1314 
21;104;Identifier;1319 
22;119;Identifier;1322 
24;127;Identifier;1321 
25;120;Identifier;1316 
26;121;Identifier;1315 
37;19;CallExpression;1307 
38;15;CallExpression;1294 
39;6;CallExpression;1285 
40;10;CallExpression;1275 
41;5;CallExpression;1250 
42;5;CallExpression;1238 
45;23;Literal;1239 
46;22;Literal;1210 
49;8;MemberExpression;1171 
51;25;MemberExpression;1159 
52;26;MemberExpression;1153 
54;2;ObjectExpression;1087 
55;2;ObjectExpression;1017 
56;2;ObjectExpression;994 
57;3;ObjectExpression;921 
59;7;ExpressionStatement;897 
61;2;FunctionExpression;885 
64;0;Property;873 
65;4;Property;855 
66;4;Property;813 
67;1;Property;792 
68;2;Property;780 
69;5;Property;753 
70;3;Property;741 
71;5;Property;701 
73;0;IfStatement;693 
74;2;IfStatement;678 
75;2;IfStatement;663 
78;4;ReturnStatement;645 
79;3;ReturnStatement;645 
81;1;FunctionDeclaration;624 
82;1;FunctionDeclaration;598 
85;1;VariableDeclaration;578 
86;4;VariableDeclaration;578 
89;18;Identifier;577 
91;21;Identifier;576 
92;24;Identifier;574 
93;31;Identifier;572 
94;31;Identifier;571 
95;39;Identifier;569 
96;39;Identifier;568 
98;52;Identifier;567 
84;0;RESTART;567 
123;1;RESTART;567 
