counter;index;instructionType;totalChars 
0;0;original;16161 
3;2;ExpressionStatement;16133 
4;2;ExpressionStatement;16119 
6;3;ExpressionStatement;16101 
9;5;ExpressionStatement;16087 
10;5;ExpressionStatement;16042 
44;38;ExpressionStatement;16021 
53;46;ExpressionStatement;16000 
92;84;ExpressionStatement;15988 
169;160;ExpressionStatement;15981 
172;162;ExpressionStatement;15972 
183;172;ExpressionStatement;15966 
184;172;ExpressionStatement;15954 
234;221;ExpressionStatement;15946 
235;221;ExpressionStatement;15937 
243;228;ExpressionStatement;15882 
244;228;ExpressionStatement;15772 
251;234;ExpressionStatement;15729 
264;246;ExpressionStatement;15725 
286;267;ExpressionStatement;15680 
303;283;ExpressionStatement;15634 
307;2;CallExpression;15614 
480;174;CallExpression;15599 
481;174;CallExpression;15536 
594;286;CallExpression;15523 
599;290;CallExpression;15497 
634;1;FunctionExpression;15488 
638;4;FunctionExpression;15472 
706;71;FunctionExpression;15452 
792;1;VariableDeclaration;15446 
796;4;VariableDeclaration;15443 
807;14;VariableDeclaration;15436 
820;26;VariableDeclaration;15442 
877;82;VariableDeclaration;15442 
878;82;VariableDeclaration;15455 
903;106;VariableDeclaration;15455 
905;107;VariableDeclaration;15374 
906;107;VariableDeclaration;15355 
907;107;VariableDeclaration;15359 
908;107;VariableDeclaration;15309 
909;107;VariableDeclaration;15310 
910;107;VariableDeclaration;15310 
969;165;VariableDeclaration;15291 
983;6;VariableDeclarator;15313 
984;6;VariableDeclarator;15307 
1032;53;VariableDeclarator;15317 
1033;53;VariableDeclarator;15343 
1038;57;VariableDeclarator;15353 
1039;57;VariableDeclarator;15379 
1046;63;VariableDeclarator;15389 
1101;117;VariableDeclarator;15387 
1103;118;VariableDeclarator;15393 
1108;122;VariableDeclarator;15421 
1109;122;VariableDeclarator;15434 
1117;129;VariableDeclarator;15444 
1118;129;VariableDeclarator;15466 
1139;149;VariableDeclarator;15502 
1152;161;VariableDeclarator;15508 
1157;165;VariableDeclarator;15527 
1158;165;VariableDeclarator;15537 
1177;183;VariableDeclarator;15543 
1210;3;IfStatement;15503 
1211;3;IfStatement;15480 
1238;29;IfStatement;15442 
1242;32;IfStatement;15437 
1243;32;IfStatement;15414 
1245;33;IfStatement;15404 
1273;60;IfStatement;15386 
1279;65;IfStatement;15363 
1282;67;IfStatement;15335 
1283;67;IfStatement;15312 
1287;70;IfStatement;15289 
1292;74;IfStatement;15274 
1293;74;IfStatement;15226 
1294;74;IfStatement;15175 
1298;77;IfStatement;15162 
1300;78;IfStatement;15110 
1311;88;IfStatement;15078 
1326;102;IfStatement;15067 
1328;103;IfStatement;15042 
1329;103;IfStatement;15042 
1332;105;IfStatement;15029 
1337;109;IfStatement;14976 
1338;109;IfStatement;14938 
1391;51;BinaryExpression;14924 
1408;67;BinaryExpression;14919 
1457;115;BinaryExpression;14866 
1460;117;BinaryExpression;14866 
1508;164;BinaryExpression;14825 
1556;4;ReturnStatement;14818 
1557;4;ReturnStatement;14771 
1558;4;ReturnStatement;14699 
1571;16;ReturnStatement;14704 
1601;45;ReturnStatement;14704 
1641;84;ReturnStatement;14691 
1644;86;ReturnStatement;14682 
1664;105;ReturnStatement;14670 
1703;143;ReturnStatement;14670 
1721;160;ReturnStatement;14670 
1728;166;ReturnStatement;14661 
1762;24;UnaryExpression;14661 
1763;24;UnaryExpression;14661 
1789;49;UnaryExpression;14610 
2117;25;Literal;14608 
2144;51;Literal;14606 
2169;75;Literal;14603 
2170;75;Literal;14601 
2193;97;Literal;14599 
2220;123;Literal;14562 
2225;127;Literal;14521 
2228;129;Literal;14519 
2230;130;Literal;14517 
2231;130;Literal;14512 
2253;151;Literal;14510 
2257;154;Literal;14508 
2265;161;Literal;14501 
2279;174;Literal;14499 
2283;177;Literal;14497 
2284;177;Literal;14495 
2285;177;Literal;14493 
2286;177;Literal;14491 
2310;200;Literal;14489 
2359;248;Literal;14487 
2374;262;Literal;14483 
2377;264;Literal;14476 
2380;266;Literal;14469 
2384;269;Literal;14462 
2385;269;Literal;14454 
2440;4;FunctionDeclaration;14454 
2464;1;Property;14446 
2466;2;Property;14434 
2477;12;Property;14425 
2632;150;ExpressionStatement;14425 
2755;1;CallExpression;14407 
3062;3;FunctionExpression;14393 
3318;106;VariableDeclaration;14393 
3386;2;VariableDeclarator;14374 
3513;128;VariableDeclarator;14374 
3620;25;IfStatement;14349 
3912;2;ReturnStatement;14315 
4582;149;Literal;14312 
4583;149;Literal;14309 
4585;150;Literal;14306 
4586;150;Literal;14303 
2481;0;RESTART;14303 
