counter;index;instructionType;totalChars 
0;0;original;71864 
1;8;ExpressionStatement;71827 
2;0;ExpressionStatement;71814 
11;0;IfStatement;71754 
12;6;ExpressionStatement;71737 
13;9;ExpressionStatement;71694 
16;21;ExpressionStatement;71669 
18;37;ExpressionStatement;71626 
19;36;ExpressionStatement;71582 
22;56;ExpressionStatement;71574 
23;54;ExpressionStatement;71548 
24;56;ExpressionStatement;71540 
25;56;ExpressionStatement;71530 
27;65;ExpressionStatement;71520 
28;69;ExpressionStatement;71516 
29;68;ExpressionStatement;71512 
30;66;ExpressionStatement;71508 
32;70;ExpressionStatement;71504 
33;76;ExpressionStatement;71500 
34;71;ExpressionStatement;71496 
36;87;ExpressionStatement;71481 
37;85;ExpressionStatement;71477 
38;86;ExpressionStatement;71473 
39;85;ExpressionStatement;71468 
40;81;ExpressionStatement;71464 
41;87;ExpressionStatement;71460 
42;85;ExpressionStatement;71454 
44;93;ExpressionStatement;71437 
45;91;ExpressionStatement;71433 
49;123;ExpressionStatement;71428 
51;134;ExpressionStatement;71299 
53;145;ExpressionStatement;71286 
54;145;ExpressionStatement;71280 
55;149;ExpressionStatement;71273 
57;150;ExpressionStatement;71271 
58;154;ExpressionStatement;71266 
59;152;ExpressionStatement;71262 
60;151;ExpressionStatement;71244 
61;159;ExpressionStatement;71207 
62;159;ExpressionStatement;71202 
64;164;ExpressionStatement;71183 
65;164;ExpressionStatement;71178 
66;160;ExpressionStatement;71119 
67;166;ExpressionStatement;71114 
68;162;ExpressionStatement;71109 
69;168;ExpressionStatement;71104 
71;179;ExpressionStatement;71088 
75;207;ExpressionStatement;71083 
76;206;ExpressionStatement;71076 
79;227;ExpressionStatement;71050 
80;229;ExpressionStatement;71017 
81;228;ExpressionStatement;70988 
82;229;ExpressionStatement;70797 
83;229;ExpressionStatement;70713 
84;229;ExpressionStatement;70600 
85;226;ExpressionStatement;70571 
86;225;ExpressionStatement;70542 
87;227;ExpressionStatement;70442 
89;237;ExpressionStatement;70417 
90;236;ExpressionStatement;70393 
91;233;ExpressionStatement;70295 
92;233;ExpressionStatement;70219 
93;233;ExpressionStatement;70127 
95;241;ExpressionStatement;70028 
96;248;ExpressionStatement;69935 
97;248;ExpressionStatement;69836 
98;240;ExpressionStatement;69743 
101;264;ExpressionStatement;69112 
102;264;ExpressionStatement;68986 
103;264;ExpressionStatement;68952 
104;268;ExpressionStatement;68944 
105;268;ExpressionStatement;68919 
109;293;ExpressionStatement;68817 
110;294;ExpressionStatement;68797 
111;295;ExpressionStatement;68778 
112;299;ExpressionStatement;68746 
113;298;ExpressionStatement;68721 
115;301;ExpressionStatement;68647 
116;307;ExpressionStatement;68609 
117;308;ExpressionStatement;68594 
118;308;ExpressionStatement;68569 
119;308;ExpressionStatement;68545 
120;306;ExpressionStatement;68501 
121;305;ExpressionStatement;68437 
122;301;ExpressionStatement;68394 
123;307;ExpressionStatement;68378 
124;308;ExpressionStatement;68361 
125;305;ExpressionStatement;68336 
127;317;ExpressionStatement;68312 
128;317;ExpressionStatement;68277 
130;325;ExpressionStatement;68203 
131;325;ExpressionStatement;68130 
132;320;ExpressionStatement;68082 
133;322;ExpressionStatement;67940 
134;321;ExpressionStatement;67856 
135;322;ExpressionStatement;67831 
136;328;ExpressionStatement;67793 
137;321;ExpressionStatement;67630 
138;320;ExpressionStatement;67544 
140;339;ExpressionStatement;67492 
141;338;ExpressionStatement;67350 
142;336;ExpressionStatement;67277 
143;337;ExpressionStatement;67200 
144;336;ExpressionStatement;67095 
146;342;ExpressionStatement;67008 
148;359;ExpressionStatement;66995 
149;354;ExpressionStatement;66982 
152;376;ExpressionStatement;66875 
154;380;ExpressionStatement;66783 
156;394;ExpressionStatement;66761 
157;394;ExpressionStatement;66653 
158;395;ExpressionStatement;66613 
159;391;ExpressionStatement;66512 
162;418;ExpressionStatement;66504 
163;418;ExpressionStatement;66492 
165;420;ExpressionStatement;66481 
166;429;ExpressionStatement;66445 
168;436;ExpressionStatement;66421 
169;435;ExpressionStatement;66414 
173;469;ExpressionStatement;66407 
175;479;ExpressionStatement;66375 
176;479;ExpressionStatement;66339 
177;477;ExpressionStatement;66286 
179;481;ExpressionStatement;66214 
180;487;ExpressionStatement;66185 
181;486;ExpressionStatement;66152 
182;483;ExpressionStatement;66079 
184;499;ExpressionStatement;66063 
185;496;ExpressionStatement;66025 
188;517;ExpressionStatement;66006 
190;526;ExpressionStatement;65915 
191;529;ExpressionStatement;65867 
194;546;ExpressionStatement;65845 
196;553;ExpressionStatement;65741 
197;553;ExpressionStatement;65720 
200;579;ExpressionStatement;65713 
204;603;ExpressionStatement;65651 
205;609;ExpressionStatement;65579 
206;607;ExpressionStatement;65562 
208;613;ExpressionStatement;65549 
211;637;ExpressionStatement;65461 
212;637;ExpressionStatement;65387 
213;635;ExpressionStatement;65314 
214;639;ExpressionStatement;65139 
215;637;ExpressionStatement;65051 
216;639;ExpressionStatement;64799 
218;642;ExpressionStatement;64793 
219;643;ExpressionStatement;64612 
220;645;ExpressionStatement;64338 
222;652;ExpressionStatement;64292 
223;655;ExpressionStatement;64272 
224;655;ExpressionStatement;64096 
225;651;ExpressionStatement;64096 
228;672;ExpressionStatement;63918 
230;683;ExpressionStatement;63902 
247;156;CallExpression;63875 
248;157;CallExpression;63801 
252;184;CallExpression;63778 
259;243;CallExpression;63750 
260;246;CallExpression;63696 
293;561;CallExpression;63669 
294;562;CallExpression;63632 
295;563;CallExpression;63518 
297;571;CallExpression;63445 
313;726;CallExpression;63416 
320;781;CallExpression;63291 
321;781;CallExpression;63250 
322;782;CallExpression;63250 
323;781;CallExpression;63250 
334;886;CallExpression;63220 
339;928;CallExpression;63165 
342;941;CallExpression;63120 
343;941;CallExpression;63088 
348;988;CallExpression;63048 
354;1034;CallExpression;63029 
355;1034;CallExpression;63010 
358;1056;CallExpression;62981 
364;1105;CallExpression;62959 
373;1180;CallExpression;62937 
376;1207;CallExpression;62918 
378;1218;CallExpression;62899 
391;1338;CallExpression;62877 
399;1406;CallExpression;62788 
436;6;ObjectExpression;62759 
439;22;ObjectExpression;62746 
440;21;ObjectExpression;62737 
441;21;ObjectExpression;62724 
443;32;ObjectExpression;62715 
449;89;ObjectExpression;62696 
460;46;Property;62668 
464;79;Property;62627 
465;78;Property;62553 
466;77;Property;62528 
480;201;Property;62503 
481;201;Property;62487 
483;215;Property;62463 
484;215;Property;62447 
486;221;Property;62422 
487;227;Property;62408 
488;226;Property;62391 
489;221;Property;62375 
