counter;index;instructionType;totalChars 
0;0;original;13105 
2;33;VariableDeclaration;13135 
15;79;CallExpression;13126 
17;88;CallExpression;13115 
20;134;CallExpression;13101 
21;127;CallExpression;13077 
22;128;CallExpression;13052 
24;153;CallExpression;13035 
25;152;CallExpression;13022 
27;164;CallExpression;13022 
28;165;CallExpression;13004 
30;195;CallExpression;12981 
32;201;CallExpression;12958 
33;206;CallExpression;12936 
35;220;CallExpression;12921 
36;220;CallExpression;12902 
38;249;CallExpression;12781 
39;249;CallExpression;12660 
41;264;CallExpression;12670 
42;268;CallExpression;12660 
43;266;CallExpression;12639 
45;291;CallExpression;12617 
49;25;Literal;12563 
51;46;Literal;12559 
52;50;Literal;12553 
53;45;Literal;12548 
54;41;Literal;12544 
55;48;Literal;12541 
56;40;Literal;12536 
58;67;Literal;12528 
60;91;Literal;12518 
61;94;Literal;12506 
62;88;Literal;12499 
63;92;Literal;12487 
64;95;Literal;12480 
65;99;Literal;12471 
66;97;Literal;12462 
67;99;Literal;12450 
68;96;Literal;12438 
69;98;Literal;12430 
70;95;Literal;12422 
71;95;Literal;12415 
73;115;Literal;12421 
74;109;Literal;12427 
75;107;Literal;12418 
76;109;Literal;12414 
77;115;Literal;12428 
78;110;Literal;12419 
79;119;Literal;12403 
80;112;Literal;12387 
81;119;Literal;12384 
83;127;Literal;12379 
85;149;Literal;12375 
86;147;Literal;12372 
88;178;Literal;12365 
89;174;Literal;12359 
90;174;Literal;12356 
93;18;ExpressionStatement;12343 
94;12;ExpressionStatement;12330 
96;30;ExpressionStatement;12299 
97;27;ExpressionStatement;12207 
98;34;ExpressionStatement;12193 
99;36;ExpressionStatement;12179 
100;27;ExpressionStatement;12120 
101;33;ExpressionStatement;12112 
102;36;ExpressionStatement;12087 
103;36;ExpressionStatement;12053 
105;56;ExpressionStatement;12040 
106;40;ExpressionStatement;12028 
108;75;ExpressionStatement;12006 
110;90;ExpressionStatement;11964 
111;98;ExpressionStatement;11957 
112;97;ExpressionStatement;11947 
114;107;ExpressionStatement;11937 
115;108;ExpressionStatement;11870 
116;104;ExpressionStatement;11858 
118;125;ExpressionStatement;11841 
119;128;ExpressionStatement;11835 
120;129;ExpressionStatement;11799 
121;130;ExpressionStatement;11739 
122;134;ExpressionStatement;11718 
123;137;ExpressionStatement;11702 
124;121;ExpressionStatement;11599 
126;153;ExpressionStatement;11554 
127;159;ExpressionStatement;11541 
128;146;ExpressionStatement;11522 
129;151;ExpressionStatement;11481 
131;168;ExpressionStatement;11463 
132;179;ExpressionStatement;11431 
133;169;ExpressionStatement;11417 
135;185;ExpressionStatement;11398 
136;185;ExpressionStatement;11381 
137;185;ExpressionStatement;11369 
145;5;ObjectExpression;11349 
146;11;ObjectExpression;11346 
148;30;ObjectExpression;11296 
149;24;ObjectExpression;11293 
150;24;ObjectExpression;11290 
152;6;Property;11282 
153;3;Property;11259 
154;8;Property;11249 
155;12;Property;11183 
156;19;Property;11172 
157;4;Property;11159 
158;19;Property;11136 
159;18;Property;11122 
162;16;IfStatement;11101 
163;4;IfStatement;11035 
164;15;IfStatement;11000 
165;3;IfStatement;10967 
166;9;IfStatement;10931 
167;12;IfStatement;10902 
168;17;IfStatement;10882 
169;4;IfStatement;10849 
170;19;IfStatement;10812 
171;10;IfStatement;10799 
172;18;IfStatement;10789 
173;18;IfStatement;10725 
175;31;IfStatement;10667 
176;35;IfStatement;10662 
177;38;IfStatement;10577 
178;35;IfStatement;10566 
179;39;IfStatement;10536 
180;39;IfStatement;10502 
182;43;IfStatement;10461 
183;51;IfStatement;10417 
184;43;IfStatement;10391 
185;40;IfStatement;10353 
186;47;IfStatement;10317 
187;59;IfStatement;10301 
188;59;IfStatement;10265 
189;50;IfStatement;10231 
190;57;IfStatement;10205 
192;72;IfStatement;10175 
193;63;IfStatement;10175 
194;76;IfStatement;10152 
195;71;IfStatement;10102 
196;71;IfStatement;10068 
197;75;IfStatement;10036 
198;79;IfStatement;9887 
199;78;IfStatement;9877 
208;11;ReturnStatement;9866 
209;10;ReturnStatement;9855 
210;9;ReturnStatement;9843 
211;2;ReturnStatement;9829 
212;8;ReturnStatement;9818 
213;18;ReturnStatement;9795 
215;33;ReturnStatement;9789 
217;15;ArrayExpression;9786 
218;14;ArrayExpression;9783 
226;31;VariableDeclaration;9776 
227;32;VariableDeclaration;9776 
230;63;VariableDeclaration;9776 
