counter;index;instructionType;totalChars 
0;0;original;1673 
1;0;ExpressionStatement;1660 
6;57;Identifier;1657 
22;21;CallExpression;1626 
23;21;CallExpression;1586 
25;3;Literal;1575 
26;1;Literal;1558 
27;2;Literal;1547 
28;10;Literal;1547 
29;19;Literal;1539 
30;19;Literal;1535 
31;19;Literal;1481 
32;19;Literal;1473 
35;1;ExpressionStatement;1446 
36;8;ExpressionStatement;1420 
37;13;ExpressionStatement;1273 
38;2;ExpressionStatement;1273 
50;1;Property;1261 
51;1;Property;1248 
52;1;Property;1238 
56;1;RESTART;1238 
