counter;index;instructionType;totalChars 
0;0;original;1861 
1;0;ExpressionStatement;1848 
6;92;Identifier;1867 
8;149;Identifier;1865 
9;149;Identifier;1864 
19;35;Literal;1845 
20;26;Literal;1843 
23;2;FunctionExpression;1789 
25;5;IfStatement;1676 
26;3;IfStatement;1646 
27;4;IfStatement;1641 
29;16;BinaryExpression;1603 
33;65;MemberExpression;1591 
35;1;ExpressionStatement;1573 
36;2;ExpressionStatement;1531 
37;13;ExpressionStatement;1525 
38;9;ExpressionStatement;1509 
39;16;ExpressionStatement;1481 
40;14;ExpressionStatement;1452 
41;12;ExpressionStatement;1444 
46;11;ReturnStatement;1432 
47;10;ReturnStatement;1363 
48;11;ReturnStatement;1363 
51;1;RESTART;1363 
