counter;index;instructionType;totalChars 
0;0;original;8743 
1;13;ExpressionStatement;8677 
2;7;ExpressionStatement;8596 
3;0;ExpressionStatement;8583 
4;0;VariableDeclaration;8546 
6;34;VariableDeclaration;8528 
7;39;VariableDeclaration;8510 
22;60;Identifier;8510 
24;83;Identifier;8510 
28;144;Identifier;8509 
29;154;Identifier;8507 
30;158;Identifier;8505 
32;172;Identifier;8503 
33;164;Identifier;8501 
35;187;Identifier;8493 
36;189;Identifier;8493 
39;223;Identifier;8493 
43;298;Identifier;8493 
44;284;Identifier;8493 
48;354;Identifier;8491 
49;352;Identifier;8489 
52;397;Identifier;8489 
57;461;Identifier;8489 
61;525;Identifier;8489 
62;535;Identifier;8489 
64;553;Identifier;8488 
65;554;Identifier;8487 
66;552;Identifier;8486 
68;562;Identifier;8486 
71;610;Identifier;8486 
75;673;Identifier;8486 
77;685;Identifier;8486 
80;738;Identifier;8485 
82;745;Identifier;8485 
87;827;Identifier;8484 
89;859;Identifier;8484 
90;859;Identifier;8483 
93;886;Identifier;8486 
95;904;Identifier;8484 
151;149;CallExpression;8463 
153;161;CallExpression;8463 
156;33;Literal;8396 
157;39;Literal;8391 
159;58;Literal;8375 
161;70;Literal;8310 
162;71;Literal;8245 
164;91;Literal;8235 
165;90;Literal;8211 
166;83;Literal;8144 
167;81;Literal;8078 
169;118;Literal;8037 
171;134;Literal;8019 
172;139;Literal;8016 
175;178;Literal;7997 
176;176;Literal;7994 
177;179;Literal;7978 
178;174;Literal;7944 
179;172;Literal;7928 
180;163;Literal;7862 
182;192;Literal;7861 
197;16;ExpressionStatement;7852 
198;18;ExpressionStatement;7844 
199;10;ExpressionStatement;7826 
200;7;ExpressionStatement;7814 
201;16;ExpressionStatement;7790 
202;17;ExpressionStatement;7783 
203;16;ExpressionStatement;7766 
204;17;ExpressionStatement;7755 
206;35;ExpressionStatement;7743 
207;26;ExpressionStatement;7729 
208;22;ExpressionStatement;7724 
209;35;ExpressionStatement;7711 
210;20;ExpressionStatement;7675 
211;30;ExpressionStatement;7661 
212;25;ExpressionStatement;7649 
214;44;ExpressionStatement;7644 
215;51;ExpressionStatement;7598 
216;41;ExpressionStatement;7581 
217;47;ExpressionStatement;7576 
218;52;ExpressionStatement;7569 
219;53;ExpressionStatement;7562 
221;79;ExpressionStatement;7522 
222;79;ExpressionStatement;7492 
224;86;ExpressionStatement;7478 
225;97;ExpressionStatement;7464 
226;93;ExpressionStatement;7453 
227;91;ExpressionStatement;7449 
229;106;ExpressionStatement;7444 
230;103;ExpressionStatement;7439 
231;114;ExpressionStatement;7432 
241;15;ReturnStatement;7421 
242;4;ReturnStatement;7409 
243;14;ReturnStatement;7397 
245;35;ReturnStatement;7382 
246;21;ReturnStatement;7379 
248;4;IfStatement;7354 
