counter;index;instructionType;totalChars 
0;0;original;86954 
1;1;ExpressionStatement;86941 
2;4;ExpressionStatement;86933 
3;2;ExpressionStatement;86931 
4;4;ExpressionStatement;86875 
5;3;ExpressionStatement;86868 
6;4;ExpressionStatement;86842 
8;5;ExpressionStatement;86683 
9;6;ExpressionStatement;86679 
10;9;ExpressionStatement;86674 
11;5;ExpressionStatement;86632 
12;9;ExpressionStatement;86632 
13;9;ExpressionStatement;86632 
14;9;ExpressionStatement;86632 
15;9;ExpressionStatement;86632 
17;11;ExpressionStatement;86528 
18;12;ExpressionStatement;86524 
19;14;ExpressionStatement;86510 
20;13;ExpressionStatement;86472 
21;13;ExpressionStatement;86461 
22;13;ExpressionStatement;86448 
23;11;ExpressionStatement;86448 
24;13;ExpressionStatement;86425 
25;12;ExpressionStatement;86415 
26;12;ExpressionStatement;86408 
27;12;ExpressionStatement;86394 
28;14;ExpressionStatement;86375 
29;14;ExpressionStatement;86371 
30;14;ExpressionStatement;86367 
31;12;ExpressionStatement;86345 
32;12;ExpressionStatement;86334 
33;12;ExpressionStatement;86303 
34;13;ExpressionStatement;86224 
35;13;ExpressionStatement;86183 
36;13;ExpressionStatement;86111 
37;14;ExpressionStatement;86075 
38;12;ExpressionStatement;86053 
39;12;ExpressionStatement;85946 
40;13;ExpressionStatement;85943 
41;12;ExpressionStatement;85929 
42;13;ExpressionStatement;85897 
43;14;ExpressionStatement;85848 
44;12;ExpressionStatement;85661 
45;12;ExpressionStatement;85661 
46;12;ExpressionStatement;85653 
47;12;ExpressionStatement;85637 
48;13;ExpressionStatement;85627 
49;13;ExpressionStatement;85617 
50;12;ExpressionStatement;85610 
51;13;ExpressionStatement;85571 
52;12;ExpressionStatement;85534 
53;12;ExpressionStatement;85530 
54;12;ExpressionStatement;85527 
55;12;ExpressionStatement;85509 
56;14;ExpressionStatement;85498 
57;13;ExpressionStatement;85510 
58;14;ExpressionStatement;85385 
59;14;ExpressionStatement;85350 
60;14;ExpressionStatement;85350 
61;13;ExpressionStatement;85307 
62;13;ExpressionStatement;85307 
63;12;ExpressionStatement;85283 
64;12;ExpressionStatement;85262 
65;12;ExpressionStatement;85254 
66;12;ExpressionStatement;85225 
67;14;ExpressionStatement;85220 
68;14;ExpressionStatement;85195 
69;12;ExpressionStatement;85188 
70;12;ExpressionStatement;85165 
72;18;ExpressionStatement;85131 
73;19;ExpressionStatement;85050 
74;19;ExpressionStatement;84933 
75;17;ExpressionStatement;84918 
76;19;ExpressionStatement;84810 
77;17;ExpressionStatement;84764 
78;19;ExpressionStatement;84661 
79;18;ExpressionStatement;84562 
80;19;ExpressionStatement;84303 
81;17;ExpressionStatement;84244 
82;19;ExpressionStatement;84229 
83;19;ExpressionStatement;84100 
84;18;ExpressionStatement;83837 
85;17;ExpressionStatement;83684 
86;19;ExpressionStatement;83204 
87;19;ExpressionStatement;82694 
88;19;ExpressionStatement;82603 
89;19;ExpressionStatement;82567 
90;19;ExpressionStatement;82531 
91;19;ExpressionStatement;82143 
92;19;ExpressionStatement;81855 
93;18;ExpressionStatement;81850 
94;18;ExpressionStatement;81363 
95;19;ExpressionStatement;81065 
96;17;ExpressionStatement;81056 
97;17;ExpressionStatement;81007 
98;17;ExpressionStatement;80937 
99;18;ExpressionStatement;80922 
100;18;ExpressionStatement;80707 
101;19;ExpressionStatement;80502 
102;17;ExpressionStatement;80240 
103;18;ExpressionStatement;79982 
104;17;ExpressionStatement;79900 
105;18;ExpressionStatement;79875 
106;19;ExpressionStatement;79847 
107;19;ExpressionStatement;79822 
108;18;ExpressionStatement;79779 
109;19;ExpressionStatement;79719 
110;18;ExpressionStatement;79704 
111;18;ExpressionStatement;79670 
112;18;ExpressionStatement;79643 
113;19;ExpressionStatement;79622 
114;18;ExpressionStatement;79603 
115;19;ExpressionStatement;79597 
116;18;ExpressionStatement;79576 
117;18;ExpressionStatement;79573 
118;19;ExpressionStatement;79542 
119;19;ExpressionStatement;79538 
120;19;ExpressionStatement;79520 
121;18;ExpressionStatement;79497 
122;18;ExpressionStatement;79461 
123;18;ExpressionStatement;79450 
124;18;ExpressionStatement;79433 
125;18;ExpressionStatement;79423 
126;18;ExpressionStatement;79403 
127;19;ExpressionStatement;79399 
128;19;ExpressionStatement;79381 
129;18;ExpressionStatement;79357 
130;18;ExpressionStatement;79327 
131;19;ExpressionStatement;79308 
132;19;ExpressionStatement;79304 
133;18;ExpressionStatement;79286 
134;18;ExpressionStatement;79280 
135;18;ExpressionStatement;79239 
136;18;ExpressionStatement;79214 
137;18;ExpressionStatement;79210 
138;18;ExpressionStatement;79198 
139;18;ExpressionStatement;79196 
140;18;ExpressionStatement;79166 
141;18;ExpressionStatement;79142 
142;18;ExpressionStatement;79135 
143;18;ExpressionStatement;79121 
144;18;ExpressionStatement;79105 
145;19;ExpressionStatement;79072 
146;18;ExpressionStatement;79053 
147;19;ExpressionStatement;79036 
148;19;ExpressionStatement;79008 
149;19;ExpressionStatement;78999 
150;18;ExpressionStatement;78966 
151;18;ExpressionStatement;78957 
152;18;ExpressionStatement;78948 
153;18;ExpressionStatement;78939 
154;19;ExpressionStatement;78838 
155;19;ExpressionStatement;78713 
156;18;ExpressionStatement;78686 
157;18;ExpressionStatement;78654 
158;18;ExpressionStatement;78619 
159;18;ExpressionStatement;78160 
160;18;ExpressionStatement;78142 
161;18;ExpressionStatement;78136 
162;19;ExpressionStatement;78127 
163;19;ExpressionStatement;78120 
164;18;ExpressionStatement;78075 
165;18;ExpressionStatement;78064 
166;19;ExpressionStatement;78039 
167;18;ExpressionStatement;78028 
168;19;ExpressionStatement;78015 
169;18;ExpressionStatement;78004 
170;18;ExpressionStatement;77990 
171;18;ExpressionStatement;77981 
172;19;ExpressionStatement;77970 
173;18;ExpressionStatement;77959 
174;19;ExpressionStatement;77954 
175;19;ExpressionStatement;77944 
176;18;ExpressionStatement;77913 
177;18;ExpressionStatement;77895 
178;19;ExpressionStatement;77885 
179;19;ExpressionStatement;77864 
180;19;ExpressionStatement;77830 
181;19;ExpressionStatement;77817 
182;18;ExpressionStatement;77799 
183;19;ExpressionStatement;77783 
184;19;ExpressionStatement;77770 
185;19;ExpressionStatement;77723 
