counter;index;instructionType;totalChars 
0;0;original;49636 
1;4;ExpressionStatement;49560 
2;2;ExpressionStatement;49430 
3;3;ExpressionStatement;49375 
5;15;ExpressionStatement;49354 
12;78;ExpressionStatement;49347 
14;84;ExpressionStatement;49336 
15;80;ExpressionStatement;49325 
18;103;ExpressionStatement;49237 
20;117;ExpressionStatement;49234 
25;150;ExpressionStatement;49227 
27;163;ExpressionStatement;49231 
28;166;ExpressionStatement;49216 
31;183;ExpressionStatement;49206 
33;198;ExpressionStatement;49194 
37;224;ExpressionStatement;49181 
38;224;ExpressionStatement;49167 
39;224;ExpressionStatement;49112 
45;274;ExpressionStatement;49067 
48;293;ExpressionStatement;49062 
53;339;ExpressionStatement;49050 
66;459;ExpressionStatement;49045 
104;9;CallExpression;49012 
105;6;CallExpression;48962 
106;7;CallExpression;49151 
107;6;CallExpression;49061 
110;28;CallExpression;49049 
111;29;CallExpression;49028 
163;532;CallExpression;49023 
211;1009;CallExpression;49015 
223;10;FunctionExpression;48939 
236;133;FunctionExpression;48918 
243;59;VariableDeclaration;48931 
247;86;VariableDeclaration;48921 
256;168;VariableDeclaration;48923 
260;199;VariableDeclaration;48898 
300;117;VariableDeclarator;48899 
302;126;VariableDeclarator;48895 
303;128;VariableDeclarator;48895 
304;128;VariableDeclarator;48964 
348;559;VariableDeclarator;48964 
349;556;VariableDeclarator;48964 
361;660;VariableDeclarator;48982 
387;79;Literal;48970 
388;77;Literal;48955 
389;76;Literal;48940 
391;89;Literal;48926 
392;88;Literal;48906 
393;85;Literal;48897 
394;87;Literal;48883 
395;85;Literal;48871 
421;337;Literal;48863 
436;475;Literal;48861 
437;475;Literal;48858 
461;708;Literal;48850 
468;769;Literal;48848 
497;1048;Literal;48847 
