counter;index;instructionType;totalChars 
0;0;original;36858 
1;3;ExpressionStatement;36814 
2;0;ExpressionStatement;36801 
4;19;VariableDeclaration;36862 
6;29;VariableDeclaration;36905 
7;20;VariableDeclaration;36924 
10;41;VariableDeclaration;36970 
11;40;VariableDeclaration;37080 
12;43;VariableDeclaration;37126 
13;42;VariableDeclaration;37253 
17;73;VariableDeclaration;37299 
19;87;VariableDeclaration;37299 
20;81;VariableDeclaration;37299 
21;80;VariableDeclaration;37299 
23;95;VariableDeclaration;37312 
24;94;VariableDeclaration;37333 
27;112;VariableDeclaration;37351 
30;139;VariableDeclaration;37318 
32;149;VariableDeclaration;37369 
33;141;VariableDeclaration;37377 
34;146;VariableDeclaration;37433 
35;140;VariableDeclaration;37426 
36;149;VariableDeclaration;37422 
38;151;VariableDeclaration;37425 
86;18;Literal;37327 
87;17;Literal;37275 
88;19;Literal;37218 
91;38;Literal;37218 
92;36;Literal;37206 
95;57;Literal;37208 
96;50;Literal;37207 
97;55;Literal;37209 
98;59;Literal;37204 
104;102;Literal;37203 
105;104;Literal;37203 
108;125;Literal;37195 
109;122;Literal;37184 
115;178;Literal;37162 
116;175;Literal;37121 
118;188;Literal;37118 
126;259;Literal;37010 
128;262;Literal;36902 
168;659;Literal;36900 
169;658;Literal;36896 
171;667;Literal;36894 
172;661;Literal;36889 
173;661;Literal;36888 
174;668;Literal;36883 
175;668;Literal;36882 
176;664;Literal;36878 
178;670;Literal;36873 
179;670;Literal;36872 
180;673;Literal;36867 
181;677;Literal;36862 
182;673;Literal;36861 
188;726;Literal;36859 
189;729;Literal;36854 
190;729;Literal;36853 
191;720;Literal;36848 
192;724;Literal;36844 
193;720;Literal;36843 
194;729;Literal;36838 
195;729;Literal;36837 
197;737;Literal;36832 
198;737;Literal;36831 
199;733;Literal;36829 
200;732;Literal;36825 
201;738;Literal;36820 
202;738;Literal;36819 
205;754;Literal;36811 
206;755;Literal;36809 
207;758;Literal;36807 
208;757;Literal;36805 
209;759;Literal;36803 
210;757;Literal;36801 
211;758;Literal;36799 
212;755;Literal;36797 
213;755;Literal;36795 
214;758;Literal;36793 
215;759;Literal;36791 
216;755;Literal;36790 
217;757;Literal;36788 
218;759;Literal;36786 
219;757;Literal;36784 
220;758;Literal;36782 
221;756;Literal;36780 
222;759;Literal;36778 
223;756;Literal;36776 
224;759;Literal;36774 
225;759;Literal;36772 
226;758;Literal;36770 
227;759;Literal;36768 
228;759;Literal;36766 
229;758;Literal;36764 
231;761;Literal;36762 
232;764;Literal;36760 
233;762;Literal;36758 
234;769;Literal;36756 
235;763;Literal;36754 
236;761;Literal;36752 
237;761;Literal;36750 
238;768;Literal;36748 
239;769;Literal;36746 
240;769;Literal;36744 
241;767;Literal;36742 
242;769;Literal;36740 
243;766;Literal;36738 
244;769;Literal;36736 
245;767;Literal;36734 
246;768;Literal;36732 
247;766;Literal;36730 
248;766;Literal;36728 
249;769;Literal;36726 
250;767;Literal;36724 
251;766;Literal;36723 
252;767;Literal;36721 
253;769;Literal;36719 
254;769;Literal;36717 
255;769;Literal;36715 
256;767;Literal;36713 
257;767;Literal;36711 
258;767;Literal;36709 
259;765;Literal;36707 
260;769;Literal;36705 
261;769;Literal;36703 
262;767;Literal;36701 
263;769;Literal;36699 
264;767;Literal;36697 
265;767;Literal;36695 
266;766;Literal;36693 
267;765;Literal;36692 
268;765;Literal;36691 
269;769;Literal;36689 
270;768;Literal;36687 
271;768;Literal;36685 
272;769;Literal;36683 
273;768;Literal;36681 
274;768;Literal;36679 
275;769;Literal;36677 
276;769;Literal;36675 
277;768;Literal;36673 
278;768;Literal;36671 
279;768;Literal;36669 
280;768;Literal;36667 
281;768;Literal;36665 
282;768;Literal;36663 
283;768;Literal;36662 
284;768;Literal;36660 
285;769;Literal;36658 
286;769;Literal;36656 
288;778;Literal;36654 
289;779;Literal;36652 
290;773;Literal;36650 
291;771;Literal;36648 
292;776;Literal;36646 
293;770;Literal;36644 
294;776;Literal;36642 
295;779;Literal;36640 
296;775;Literal;36638 
297;770;Literal;36636 
298;773;Literal;36634 
299;776;Literal;36632 
300;776;Literal;36630 
301;777;Literal;36628 
302;776;Literal;36626 
303;776;Literal;36624 
304;779;Literal;36622 
305;779;Literal;36620 
306;779;Literal;36618 
307;779;Literal;36616 
308;779;Literal;36614 
309;779;Literal;36612 
311;786;Literal;36610 
312;783;Literal;36608 
313;785;Literal;36606 
314;784;Literal;36604 
315;783;Literal;36602 
316;788;Literal;36600 
317;788;Literal;36598 
318;788;Literal;36596 
319;787;Literal;36594 
320;787;Literal;36592 
322;794;Literal;36590 
323;793;Literal;36588 
324;791;Literal;36586 
325;798;Literal;36584 
326;799;Literal;36582 
327;797;Literal;36580 
328;791;Literal;36578 
329;796;Literal;36576 
330;796;Literal;36574 
331;791;Literal;36572 
332;799;Literal;36570 
333;799;Literal;36568 
334;799;Literal;36566 
335;799;Literal;36564 
336;799;Literal;36562 
338;807;Literal;36560 
339;803;Literal;36558 
340;803;Literal;36556 
341;803;Literal;36554 
342;803;Literal;36552 
343;808;Literal;36550 
344;809;Literal;36548 
345;808;Literal;36546 
346;807;Literal;36544 
347;807;Literal;36542 
349;819;Literal;36540 
350;813;Literal;36538 
351;812;Literal;36536 
352;817;Literal;36534 
353;817;Literal;36532 
354;818;Literal;36530 
355;817;Literal;36528 
356;812;Literal;36526 
357;816;Literal;36524 
358;819;Literal;36522 
359;811;Literal;36520 
360;811;Literal;36518 
361;818;Literal;36516 
362;814;Literal;36514 
