counter;index;instructionType;totalChars 
0;0;original;48844 
1;2;ExpressionStatement;48831 
2;6;ExpressionStatement;48808 
3;5;ExpressionStatement;48783 
4;7;ExpressionStatement;48672 
6;14;ExpressionStatement;48659 
8;28;ExpressionStatement;48653 
9;27;ExpressionStatement;48632 
10;29;ExpressionStatement;48632 
11;26;ExpressionStatement;48609 
12;29;ExpressionStatement;48604 
13;29;ExpressionStatement;48588 
15;33;ExpressionStatement;48505 
16;32;ExpressionStatement;48489 
17;30;ExpressionStatement;48472 
18;34;ExpressionStatement;48461 
19;34;ExpressionStatement;48428 
20;30;ExpressionStatement;48408 
21;30;ExpressionStatement;48388 
22;31;ExpressionStatement;48265 
23;31;ExpressionStatement;48235 
25;45;ExpressionStatement;48224 
26;44;ExpressionStatement;48176 
27;40;ExpressionStatement;48167 
29;54;ExpressionStatement;48162 
31;65;ExpressionStatement;48147 
32;66;ExpressionStatement;48132 
34;77;ExpressionStatement;48057 
37;91;ExpressionStatement;48036 
40;110;ExpressionStatement;48030 
41;117;ExpressionStatement;48015 
43;127;ExpressionStatement;48002 
44;127;ExpressionStatement;47990 
45;126;ExpressionStatement;47978 
49;155;ExpressionStatement;47966 
51;167;ExpressionStatement;47954 
52;167;ExpressionStatement;47939 
55;183;ExpressionStatement;47923 
56;182;ExpressionStatement;47911 
57;182;ExpressionStatement;47892 
60;206;ExpressionStatement;47856 
61;205;ExpressionStatement;47818 
62;207;ExpressionStatement;47782 
63;208;ExpressionStatement;47749 
64;208;ExpressionStatement;47711 
65;206;ExpressionStatement;47678 
67;218;ExpressionStatement;47663 
68;219;ExpressionStatement;47648 
71;236;ExpressionStatement;47635 
72;236;ExpressionStatement;47622 
73;236;ExpressionStatement;47610 
74;234;ExpressionStatement;47600 
77;252;ExpressionStatement;47587 
79;264;ExpressionStatement;47561 
81;276;ExpressionStatement;47545 
82;271;ExpressionStatement;47529 
84;289;ExpressionStatement;47510 
86;290;ExpressionStatement;47501 
89;311;ExpressionStatement;47481 
90;312;ExpressionStatement;47444 
92;323;ExpressionStatement;47424 
93;325;ExpressionStatement;47404 
95;333;ExpressionStatement;47363 
96;331;ExpressionStatement;47332 
97;331;ExpressionStatement;46971 
98;330;ExpressionStatement;46947 
99;339;ExpressionStatement;46933 
100;339;ExpressionStatement;46915 
102;341;ExpressionStatement;46900 
105;362;ExpressionStatement;46872 
109;396;ExpressionStatement;46859 
110;391;ExpressionStatement;46830 
112;400;ExpressionStatement;46817 
113;409;ExpressionStatement;46793 
114;407;ExpressionStatement;46780 
115;400;ExpressionStatement;46759 
117;412;ExpressionStatement;46733 
120;438;ExpressionStatement;46720 
122;446;ExpressionStatement;46676 
123;442;ExpressionStatement;46655 
124;447;ExpressionStatement;46655 
125;448;ExpressionStatement;46629 
126;448;ExpressionStatement;46605 
127;448;ExpressionStatement;46574 
129;455;ExpressionStatement;46554 
130;457;ExpressionStatement;46546 
131;456;ExpressionStatement;46536 
132;452;ExpressionStatement;46505 
133;455;ExpressionStatement;46441 
134;455;ExpressionStatement;46414 
136;463;ExpressionStatement;46410 
137;464;ExpressionStatement;46405 
139;472;ExpressionStatement;46395 
141;488;ExpressionStatement;46369 
142;488;ExpressionStatement;46343 
143;489;ExpressionStatement;46321 
149;531;ExpressionStatement;46302 
150;530;ExpressionStatement;46286 
151;537;ExpressionStatement;46269 
152;530;ExpressionStatement;46259 
153;530;ExpressionStatement;46249 
154;534;ExpressionStatement;46232 
156;545;ExpressionStatement;46217 
157;541;ExpressionStatement;46189 
159;558;ExpressionStatement;46172 
161;564;ExpressionStatement;46157 
162;569;ExpressionStatement;46142 
165;582;ExpressionStatement;46122 
177;696;ExpressionStatement;46113 
178;696;ExpressionStatement;46103 
179;697;ExpressionStatement;46101 
180;699;ExpressionStatement;46092 
181;699;ExpressionStatement;46084 
183;706;ExpressionStatement;46050 
184;706;ExpressionStatement;46026 
185;709;ExpressionStatement;46006 
186;707;ExpressionStatement;45986 
187;704;ExpressionStatement;45960 
188;705;ExpressionStatement;45936 
189;705;ExpressionStatement;45908 
198;785;ExpressionStatement;45900 
199;783;ExpressionStatement;45881 
236;336;CallExpression;45878 
257;536;CallExpression;45869 
269;647;CallExpression;45858 
291;851;CallExpression;45829 
295;887;CallExpression;45824 
358;260;BinaryExpression;45590 
362;291;BinaryExpression;45587 
397;631;BinaryExpression;45568 
422;7;Literal;45566 
424;12;Literal;45555 
425;12;Literal;45545 
426;12;Literal;45542 
429;32;Literal;45542 
431;47;Literal;45540 
432;44;Literal;45415 
441;124;Literal;45412 
442;123;Literal;45407 
445;147;Literal;45404 
446;146;Literal;45400 
453;201;Literal;45397 
454;200;Literal;45394 
456;218;Literal;45391 
457;217;Literal;45388 
459;222;Literal;45385 
460;227;Literal;45382 
461;221;Literal;45379 
462;227;Literal;45376 
463;226;Literal;45373 
464;220;Literal;45370 
466;239;Literal;45355 
467;237;Literal;45340 
469;243;Literal;45337 
470;242;Literal;45334 
471;242;Literal;45331 
472;242;Literal;45328 
479;300;Literal;45325 
491;415;Literal;45327 
493;429;Literal;45323 
494;429;Literal;45322 
495;429;Literal;45319 
496;429;Literal;45316 
497;429;Literal;45313 
