counter;index;instructionType;totalChars 
0;0;original;18323 
1;2;ExpressionStatement;18297 
2;4;ExpressionStatement;18261 
3;2;ExpressionStatement;18261 
4;0;ExpressionStatement;18231 
5;1;VariableDeclaration;18181 
6;0;VariableDeclaration;18169 
7;9;IfStatement;18074 
8;4;IfStatement;18039 
9;8;IfStatement;17987 
10;4;IfStatement;17961 
11;3;IfStatement;17927 
12;2;IfStatement;17895 
14;14;IfStatement;17845 
15;14;IfStatement;17795 
16;16;IfStatement;17737 
18;26;IfStatement;17705 
46;179;BinaryExpression;17671 
50;209;BinaryExpression;17645 
55;240;BinaryExpression;17617 
85;2;Literal;17613 
94;86;Literal;17609 
98;110;Literal;17605 
101;132;Literal;17596 
102;137;Literal;17571 
103;138;Literal;17546 
104;139;Literal;17521 
106;146;Literal;17518 
108;154;Literal;17497 
109;150;Literal;17480 
118;236;Literal;17473 
119;234;Literal;17460 
121;240;Literal;17442 
125;271;Literal;17425 
126;271;Literal;17407 
127;271;Literal;17402 
128;271;Literal;17399 
129;271;Literal;17396 
130;271;Literal;17393 
131;270;Literal;17385 
132;276;Literal;17376 
133;274;Literal;17369 
134;275;Literal;17360 
135;275;Literal;17352 
136;279;Literal;17344 
137;274;Literal;17336 
139;289;Literal;17318 
140;289;Literal;17317 
143;305;Literal;17302 
144;307;Literal;17294 
145;307;Literal;17286 
148;324;Literal;17268 
149;324;Literal;17267 
152;348;Literal;17260 
156;374;Literal;17251 
157;371;Literal;17234 
158;370;Literal;17219 
162;403;Literal;17203 
163;403;Literal;17188 
166;425;Literal;17180 
168;434;Literal;17172 
169;435;Literal;17170 
170;430;Literal;17168 
171;435;Literal;17163 
172;434;Literal;17158 
173;437;Literal;17153 
174;436;Literal;17148 
176;449;Literal;17142 
178;454;Literal;17140 
179;453;Literal;17138 
180;450;Literal;17133 
181;452;Literal;17131 
182;455;Literal;17121 
183;456;Literal;17119 
189;37;CallExpression;17089 
208;25;ExpressionStatement;17048 
210;35;ExpressionStatement;16997 
211;38;ExpressionStatement;16981 
213;45;ExpressionStatement;16968 
214;45;ExpressionStatement;16957 
215;44;ExpressionStatement;16946 
216;49;ExpressionStatement;16914 
218;59;ExpressionStatement;16901 
219;55;ExpressionStatement;16868 
220;53;ExpressionStatement;16810 
224;89;ExpressionStatement;16806 
225;89;ExpressionStatement;16775 
227;90;ExpressionStatement;16729 
228;92;ExpressionStatement;16681 
229;90;ExpressionStatement;16676 
230;90;ExpressionStatement;16663 
232;107;ExpressionStatement;16655 
234;118;ExpressionStatement;16644 
236;122;ExpressionStatement;16632 
237;129;ExpressionStatement;16612 
240;147;ExpressionStatement;16584 
241;143;ExpressionStatement;16573 
242;148;ExpressionStatement;16554 
243;144;ExpressionStatement;16545 
244;142;ExpressionStatement;16530 
245;146;ExpressionStatement;16481 
246;149;ExpressionStatement;16472 
248;150;ExpressionStatement;16463 
249;156;ExpressionStatement;16444 
250;151;ExpressionStatement;16435 
251;154;ExpressionStatement;16424 
252;157;ExpressionStatement;16415 
253;152;ExpressionStatement;16406 
254;159;ExpressionStatement;16397 
255;159;ExpressionStatement;16386 
256;159;ExpressionStatement;16367 
258;168;ExpressionStatement;16357 
259;163;ExpressionStatement;16348 
261;170;ExpressionStatement;16339 
262;170;ExpressionStatement;16328 
263;171;ExpressionStatement;16307 
264;176;ExpressionStatement;16298 
265;177;ExpressionStatement;16294 
266;177;ExpressionStatement;16288 
267;170;ExpressionStatement;16277 
268;175;ExpressionStatement;16271 
269;176;ExpressionStatement;16267 
270;176;ExpressionStatement;16261 
272;182;ExpressionStatement;16250 
273;181;ExpressionStatement;16241 
275;192;ExpressionStatement;16222 
302;8;FunctionExpression;16178 
307;0;VariableDeclaration;16167 
312;46;VariableDeclaration;16146 
315;61;VariableDeclaration;16156 
316;64;VariableDeclaration;16178 
318;72;VariableDeclaration;16137 
319;74;VariableDeclaration;16143 
320;75;VariableDeclaration;16149 
322;85;VariableDeclaration;16157 
323;89;VariableDeclaration;16204 
324;87;VariableDeclaration;16212 
338;7;FunctionDeclaration;16177 
344;7;ReturnStatement;16157 
350;54;ReturnStatement;16139 
357;0;ObjectExpression;16136 
361;29;IfStatement;16136 
363;37;IfStatement;16102 
364;36;IfStatement;16068 
365;36;IfStatement;16034 
366;35;IfStatement;16034 
367;35;IfStatement;16000 
368;39;IfStatement;15974 
370;42;IfStatement;15923 
371;49;IfStatement;15864 
372;49;IfStatement;15853 
492;1;ExpressionStatement;15856 
