counter;index;instructionType;totalChars 
0;0;original;12325 
1;37;VariableDeclaration;12293 
2;18;VariableDeclaration;12279 
3;8;VariableDeclaration;12258 
4;36;VariableDeclaration;12226 
5;25;VariableDeclaration;12227 
6;26;VariableDeclaration;12228 
7;26;VariableDeclaration;12203 
8;17;VariableDeclaration;12080 
9;24;VariableDeclaration;12055 
10;23;VariableDeclaration;12054 
11;15;VariableDeclaration;12054 
12;26;VariableDeclaration;12029 
13;32;VariableDeclaration;12027 
14;30;VariableDeclaration;12027 
15;32;VariableDeclaration;12027 
16;7;VariableDeclaration;12015 
17;38;VariableDeclaration;12016 
18;30;VariableDeclaration;11985 
19;7;VariableDeclaration;11980 
20;37;VariableDeclaration;11981 
21;30;VariableDeclaration;11979 
22;35;VariableDeclaration;11944 
23;26;VariableDeclaration;11942 
24;28;VariableDeclaration;11911 
25;24;VariableDeclaration;11909 
26;31;VariableDeclaration;11902 
27;32;VariableDeclaration;11900 
28;29;VariableDeclaration;11869 
29;37;VariableDeclaration;11806 
30;26;VariableDeclaration;11776 
31;13;VariableDeclaration;11787 
32;0;VariableDeclaration;11766 
33;28;VariableDeclaration;11731 
34;23;VariableDeclaration;11701 
35;37;VariableDeclaration;11638 
36;38;VariableDeclaration;11575 
37;27;VariableDeclaration;11573 
38;35;VariableDeclaration;11571 
39;23;VariableDeclaration;11541 
40;31;VariableDeclaration;11477 
41;26;VariableDeclaration;11419 
42;18;VariableDeclaration;11419 
43;38;VariableDeclaration;11419 
44;34;VariableDeclaration;11419 
45;28;VariableDeclaration;11417 
46;21;VariableDeclaration;11417 
47;24;VariableDeclaration;11415 
48;28;VariableDeclaration;11415 
49;31;VariableDeclaration;11413 
50;21;VariableDeclaration;11413 
51;34;VariableDeclaration;11411 
52;35;VariableDeclaration;11412 
53;25;VariableDeclaration;11412 
54;22;VariableDeclaration;11405 
55;28;VariableDeclaration;11342 
56;37;VariableDeclaration;11343 
57;35;VariableDeclaration;11344 
58;25;VariableDeclaration;11342 
59;30;VariableDeclaration;11346 
60;26;VariableDeclaration;11283 
61;33;VariableDeclaration;11276 
62;30;VariableDeclaration;11276 
63;35;VariableDeclaration;11244 
64;38;VariableDeclaration;11215 
65;30;VariableDeclaration;11208 
66;24;VariableDeclaration;11144 
67;23;VariableDeclaration;11144 
68;24;VariableDeclaration;11102 
69;25;VariableDeclaration;11060 
70;31;VariableDeclaration;11052 
71;33;VariableDeclaration;11044 
72;22;VariableDeclaration;10981 
73;35;VariableDeclaration;10952 
74;22;VariableDeclaration;10889 
75;29;VariableDeclaration;10890 
76;27;VariableDeclaration;10890 
77;24;VariableDeclaration;10858 
78;23;VariableDeclaration;10862 
79;37;VariableDeclaration;10857 
80;22;VariableDeclaration;10857 
81;22;VariableDeclaration;10857 
82;25;VariableDeclaration;10857 
83;39;VariableDeclaration;10826 
84;21;VariableDeclaration;10824 
85;24;VariableDeclaration;10795 
86;34;VariableDeclaration;10796 
87;25;VariableDeclaration;10794 
88;38;VariableDeclaration;10791 
89;39;VariableDeclaration;10767 
90;26;VariableDeclaration;10768 
91;25;VariableDeclaration;10762 
92;22;VariableDeclaration;10760 
93;22;VariableDeclaration;10761 
94;26;VariableDeclaration;10759 
95;35;VariableDeclaration;10735 
96;23;VariableDeclaration;10702 
97;27;VariableDeclaration;10697 
98;25;VariableDeclaration;10698 
99;32;VariableDeclaration;10696 
100;25;VariableDeclaration;10665 
101;39;VariableDeclaration;10657 
102;32;VariableDeclaration;10658 
103;23;VariableDeclaration;10659 
104;36;VariableDeclaration;10659 
105;26;VariableDeclaration;10628 
106;29;VariableDeclaration;10611 
107;24;VariableDeclaration;10611 
108;35;VariableDeclaration;10611 
109;21;VariableDeclaration;10579 
110;36;VariableDeclaration;10575 
111;29;VariableDeclaration;10535 
112;32;VariableDeclaration;10506 
113;34;VariableDeclaration;10507 
114;29;VariableDeclaration;10507 
115;22;VariableDeclaration;10474 
116;34;VariableDeclaration;10462 
117;34;VariableDeclaration;10463 
118;25;VariableDeclaration;10464 
119;30;VariableDeclaration;10464 
120;26;VariableDeclaration;10465 
121;34;VariableDeclaration;10465 
122;29;VariableDeclaration;10437 
123;28;VariableDeclaration;10433 
124;33;VariableDeclaration;10433 
125;38;VariableDeclaration;10434 
