Lib;alg;trial;time;chars;originalchars;diffchars
UglifyJS2;HC;0;32784.79;162059;184449;22390
browserify;HC;0;23331.169;17902;24377;6475
d3-node;HC;0;624.451;2175;3076;901
decimal.js;HC;0;138989.485;134384;144706;10322
esprima;HC;0;82879.127;312756;325767;13011
exectimer;HC;0;676.545;4197;5435;1238
express;HC;0;5947.077;27654;28616;962
jquery;HC;0;118690.574;146124;350419;204295
lodash;HC;0;39574.133;395943;406834;10891
mathjs;HC;2;36200.076;108619;120406;11787
minimist;HC;0;1408.468;6701;6891;190
moment;HC;0;52668.07;125337;134933;9596
node-semver;HC;0;7068.346;38203;38275;72
plivo-node;HC;0;2782.251;15332;22962;7630
pug;HC;0;9315.529;9030;13073;4043
tleaf;HC;0;638.926;965;3686;2721
underscore;HC;0;36482.539;53528;59479;5951
uuid;HC;0;1070.332;5208;6883;1675
xml2js;HC;0;14284.563;21283;22401;1118
