counter;index;instructionType;totalChars 
0;0;original;1722 
1;0;ExpressionStatement;1709 
19;7;CallExpression;1699 
20;6;CallExpression;1690 
21;6;CallExpression;1549 
23;8;CallExpression;1537 
26;13;CallExpression;1527 
29;16;CallExpression;1519 
32;20;CallExpression;1510 
46;25;Literal;1495 
47;25;Literal;1482 
53;3;ObjectExpression;1412 
54;2;ObjectExpression;1346 
56;4;ObjectExpression;1261 
57;5;ObjectExpression;1188 
59;6;ObjectExpression;1158 
62;3;ExpressionStatement;1110 
64;4;ExpressionStatement;1056 
66;7;ExpressionStatement;1045 
67;6;ExpressionStatement;1028 
68;7;ExpressionStatement;1011 
69;7;ExpressionStatement;993 
72;2;FunctionExpression;980 
75;6;FunctionExpression;953 
79;0;Property;941 
80;1;Property;920 
82;2;Property;913 
83;2;Property;906 
84;2;Property;897 
85;2;Property;902 
86;3;Property;884 
87;2;Property;872 
88;2;Property;830 
89;3;Property;818 
91;4;Property;791 
92;5;Property;744 
94;0;IfStatement;727 
96;2;IfStatement;700 
97;2;IfStatement;684 
101;3;ReturnStatement;684 
102;3;ReturnStatement;666 
104;1;FunctionDeclaration;644 
105;1;FunctionDeclaration;617 
111;6;VariableDeclaration;617 
112;7;VariableDeclaration;609 
114;8;VariableDeclaration;609 
120;1;CallExpression;591 
107;0;RESTART;591 
150;1;VariableDeclaration;589 
149;0;RESTART;589 
187;1;RESTART;589 
