counter;index;instructionType;totalChars 
0;0;original;16161 
1;9;ExpressionStatement;16118 
2;5;ExpressionStatement;16100 
3;7;ExpressionStatement;16084 
4;3;ExpressionStatement;16070 
5;2;ExpressionStatement;16042 
9;38;ExpressionStatement;16021 
11;46;ExpressionStatement;16000 
16;84;ExpressionStatement;15988 
25;160;ExpressionStatement;15981 
26;162;ExpressionStatement;15972 
28;172;ExpressionStatement;15966 
29;172;ExpressionStatement;15954 
35;222;ExpressionStatement;15946 
36;221;ExpressionStatement;15937 
37;229;ExpressionStatement;15827 
38;228;ExpressionStatement;15772 
40;235;ExpressionStatement;15766 
41;234;ExpressionStatement;15729 
43;246;ExpressionStatement;15725 
46;267;ExpressionStatement;15680 
49;283;ExpressionStatement;15634 
51;2;CallExpression;15614 
69;176;CallExpression;15584 
70;174;CallExpression;15564 
71;174;CallExpression;15536 
83;286;CallExpression;15523 
85;290;CallExpression;15497 
90;5;FunctionExpression;15481 
91;1;FunctionExpression;15472 
99;71;FunctionExpression;15452 
109;1;VariableDeclaration;15446 
110;4;VariableDeclaration;15443 
112;14;VariableDeclaration;15436 
114;26;VariableDeclaration;15442 
121;82;VariableDeclaration;15442 
122;82;VariableDeclaration;15455 
125;108;VariableDeclaration;15374 
126;106;VariableDeclaration;15374 
127;108;VariableDeclaration;15378 
128;108;VariableDeclaration;15328 
129;107;VariableDeclaration;15309 
130;107;VariableDeclaration;15310 
131;107;VariableDeclaration;15310 
138;165;VariableDeclaration;15291 
141;6;VariableDeclarator;15313 
142;6;VariableDeclarator;15307 
143;2;VariableDeclarator;15288 
149;52;VariableDeclarator;15298 
150;52;VariableDeclarator;15324 
151;56;VariableDeclarator;15334 
152;56;VariableDeclarator;15360 
154;62;VariableDeclarator;15370 
160;116;VariableDeclarator;15368 
161;117;VariableDeclarator;15374 
163;122;VariableDeclarator;15387 
164;121;VariableDeclarator;15415 
165;129;VariableDeclarator;15437 
166;128;VariableDeclarator;15447 
169;148;VariableDeclarator;15483 
172;166;VariableDeclarator;15493 
173;165;VariableDeclarator;15512 
174;160;VariableDeclarator;15518 
177;182;VariableDeclarator;15524 
182;3;IfStatement;15484 
183;3;IfStatement;15461 
186;29;IfStatement;15423 
188;33;IfStatement;15400 
189;32;IfStatement;15395 
190;33;IfStatement;15385 
194;66;IfStatement;15362 
195;69;IfStatement;15339 
196;60;IfStatement;15321 
197;67;IfStatement;15293 
199;77;IfStatement;15242 
200;75;IfStatement;15227 
201;70;IfStatement;15204 
202;78;IfStatement;15191 
203;74;IfStatement;15143 
204;78;IfStatement;15091 
206;88;IfStatement;15059 
209;105;IfStatement;15059 
210;104;IfStatement;15034 
211;102;IfStatement;15023 
212;105;IfStatement;15010 
213;109;IfStatement;14957 
214;109;IfStatement;14919 
221;51;BinaryExpression;14905 
223;67;BinaryExpression;14900 
229;118;BinaryExpression;14896 
230;115;BinaryExpression;14847 
236;164;BinaryExpression;14806 
242;5;ReturnStatement;14759 
243;4;ReturnStatement;14752 
244;2;ReturnStatement;14713 
245;2;ReturnStatement;14614 
247;14;ReturnStatement;14619 
251;43;ReturnStatement;14619 
256;82;ReturnStatement;14606 
257;84;ReturnStatement;14597 
260;103;ReturnStatement;14585 
265;141;ReturnStatement;14585 
267;158;ReturnStatement;14585 
269;164;ReturnStatement;14576 
274;24;UnaryExpression;14576 
275;24;UnaryExpression;14576 
278;49;UnaryExpression;14525 
313;25;Literal;14523 
317;51;Literal;14521 
320;76;Literal;14519 
321;75;Literal;14516 
324;97;Literal;14514 
328;128;Literal;14473 
329;123;Literal;14436 
330;129;Literal;14434 
332;130;Literal;14432 
333;130;Literal;14427 
336;155;Literal;14425 
337;153;Literal;14422 
338;151;Literal;14420 
339;150;Literal;14417 
340;159;Literal;14410 
341;151;Literal;14407 
344;175;Literal;14405 
345;175;Literal;14403 
346;176;Literal;14401 
347;175;Literal;14399 
348;171;Literal;14397 
351;197;Literal;14395 
357;245;Literal;14393 
359;259;Literal;14389 
361;268;Literal;14382 
362;268;Literal;14374 
363;264;Literal;14367 
364;261;Literal;14360 
368;4;FunctionDeclaration;14360 
373;1;Property;14352 
374;2;Property;14340 
376;12;Property;14331 
394;150;ExpressionStatement;14331 
465;106;VariableDeclaration;14331 
486;128;VariableDeclarator;14331 
498;25;IfStatement;14306 
