counter;index;instructionType;totalChars 
0;0;original;8301 
1;6;ExpressionStatement;8277 
2;19;ExpressionStatement;8256 
3;1;ExpressionStatement;8243 
4;2;ExpressionStatement;8225 
5;19;ExpressionStatement;8218 
7;28;ExpressionStatement;8198 
8;33;ExpressionStatement;8187 
9;36;ExpressionStatement;8170 
10;37;ExpressionStatement;8164 
11;28;ExpressionStatement;8144 
12;34;ExpressionStatement;8141 
13;32;ExpressionStatement;8131 
14;37;ExpressionStatement;8113 
15;33;ExpressionStatement;8096 
17;55;ExpressionStatement;8040 
26;59;CallExpression;8023 
28;63;CallExpression;8012 
29;62;CallExpression;7997 
36;3;VariableDeclarator;8005 
37;1;VariableDeclarator;8015 
38;0;VariableDeclarator;8017 
39;2;VariableDeclarator;8065 
40;15;VariableDeclarator;8071 
41;11;VariableDeclarator;8069 
42;11;VariableDeclarator;8067 
43;19;VariableDeclarator;8068 
44;19;VariableDeclarator;8130 
45;12;VariableDeclarator;8144 
46;16;VariableDeclarator;8162 
47;5;VariableDeclarator;8182 
61;138;AssignmentExpression;8159 
69;14;Literal;8156 
70;12;Literal;8153 
75;96;Literal;8151 
78;132;Literal;8148 
79;131;Literal;8142 
95;8;ExpressionStatement;8118 
96;8;ExpressionStatement;8074 
113;14;VariableDeclaration;8074 
115;2;VariableDeclarator;8074 
116;4;VariableDeclarator;8096 
117;19;VariableDeclarator;8102 
118;13;VariableDeclarator;8132 
119;18;VariableDeclarator;8146 
94;0;RESTART;8146 
178;1;VariableDeclarator;8156 
179;0;VariableDeclarator;8174 
180;13;VariableDeclarator;8192 
181;15;VariableDeclarator;8202 
182;12;VariableDeclarator;8212 
183;16;VariableDeclarator;8234 
184;11;VariableDeclarator;8251 
185;0;VariableDeclarator;8309 
186;9;VariableDeclarator;8318 
187;17;VariableDeclarator;8337 
188;15;VariableDeclarator;8375 
189;12;VariableDeclarator;8375 
190;12;VariableDeclarator;8481 
191;0;VariableDeclarator;8483 
192;14;VariableDeclarator;8514 
160;0;RESTART;8514 
249;14;VariableDeclaration;8541 
