Lib;alg;trial;origchars;optchars;originst;optinst;time
UglifyJS2;HC;0;71766;61842;20675;18142;32784.79;
browserify;HC;0;13095;9770;3993;2983;23331.169;
d3-node;HC;0;1673;1238;413;335;624.451;
decimal.js;HC;0;31174;26482;14037;11506;138989.485;
esprima;HC;0;129371;124259;30365;29028;82879.127;
exectimer;HC;0;1861;1363;588;413;676.545;
express;HC;0;8716;7973;2376;2314;5947.077;
jquery;HC;0;86202;17336;30601;5441;118690.574;
lodash;HC;0;49130;46071;19549;18261;39574.133;
mathjs;HC;0;36824;32828;11753;10579;36200.076;
minimist;HC;0;2911;2833;1189;1157;1408.468;
moment;HC;0;48071;44466;15767;14551;52668.07;
node-semver;HC;0;18318;18237;5258;5239;7068.346;
plivo-node;HC;0;12298;8205;3033;1987;2782.251;
pug;HC;0;4794;2916;1294;803;9315.529;
tleaf;HC;0;1722;567;459;136;638.926;
underscore;HC;0;16152;14520;6236;5569;36482.539;
uuid;HC;0;4029;3078;1162;842;1070.332;
xml2js;HC;0;8246;8475;2686;2461;14284.563;
