counter;index;instructionType;totalChars 
0;0;original;71864 
1;0;ExpressionStatement;71851 
17;0;IfStatement;71791 
19;6;ExpressionStatement;71774 
20;6;ExpressionStatement;71737 
21;9;ExpressionStatement;71694 
25;21;ExpressionStatement;71669 
29;36;ExpressionStatement;71625 
30;36;ExpressionStatement;71582 
34;54;ExpressionStatement;71556 
36;58;ExpressionStatement;71546 
37;55;ExpressionStatement;71538 
38;56;ExpressionStatement;71530 
41;67;ExpressionStatement;71526 
42;65;ExpressionStatement;71516 
43;68;ExpressionStatement;71512 
44;67;ExpressionStatement;71508 
46;74;ExpressionStatement;71504 
47;70;ExpressionStatement;71500 
48;73;ExpressionStatement;71496 
49;74;ExpressionStatement;71492 
52;80;ExpressionStatement;71488 
53;83;ExpressionStatement;71484 
54;84;ExpressionStatement;71469 
55;84;ExpressionStatement;71465 
56;83;ExpressionStatement;71460 
58;86;ExpressionStatement;71456 
59;89;ExpressionStatement;71452 
60;88;ExpressionStatement;71448 
61;86;ExpressionStatement;71444 
63;92;ExpressionStatement;71429 
64;92;ExpressionStatement;71425 
65;91;ExpressionStatement;71421 
71;119;ExpressionStatement;71416 
75;130;ExpressionStatement;71287 
78;141;ExpressionStatement;71274 
79;141;ExpressionStatement;71268 
81;145;ExpressionStatement;71261 
82;148;ExpressionStatement;71243 
83;148;ExpressionStatement;71239 
84;149;ExpressionStatement;71234 
85;146;ExpressionStatement;71232 
88;156;ExpressionStatement;71227 
89;157;ExpressionStatement;71168 
90;155;ExpressionStatement;71131 
91;159;ExpressionStatement;71112 
92;158;ExpressionStatement;71107 
93;158;ExpressionStatement;71102 
95;161;ExpressionStatement;71097 
96;164;ExpressionStatement;71092 
100;175;ExpressionStatement;71076 
106;202;ExpressionStatement;71069 
107;202;ExpressionStatement;71064 
112;222;ExpressionStatement;71035 
113;222;ExpressionStatement;71009 
114;221;ExpressionStatement;70980 
115;222;ExpressionStatement;70951 
116;222;ExpressionStatement;70918 
117;223;ExpressionStatement;70727 
118;223;ExpressionStatement;70643 
119;223;ExpressionStatement;70530 
120;223;ExpressionStatement;70430 
122;229;ExpressionStatement;70332 
123;229;ExpressionStatement;70256 
124;229;ExpressionStatement;70164 
125;229;ExpressionStatement;70140 
126;229;ExpressionStatement;70115 
129;236;ExpressionStatement;70022 
130;236;ExpressionStatement;69923 
132;243;ExpressionStatement;69830 
133;243;ExpressionStatement;69731 
138;261;ExpressionStatement;69605 
139;261;ExpressionStatement;69571 
140;260;ExpressionStatement;68940 
141;264;ExpressionStatement;68932 
142;264;ExpressionStatement;68907 
148;289;ExpressionStatement;68805 
150;290;ExpressionStatement;68785 
151;291;ExpressionStatement;68766 
152;294;ExpressionStatement;68741 
153;294;ExpressionStatement;68709 
155;298;ExpressionStatement;68666 
156;297;ExpressionStatement;68592 
158;304;ExpressionStatement;68577 
159;302;ExpressionStatement;68539 
160;301;ExpressionStatement;68495 
161;300;ExpressionStatement;68431 
162;303;ExpressionStatement;68415 
163;304;ExpressionStatement;68399 
164;301;ExpressionStatement;68374 
165;301;ExpressionStatement;68341 
166;303;ExpressionStatement;68324 
169;314;ExpressionStatement;68289 
170;313;ExpressionStatement;68265 
172;318;ExpressionStatement;68181 
173;318;ExpressionStatement;68039 
174;319;ExpressionStatement;67965 
175;317;ExpressionStatement;67879 
176;317;ExpressionStatement;67716 
177;317;ExpressionStatement;67643 
178;316;ExpressionStatement;67595 
179;316;ExpressionStatement;67570 
181;322;ExpressionStatement;67532 
184;334;ExpressionStatement;67483 
185;334;ExpressionStatement;67338 
186;334;ExpressionStatement;67261 
187;333;ExpressionStatement;67156 
188;332;ExpressionStatement;67083 
190;338;ExpressionStatement;66996 
194;350;ExpressionStatement;66983 
195;354;ExpressionStatement;66970 
200;372;ExpressionStatement;66863 
202;376;ExpressionStatement;66771 
203;377;ExpressionStatement;66749 
206;386;ExpressionStatement;66648 
207;388;ExpressionStatement;66626 
208;388;ExpressionStatement;66518 
209;389;ExpressionStatement;66478 
215;414;ExpressionStatement;66466 
216;413;ExpressionStatement;66458 
218;415;ExpressionStatement;66447 
220;424;ExpressionStatement;66411 
223;430;ExpressionStatement;66404 
224;430;ExpressionStatement;66380 
231;464;ExpressionStatement;66373 
234;474;ExpressionStatement;66341 
235;474;ExpressionStatement;66305 
236;472;ExpressionStatement;66252 
238;476;ExpressionStatement;66180 
239;478;ExpressionStatement;66107 
241;481;ExpressionStatement;66078 
242;480;ExpressionStatement;66045 
245;491;ExpressionStatement;66007 
246;493;ExpressionStatement;65991 
251;512;ExpressionStatement;65972 
254;521;ExpressionStatement;65881 
255;524;ExpressionStatement;65833 
260;541;ExpressionStatement;65811 
262;549;ExpressionStatement;65790 
263;548;ExpressionStatement;65686 
269;574;ExpressionStatement;65679 
275;598;ExpressionStatement;65617 
277;604;ExpressionStatement;65545 
278;602;ExpressionStatement;65528 
280;608;ExpressionStatement;65515 
286;632;ExpressionStatement;65427 
287;634;ExpressionStatement;65339 
288;632;ExpressionStatement;65265 
289;634;ExpressionStatement;65090 
290;630;ExpressionStatement;65017 
291;634;ExpressionStatement;64765 
293;637;ExpressionStatement;64759 
294;638;ExpressionStatement;64578 
296;640;ExpressionStatement;64304 
298;647;ExpressionStatement;64258 
300;651;ExpressionStatement;64082 
301;650;ExpressionStatement;64062 
305;668;ExpressionStatement;63884 
308;679;ExpressionStatement;63868 
341;154;CallExpression;63794 
342;152;CallExpression;63767 
349;180;CallExpression;63744 
361;239;CallExpression;63716 
363;242;CallExpression;63662 
427;559;CallExpression;63625 
428;557;CallExpression;63598 
429;559;CallExpression;63484 
432;567;CallExpression;63411 
464;721;CallExpression;63382 
476;777;CallExpression;63335 
477;776;CallExpression;63216 
478;776;CallExpression;63216 
479;776;CallExpression;63216 
501;881;CallExpression;63186 
510;923;CallExpression;63131 
514;938;CallExpression;63099 
515;936;CallExpression;63054 
525;983;CallExpression;63014 
535;1029;CallExpression;62995 
536;1029;CallExpression;62976 
542;1051;CallExpression;62947 
553;1100;CallExpression;62925 
569;1175;CallExpression;62903 
575;1202;CallExpression;62884 
578;1213;CallExpression;62865 
592;1278;CallExpression;62865 
604;1334;CallExpression;62843 
619;1402;CallExpression;62754 
691;6;ObjectExpression;62725 
695;23;ObjectExpression;62712 
696;21;ObjectExpression;62703 
697;21;ObjectExpression;62690 
700;32;ObjectExpression;62681 
712;89;ObjectExpression;62662 
733;46;Property;62634 
740;78;Property;62560 
741;77;Property;62535 
742;77;Property;62494 
768;202;Property;62478 
769;201;Property;62453 
773;215;Property;62429 
774;215;Property;62413 
776;222;Property;62397 
777;221;Property;62372 
779;226;Property;62358 
780;226;Property;62337 
840;19;Literal;62334 
847;45;Literal;62332 
850;58;Literal;62329 
851;55;Literal;62327 
853;64;Literal;62324 
857;79;Literal;62321 
861;91;Literal;62324 
864;101;Literal;62326 
865;104;Literal;62324 
867;106;Literal;62330 
868;105;Literal;62318 
869;109;Literal;62328 
870;106;Literal;62315 
876;132;Literal;62273 
878;137;Literal;62273 
879;136;Literal;62281 
886;166;Literal;62277 
887;168;Literal;62274 
889;171;Literal;62269 
891;175;Literal;62272 
893;180;Literal;62285 
899;209;Literal;62277 
900;207;Literal;62269 
902;211;Literal;62264 
904;218;Literal;62259 
905;215;Literal;62254 
907;224;Literal;62260 
908;222;Literal;62262 
910;228;Literal;62254 
912;232;Literal;62248 
913;232;Literal;62236 
914;234;Literal;62227 
915;230;Literal;62216 
