counter;index;instructionType;totalChars 
0;0;original;1673 
1;4;ExpressionStatement;1673 
2;9;ExpressionStatement;1647 
3;0;ExpressionStatement;1634 
8;55;Identifier;1631 
24;20;CallExpression;1600 
25;20;CallExpression;1560 
27;1;Literal;1543 
28;2;Literal;1532 
29;2;Literal;1521 
30;19;Literal;1513 
31;19;Literal;1509 
32;19;Literal;1455 
33;19;Literal;1447 
36;1;ExpressionStatement;1420 
37;12;ExpressionStatement;1273 
49;2;Property;1260 
50;1;Property;1248 
51;1;Property;1238 
55;1;RESTART;1238 
90;2;RESTART;1238 
125;3;RESTART;1238 
160;4;RESTART;1238 
195;5;RESTART;1238 
