counter;index;instructionType;totalChars 
0;0;original;129648 
5;4;ExpressionStatement;129634 
7;5;ExpressionStatement;129622 
8;5;ExpressionStatement;129616 
9;5;ExpressionStatement;129610 
10;5;ExpressionStatement;129603 
11;5;ExpressionStatement;129590 
32;25;ExpressionStatement;129577 
33;25;ExpressionStatement;129562 
40;31;ExpressionStatement;129537 
41;31;ExpressionStatement;129509 
65;54;ExpressionStatement;129500 
73;61;ExpressionStatement;129487 
75;62;ExpressionStatement;129474 
86;72;ExpressionStatement;129454 
87;72;ExpressionStatement;129428 
95;79;ExpressionStatement;129404 
96;79;ExpressionStatement;129346 
98;80;ExpressionStatement;129322 
99;80;ExpressionStatement;129264 
137;117;ExpressionStatement;129241 
140;119;ExpressionStatement;129224 
164;142;ExpressionStatement;129191 
172;149;ExpressionStatement;129158 
174;150;ExpressionStatement;129109 
175;150;ExpressionStatement;129044 
177;151;ExpressionStatement;128951 
182;155;ExpressionStatement;128896 
183;155;ExpressionStatement;128843 
193;164;ExpressionStatement;128808 
194;164;ExpressionStatement;128775 
199;168;ExpressionStatement;128740 
200;168;ExpressionStatement;128707 
207;174;ExpressionStatement;128674 
211;177;ExpressionStatement;128639 
212;177;ExpressionStatement;128606 
221;185;ExpressionStatement;128573 
234;197;ExpressionStatement;128538 
236;198;ExpressionStatement;128521 
246;207;ExpressionStatement;128497 
248;208;ExpressionStatement;128466 
249;208;ExpressionStatement;128440 
269;227;ExpressionStatement;128422 
271;228;ExpressionStatement;128395 
274;230;ExpressionStatement;128377 
278;233;ExpressionStatement;128359 
282;236;ExpressionStatement;128314 
303;256;ExpressionStatement;128233 
313;265;ExpressionStatement;128185 
319;270;ExpressionStatement;128141 
338;288;ExpressionStatement;128108 
346;295;ExpressionStatement;128060 
361;309;ExpressionStatement;127992 
366;313;ExpressionStatement;127957 
367;313;ExpressionStatement;127924 
375;320;ExpressionStatement;127891 
379;323;ExpressionStatement;127858 
393;336;ExpressionStatement;127775 
394;336;ExpressionStatement;127742 
395;336;ExpressionStatement;127707 
399;339;ExpressionStatement;127674 
400;339;ExpressionStatement;127639 
409;347;ExpressionStatement;127604 
410;347;ExpressionStatement;127571 
414;350;ExpressionStatement;127536 
415;350;ExpressionStatement;127503 
421;355;ExpressionStatement;127470 
425;358;ExpressionStatement;127435 
426;358;ExpressionStatement;127402 
430;361;ExpressionStatement;127367 
431;361;ExpressionStatement;127334 
441;370;ExpressionStatement;127301 
448;376;ExpressionStatement;127292 
458;385;ExpressionStatement;127264 
462;388;ExpressionStatement;127229 
463;388;ExpressionStatement;127196 
467;391;ExpressionStatement;127163 
469;392;ExpressionStatement;127106 
470;392;ExpressionStatement;127060 
480;401;ExpressionStatement;127053 
486;406;ExpressionStatement;127018 
487;406;ExpressionStatement;126985 
495;413;ExpressionStatement;126961 
496;413;ExpressionStatement;126929 
500;416;ExpressionStatement;126892 
501;416;ExpressionStatement;126860 
538;452;ExpressionStatement;126834 
539;452;ExpressionStatement;126805 
541;453;ExpressionStatement;126716 
556;467;ExpressionStatement;126706 
619;529;ExpressionStatement;126673 
632;541;ExpressionStatement;126640 
645;553;ExpressionStatement;126633 
650;557;ExpressionStatement;126626 
659;565;ExpressionStatement;126619 
661;566;ExpressionStatement;126596 
666;570;ExpressionStatement;126589 
671;574;ExpressionStatement;126582 
683;585;ExpressionStatement;126575 
689;590;ExpressionStatement;126568 
703;603;ExpressionStatement;126535 
742;641;ExpressionStatement;126505 
758;656;ExpressionStatement;126462 
773;670;ExpressionStatement;126429 
