counter;index;instructionType;totalChars 
0;0;original;1861 
1;2;ExpressionStatement;1789 
2;17;ExpressionStatement;1778 
3;4;ExpressionStatement;1759 
4;15;ExpressionStatement;1756 
5;0;ExpressionStatement;1743 
9;79;Identifier;1762 
12;137;Identifier;1760 
13;136;Identifier;1759 
22;34;Literal;1740 
23;25;Literal;1738 
27;6;IfStatement;1651 
28;5;IfStatement;1625 
29;5;IfStatement;1620 
30;3;IfStatement;1609 
32;16;BinaryExpression;1571 
36;62;MemberExpression;1559 
38;10;ExpressionStatement;1543 
39;14;ExpressionStatement;1514 
40;15;ExpressionStatement;1486 
41;2;ExpressionStatement;1444 
46;11;ReturnStatement;1432 
47;10;ReturnStatement;1363 
48;11;ReturnStatement;1363 
51;1;RESTART;1363 
78;2;RESTART;1363 
