counter;index;instructionType;totalChars 
0;0;original;8743 
1;0;ExpressionStatement;8730 
2;0;VariableDeclaration;8693 
5;40;VariableDeclaration;8675 
19;60;Identifier;8675 
21;83;Identifier;8675 
25;157;Identifier;8673 
26;146;Identifier;8672 
28;167;Identifier;8670 
29;174;Identifier;8668 
30;160;Identifier;8666 
32;192;Identifier;8666 
33;189;Identifier;8658 
36;228;Identifier;8658 
40;289;Identifier;8658 
42;302;Identifier;8658 
45;359;Identifier;8656 
46;357;Identifier;8654 
50;402;Identifier;8654 
54;466;Identifier;8654 
58;530;Identifier;8654 
60;540;Identifier;8654 
61;558;Identifier;8653 
62;557;Identifier;8652 
63;558;Identifier;8651 
65;567;Identifier;8651 
68;615;Identifier;8651 
72;678;Identifier;8651 
74;690;Identifier;8651 
78;743;Identifier;8650 
79;750;Identifier;8650 
84;832;Identifier;8649 
87;864;Identifier;8649 
88;864;Identifier;8648 
90;891;Identifier;8651 
92;909;Identifier;8649 
143;53;CallExpression;8631 
149;151;CallExpression;8610 
151;163;CallExpression;8610 
155;32;Literal;8543 
156;33;Literal;8476 
157;39;Literal;8422 
158;39;Literal;8417 
160;58;Literal;8401 
162;70;Literal;8336 
163;71;Literal;8271 
165;83;Literal;8204 
166;90;Literal;8194 
167;89;Literal;8170 
168;81;Literal;8104 
170;118;Literal;8063 
172;134;Literal;8045 
173;139;Literal;8042 
176;163;Literal;7976 
177;177;Literal;7957 
178;173;Literal;7923 
179;171;Literal;7907 
180;173;Literal;7904 
181;176;Literal;7888 
183;192;Literal;7887 
198;6;ExpressionStatement;7873 
199;11;ExpressionStatement;7861 
200;7;ExpressionStatement;7849 
201;15;ExpressionStatement;7840 
202;9;ExpressionStatement;7822 
203;17;ExpressionStatement;7800 
204;17;ExpressionStatement;7783 
205;16;ExpressionStatement;7773 
206;16;ExpressionStatement;7766 
207;17;ExpressionStatement;7755 
209;35;ExpressionStatement;7743 
210;20;ExpressionStatement;7707 
211;21;ExpressionStatement;7702 
212;24;ExpressionStatement;7688 
213;25;ExpressionStatement;7676 
214;33;ExpressionStatement;7663 
215;29;ExpressionStatement;7649 
217;52;ExpressionStatement;7603 
218;57;ExpressionStatement;7596 
219;49;ExpressionStatement;7591 
220;41;ExpressionStatement;7574 
221;43;ExpressionStatement;7569 
222;52;ExpressionStatement;7562 
224;79;ExpressionStatement;7522 
225;79;ExpressionStatement;7492 
227;94;ExpressionStatement;7481 
228;97;ExpressionStatement;7467 
229;86;ExpressionStatement;7453 
230;91;ExpressionStatement;7449 
232;116;ExpressionStatement;7442 
233;103;ExpressionStatement;7437 
234;105;ExpressionStatement;7432 
244;15;ReturnStatement;7421 
245;4;ReturnStatement;7409 
246;14;ReturnStatement;7397 
248;21;ReturnStatement;7394 
249;34;ReturnStatement;7379 
