counter;index;instructionType;totalChars 
0;0;original;49636 
3;2;ExpressionStatement;49506 
5;3;ExpressionStatement;49430 
6;3;ExpressionStatement;49375 
19;15;ExpressionStatement;49354 
46;41;ExpressionStatement;49342 
47;41;ExpressionStatement;49335 
69;62;ExpressionStatement;49321 
78;70;ExpressionStatement;49303 
86;77;ExpressionStatement;49292 
90;80;ExpressionStatement;49281 
101;90;ExpressionStatement;49266 
111;99;ExpressionStatement;49178 
126;113;ExpressionStatement;49175 
151;137;ExpressionStatement;49166 
160;145;ExpressionStatement;49159 
174;158;ExpressionStatement;49163 
178;161;ExpressionStatement;49148 
189;171;ExpressionStatement;49138 
196;177;ExpressionStatement;49128 
212;192;ExpressionStatement;49116 
219;198;ExpressionStatement;49111 
227;205;ExpressionStatement;49095 
239;216;ExpressionStatement;49082 
240;216;ExpressionStatement;49068 
241;216;ExpressionStatement;49013 
275;249;ExpressionStatement;49003 
278;251;ExpressionStatement;48991 
279;251;ExpressionStatement;48969 
288;259;ExpressionStatement;48965 
289;259;ExpressionStatement;48951 
292;261;ExpressionStatement;48906 
294;262;ExpressionStatement;48893 
312;279;ExpressionStatement;48888 
359;325;ExpressionStatement;48876 
365;330;ExpressionStatement;48864 
369;333;ExpressionStatement;48858 
371;334;ExpressionStatement;48821 
373;335;ExpressionStatement;48784 
378;339;ExpressionStatement;48775 
384;344;ExpressionStatement;48768 
386;345;ExpressionStatement;48754 
442;400;ExpressionStatement;48746 
449;406;ExpressionStatement;48719 
459;415;ExpressionStatement;48710 
461;416;ExpressionStatement;48704 
469;423;ExpressionStatement;48697 
480;433;ExpressionStatement;48692 
485;437;ExpressionStatement;48686 
487;438;ExpressionStatement;48679 
488;438;ExpressionStatement;48674 
494;443;ExpressionStatement;48665 
519;467;ExpressionStatement;48651 
547;494;ExpressionStatement;48649 
800;746;ExpressionStatement;48641 
817;762;ExpressionStatement;48533 
818;762;ExpressionStatement;48490 
832;775;ExpressionStatement;48485 
833;775;ExpressionStatement;48478 
841;6;CallExpression;48428 
842;6;CallExpression;48408 
843;6;CallExpression;48613 
844;6;CallExpression;48493 
860;21;CallExpression;48481 
867;27;CallExpression;48469 
869;28;CallExpression;48448 
962;120;CallExpression;48437 
1112;269;CallExpression;48432 
1146;302;CallExpression;48426 
1240;395;CallExpression;48413 
1253;407;CallExpression;48406 
1369;522;CallExpression;48401 
1414;566;CallExpression;48377 
1843;994;CallExpression;48369 
1938;10;FunctionExpression;48293 
2061;132;FunctionExpression;48272 
2063;0;VariableDeclaration;48846 
2099;35;VariableDeclaration;48846 
2122;57;VariableDeclaration;48859 
2123;57;VariableDeclaration;48842 
2126;59;VariableDeclaration;49003 
2129;61;VariableDeclaration;49150 
2148;79;VariableDeclaration;49141 
2149;79;VariableDeclaration;49081 
2150;79;VariableDeclaration;49071 
2177;105;VariableDeclaration;49082 
2180;107;VariableDeclaration;49075 
2205;131;VariableDeclaration;49059 
2226;151;VariableDeclaration;49055 
2233;157;VariableDeclaration;49057 
2265;188;VariableDeclaration;49037 
2301;223;VariableDeclaration;49035 
2492;413;VariableDeclaration;49035 
2544;12;VariableDeclarator;49033 
2557;24;VariableDeclarator;49033 
2561;27;VariableDeclarator;49033 
2563;28;VariableDeclarator;49033 
2659;123;VariableDeclarator;49025 
2660;123;VariableDeclarator;49022 
2661;123;VariableDeclarator;49021 
2662;123;VariableDeclarator;49013 
2663;123;VariableDeclarator;48944 
2667;126;VariableDeclarator;48936 
2669;127;VariableDeclarator;48945 
2670;127;VariableDeclarator;48961 
2673;129;VariableDeclarator;48978 
2766;221;VariableDeclarator;48969 
2881;335;VariableDeclarator;48943 
2966;419;VariableDeclarator;48944 
3044;496;VariableDeclarator;48940 
3067;518;VariableDeclarator;48940 
3086;536;VariableDeclarator;48934 
3170;619;VariableDeclarator;48947 
3344;0;Literal;48938 
3356;11;Literal;48935 
3361;15;Literal;48910 
3382;35;Literal;48895 
3383;35;Literal;48876 
3384;35;Literal;48846 
3412;62;Literal;48838 
3413;62;Literal;48824 
3414;62;Literal;48817 
3415;62;Literal;48809 
3416;62;Literal;48794 
3417;62;Literal;48779 
3418;62;Literal;48768 
3419;62;Literal;48756 
3420;62;Literal;48743 
3421;62;Literal;48730 
3422;62;Literal;48723 
3423;62;Literal;48714 
3424;62;Literal;48705 
3425;62;Literal;48695 
3426;62;Literal;48686 
3427;62;Literal;48680 
3428;62;Literal;48671 
3429;62;Literal;48659 
3430;62;Literal;48646 
3431;62;Literal;48626 
3432;62;Literal;48612 
3433;62;Literal;48598 
3434;62;Literal;48588 
3435;62;Literal;48584 
3436;62;Literal;48569 
3437;62;Literal;48558 
3438;62;Literal;48545 
3439;62;Literal;48534 
3440;62;Literal;48522 
3629;250;Literal;48514 
3638;258;Literal;48504 
3693;312;Literal;48500 
3727;345;Literal;48498 
3762;379;Literal;48496 
3763;379;Literal;48493 
3773;388;Literal;48483 
3811;425;Literal;48481 
3837;450;Literal;48479 
3916;528;Literal;48477 
3936;547;Literal;48475 
3943;553;Literal;48473 
3965;574;Literal;48470 
3991;599;Literal;48462 
3994;601;Literal;48454 
3999;605;Literal;48444 
4046;651;Literal;48444 
4051;655;Literal;48442 
4082;685;Literal;48439 
4090;692;Literal;48437 
4095;696;Literal;48435 
4097;697;Literal;48433 
4115;714;Literal;48431 
4119;717;Literal;48429 
4216;813;Literal;48426 
4325;921;Literal;48425 
4358;953;Literal;48423 
4381;975;Literal;48420 
4440;1033;Literal;48418 
4464;1056;Literal;48416 
4482;1073;Literal;48415 
4489;1079;Literal;48414 
