counter;index;instructionType;totalChars 
0;0;original;36858 
8;141;ExpressionStatement;36832 
9;144;ExpressionStatement;36806 
10;159;ExpressionStatement;36791 
12;164;ExpressionStatement;36765 
13;165;ExpressionStatement;36737 
14;160;ExpressionStatement;36709 
16;181;ExpressionStatement;36685 
18;207;ExpressionStatement;36660 
19;206;ExpressionStatement;36636 
20;219;ExpressionStatement;36595 
21;204;ExpressionStatement;36564 
22;206;ExpressionStatement;36536 
23;210;ExpressionStatement;36507 
24;212;ExpressionStatement;36449 
25;210;ExpressionStatement;36420 
26;214;ExpressionStatement;36376 
27;212;ExpressionStatement;36335 
28;206;ExpressionStatement;36321 
29;219;ExpressionStatement;36276 
30;213;ExpressionStatement;36234 
31;217;ExpressionStatement;36193 
32;202;ExpressionStatement;36165 
33;219;ExpressionStatement;36101 
34;207;ExpressionStatement;36077 
35;203;ExpressionStatement;36054 
36;213;ExpressionStatement;36012 
37;203;ExpressionStatement;35971 
38;209;ExpressionStatement;35930 
39;209;ExpressionStatement;35881 
41;233;ExpressionStatement;35814 
42;234;ExpressionStatement;35806 
43;238;ExpressionStatement;35773 
44;221;ExpressionStatement;35744 
45;239;ExpressionStatement;35736 
47;256;ExpressionStatement;35716 
48;245;ExpressionStatement;35708 
49;244;ExpressionStatement;35684 
50;246;ExpressionStatement;35675 
51;254;ExpressionStatement;35658 
52;258;ExpressionStatement;35642 
53;241;ExpressionStatement;35610 
54;251;ExpressionStatement;35597 
55;242;ExpressionStatement;35577 
57;19;Literal;35479 
58;18;Literal;35427 
60;20;Literal;35370 
61;38;Literal;35358 
62;39;Literal;35358 
64;58;Literal;35360 
65;58;Literal;35362 
67;62;Literal;35357 
68;65;Literal;35354 
71;108;Literal;35354 
72;105;Literal;35353 
74;128;Literal;35345 
75;125;Literal;35334 
78;178;Literal;35293 
79;179;Literal;35271 
81;189;Literal;35271 
82;193;Literal;35271 
85;237;Literal;35271 
87;257;Literal;35163 
89;260;Literal;35055 
109;656;Literal;35050 
110;656;Literal;35049 
112;664;Literal;35044 
113;679;Literal;35042 
114;668;Literal;35037 
115;673;Literal;35035 
116;660;Literal;35033 
117;675;Literal;35029 
118;671;Literal;35025 
119;667;Literal;35024 
120;677;Literal;35022 
121;663;Literal;35021 
122;675;Literal;35017 
125;719;Literal;35015 
126;718;Literal;35011 
128;727;Literal;35009 
129;730;Literal;35004 
130;735;Literal;35002 
131;721;Literal;34997 
132;721;Literal;34996 
133;736;Literal;34991 
134;732;Literal;34987 
135;735;Literal;34986 
136;724;Literal;34982 
137;737;Literal;34977 
138;737;Literal;34976 
139;727;Literal;34975 
141;749;Literal;34961 
142;758;Literal;34959 
143;757;Literal;34957 
144;757;Literal;34955 
145;753;Literal;34953 
146;759;Literal;34951 
147;753;Literal;34949 
148;755;Literal;34947 
149;754;Literal;34945 
150;759;Literal;34943 
151;754;Literal;34941 
152;759;Literal;34939 
153;753;Literal;34938 
154;755;Literal;34936 
155;757;Literal;34934 
156;754;Literal;34932 
157;759;Literal;34930 
158;758;Literal;34928 
159;759;Literal;34926 
160;759;Literal;34924 
161;759;Literal;34922 
162;754;Literal;34920 
163;754;Literal;34918 
164;756;Literal;34916 
165;756;Literal;34914 
167;762;Literal;34912 
168;775;Literal;34910 
169;779;Literal;34908 
170;778;Literal;34906 
171;779;Literal;34904 
172;770;Literal;34902 
173;760;Literal;34900 
174;762;Literal;34898 
175;769;Literal;34896 
176;761;Literal;34894 
177;776;Literal;34892 
178;778;Literal;34890 
179;774;Literal;34888 
180;775;Literal;34886 
181;767;Literal;34884 
182;775;Literal;34882 
183;773;Literal;34880 
184;779;Literal;34878 
185;760;Literal;34876 
186;775;Literal;34874 
187;771;Literal;34872 
188;768;Literal;34870 
189;777;Literal;34868 
190;765;Literal;34866 
191;773;Literal;34864 
192;773;Literal;34862 
193;774;Literal;34860 
194;772;Literal;34858 
195;778;Literal;34856 
196;778;Literal;34854 
197;778;Literal;34852 
198;768;Literal;34850 
199;768;Literal;34848 
200;775;Literal;34846 
201;779;Literal;34844 
202;777;Literal;34842 
203;774;Literal;34840 
204;770;Literal;34838 
205;779;Literal;34836 
206;776;Literal;34834 
207;766;Literal;34832 
208;774;Literal;34830 
209;777;Literal;34828 
210;764;Literal;34826 
211;771;Literal;34824 
212;767;Literal;34823 
213;771;Literal;34821 
214;779;Literal;34819 
215;764;Literal;34817 
216;778;Literal;34815 
217;765;Literal;34814 
218;770;Literal;34812 
219;774;Literal;34810 
220;778;Literal;34808 
221;772;Literal;34806 
222;764;Literal;34805 
223;770;Literal;34803 
224;775;Literal;34801 
225;777;Literal;34799 
226;768;Literal;34797 
227;770;Literal;34795 
228;775;Literal;34793 
229;767;Literal;34792 
230;777;Literal;34790 
231;773;Literal;34788 
232;778;Literal;34786 
233;776;Literal;34784 
234;777;Literal;34782 
235;772;Literal;34780 
236;768;Literal;34778 
237;774;Literal;34776 
238;778;Literal;34774 
239;774;Literal;34772 
240;779;Literal;34770 
241;778;Literal;34768 
242;779;Literal;34766 
243;778;Literal;34764 
244;777;Literal;34762 
246;794;Literal;34760 
247;793;Literal;34758 
248;785;Literal;34756 
249;796;Literal;34754 
250;782;Literal;34752 
251;788;Literal;34750 
252;795;Literal;34748 
253;788;Literal;34746 
254;795;Literal;34744 
255;799;Literal;34742 
256;788;Literal;34740 
257;798;Literal;34738 
258;793;Literal;34736 
259;799;Literal;34734 
260;792;Literal;34732 
261;781;Literal;34730 
262;796;Literal;34728 
263;782;Literal;34726 
264;799;Literal;34724 
265;781;Literal;34722 
266;799;Literal;34720 
267;793;Literal;34718 
268;799;Literal;34716 
269;797;Literal;34714 
270;797;Literal;34712 
272;805;Literal;34710 
273;818;Literal;34708 
274;802;Literal;34706 
275;801;Literal;34704 
276;810;Literal;34702 
277;808;Literal;34700 
278;814;Literal;34698 
279;808;Literal;34696 
280;813;Literal;34694 
281;819;Literal;34692 
282;813;Literal;34690 
283;802;Literal;34688 
284;818;Literal;34686 
285;818;Literal;34684 
286;807;Literal;34682 
287;811;Literal;34680 
288;818;Literal;34678 
289;818;Literal;34676 
290;806;Literal;34674 
291;801;Literal;34672 
292;814;Literal;34670 
293;817;Literal;34668 
294;812;Literal;34666 
295;816;Literal;34664 
296;818;Literal;34662 
297;818;Literal;34660 
298;819;Literal;34658 
299;817;Literal;34656 
300;818;Literal;34654 
301;817;Literal;34652 
