counter;index;instructionType;totalChars 
0;0;original;18323 
1;0;ExpressionStatement;18293 
2;0;VariableDeclaration;18289 
4;10;IfStatement;18237 
7;34;IfStatement;18205 
8;37;IfStatement;18170 
10;47;IfStatement;18136 
11;46;IfStatement;18102 
12;44;IfStatement;18068 
14;53;IfStatement;18017 
16;61;IfStatement;17957 
38;152;BinaryExpression;17905 
42;185;BinaryExpression;17871 
46;211;BinaryExpression;17845 
50;241;BinaryExpression;17817 
81;16;Identifier;17807 
83;22;Identifier;17799 
84;21;Identifier;17799 
115;321;Identifier;17797 
120;365;Identifier;17795 
121;361;Identifier;17793 
123;378;Identifier;17791 
124;372;Identifier;17789 
128;404;Identifier;17787 
129;403;Identifier;17785 
142;523;Identifier;17783 
145;549;Identifier;17781 
146;548;Identifier;17779 
151;585;Identifier;17777 
153;590;Identifier;17775 
167;726;Identifier;17773 
168;728;Identifier;17771 
169;727;Identifier;17770 
170;725;Identifier;17769 
177;789;Identifier;17767 
178;785;Identifier;17765 
181;802;Identifier;17763 
183;816;Identifier;17761 
194;916;Identifier;17759 
196;925;Identifier;17757 
197;920;Identifier;17755 
198;928;Identifier;17753 
201;949;Identifier;17751 
203;950;Identifier;17749 
204;950;Identifier;17747 
209;999;Identifier;17745 
213;1025;Identifier;17743 
214;1021;Identifier;17741 
215;1029;Identifier;17739 
217;1033;Identifier;17737 
221;1065;Identifier;17735 
223;1076;Identifier;17733 
227;1103;Identifier;17731 
228;1108;Identifier;17729 
230;1111;Identifier;17727 
235;1158;Identifier;17725 
236;1158;Identifier;17723 
239;1178;Identifier;17721 
240;1170;Identifier;17719 
248;1243;Identifier;17717 
250;1251;Identifier;17715 
252;1266;Identifier;17713 
254;1271;Identifier;17711 
255;1276;Identifier;17709 
256;1279;Identifier;17707 
258;1280;Identifier;17705 
259;1285;Identifier;17703 
260;1283;Identifier;17701 
265;1322;Identifier;17699 
266;1324;Identifier;17697 
267;1321;Identifier;17695 
268;1322;Identifier;17693 
269;1322;Identifier;17691 
270;1321;Identifier;17689 
272;1339;Identifier;17687 
275;1357;Identifier;17685 
277;1365;Identifier;17684 
279;1373;Identifier;17682 
280;1373;Identifier;17680 
282;1388;Identifier;17678 
283;1388;Identifier;17676 
284;1389;Identifier;17674 
285;1388;Identifier;17672 
286;1388;Identifier;17670 
287;1388;Identifier;17668 
291;1411;Identifier;17666 
297;1467;Identifier;17664 
298;1460;Identifier;17662 
299;1465;Identifier;17660 
301;1471;Identifier;17658 
304;1494;Identifier;17656 
305;1495;Identifier;17654 
306;1497;Identifier;17652 
307;1496;Identifier;17650 
308;1496;Identifier;17648 
309;1495;Identifier;17646 
310;1492;Identifier;17644 
311;1493;Identifier;17642 
318;1554;Identifier;17640 
319;1559;Identifier;17638 
320;1559;Identifier;17636 
321;1557;Identifier;17634 
324;1576;Identifier;17632 
340;1725;Identifier;17630 
344;1755;Identifier;17628 
356;1863;Identifier;17626 
358;1870;Identifier;17624 
364;1920;Identifier;17622 
365;1923;Identifier;17620 
