counter;index;instructionType;totalChars 
0;0;original;12325 
1;29;VariableDeclaration;12326 
2;35;VariableDeclaration;12324 
3;30;VariableDeclaration;12324 
4;33;VariableDeclaration;12299 
5;37;VariableDeclaration;12269 
6;28;VariableDeclaration;12244 
8;43;VariableDeclaration;12214 
9;68;VariableDeclaration;12151 
10;73;VariableDeclaration;12109 
11;65;VariableDeclaration;12109 
12;58;VariableDeclaration;12046 
13;75;VariableDeclaration;12047 
14;78;VariableDeclaration;12048 
15;52;VariableDeclaration;12013 
16;46;VariableDeclaration;12006 
17;68;VariableDeclaration;12006 
18;63;VariableDeclaration;12004 
19;46;VariableDeclaration;12005 
20;68;VariableDeclaration;12003 
22;99;VariableDeclaration;12004 
23;118;VariableDeclaration;12004 
24;106;VariableDeclaration;12005 
25;117;VariableDeclaration;11997 
27;155;VariableDeclaration;11995 
28;145;VariableDeclaration;11993 
29;142;VariableDeclaration;11956 
30;144;VariableDeclaration;11937 
31;133;VariableDeclaration;11937 
32;137;VariableDeclaration;11900 
33;130;VariableDeclaration;11888 
34;144;VariableDeclaration;11869 
35;149;VariableDeclaration;11870 
42;77;Identifier;11868 
44;117;Identifier;11866 
45;117;Identifier;11864 
46;118;Identifier;11865 
47;117;Identifier;11871 
49;155;Identifier;11878 
50;151;Identifier;11895 
51;153;Identifier;11893 
54;232;Identifier;11901 
55;239;Identifier;11895 
56;225;Identifier;11875 
57;239;Identifier;11873 
58;226;Identifier;11871 
59;237;Identifier;11864 
60;236;Identifier;11856 
61;230;Identifier;11855 
62;239;Identifier;11860 
63;238;Identifier;11874 
66;311;Identifier;11847 
67;311;Identifier;11838 
68;304;Identifier;11843 
69;316;Identifier;11848 
70;310;Identifier;11846 
74;436;Identifier;11851 
75;435;Identifier;11860 
76;430;Identifier;11853 
77;428;Identifier;11839 
78;429;Identifier;11837 
79;418;Identifier;11831 
80;437;Identifier;11824 
81;423;Identifier;11823 
82;434;Identifier;11816 
83;434;Identifier;11807 
85;469;Identifier;11805 
88;538;Identifier;11798 
90;586;Identifier;11756 
92;637;Identifier;11761 
93;639;Identifier;11758 
94;636;Identifier;11762 
95;639;Identifier;11755 
96;639;Identifier;11746 
97;638;Identifier;11739 
99;679;Identifier;11742 
100;660;Identifier;11740 
101;672;Identifier;11734 
103;718;Identifier;11737 
104;711;Identifier;11711 
105;712;Identifier;11709 
107;755;Identifier;11714 
111;878;Identifier;11727 
112;878;Identifier;11733 
113;863;Identifier;11746 
114;873;Identifier;11744 
115;872;Identifier;11737 
116;856;Identifier;11725 
119;949;Identifier;11719 
120;941;Identifier;11724 
123;1032;Identifier;11717 
124;1026;Identifier;11720 
125;1037;Identifier;11725 
