counter;index;instructionType;totalChars 
0;0;original;4800 
1;0;ExpressionStatement;4787 
5;19;VariableDeclaration;4805 
9;31;VariableDeclaration;4803 
10;30;VariableDeclaration;4801 
25;33;Identifier;4805 
27;36;Identifier;4813 
28;35;Identifier;4812 
29;39;Identifier;4810 
30;39;Identifier;4809 
32;43;Identifier;4816 
34;46;Identifier;4820 
45;99;Identifier;4824 
47;102;Identifier;4828 
55;137;Identifier;4826 
60;156;Identifier;4830 
61;159;Identifier;4834 
66;179;Identifier;4832 
67;179;Identifier;4830 
68;179;Identifier;4829 
73;197;Identifier;4827 
74;196;Identifier;4826 
76;200;Identifier;4824 
82;226;Identifier;4827 
158;604;Identifier;4843 
159;604;Identifier;4842 
160;603;Identifier;4844 
163;614;Identifier;4836 
164;614;Identifier;4833 
165;613;Identifier;4829 
297;14;CallExpression;4811 
302;32;CallExpression;4766 
303;32;CallExpression;4766 
304;34;CallExpression;4724 
309;52;CallExpression;4724 
312;63;CallExpression;4719 
313;63;CallExpression;4701 
320;16;Literal;4691 
321;15;Literal;4675 
322;19;Literal;4664 
323;19;Literal;4652 
324;19;Literal;4642 
325;19;Literal;4633 
326;19;Literal;4622 
327;19;Literal;4609 
328;19;Literal;4595 
329;19;Literal;4585 
330;19;Literal;4574 
331;19;Literal;4561 
333;22;Literal;4554 
334;20;Literal;4540 
335;20;Literal;4540 
336;23;Literal;4537 
338;28;Literal;4488 
340;32;Literal;4481 
343;7;ExpressionStatement;4395 
344;8;ExpressionStatement;4376 
345;8;ExpressionStatement;4356 
347;10;ExpressionStatement;4266 
348;13;ExpressionStatement;4251 
349;14;ExpressionStatement;4231 
350;14;ExpressionStatement;4153 
351;13;ExpressionStatement;4127 
352;11;ExpressionStatement;4127 
354;16;ExpressionStatement;4107 
355;15;ExpressionStatement;4087 
356;17;ExpressionStatement;4067 
357;17;ExpressionStatement;4045 
358;16;ExpressionStatement;4025 
359;16;ExpressionStatement;4025 
362;29;ExpressionStatement;3981 
363;28;ExpressionStatement;3944 
366;39;ExpressionStatement;3902 
367;38;ExpressionStatement;3800 
377;7;MemberExpression;3781 
387;53;MemberExpression;3779 
408;1;FunctionDeclaration;3625 
410;1;ReturnStatement;3589 
412;5;ReturnStatement;3589 
414;14;ReturnStatement;3589 
424;6;Property;3579 
425;9;Property;3569 
426;7;Property;3517 
427;5;Property;3505 
428;8;Property;3477 
430;10;Property;3459 
432;15;Property;3426 
434;23;Property;3412 
435;20;Property;3394 
436;24;Property;3364 
437;22;Property;3340 
438;24;Property;3322 
439;24;Property;3294 
441;27;Property;3276 
442;28;Property;3258 
443;29;Property;3228 
444;29;Property;3214 
446;31;Property;3184 
447;32;Property;3166 
448;33;Property;3134 
450;3;IfStatement;3118 
452;8;IfStatement;3076 
453;7;IfStatement;3052 
454;6;IfStatement;3052 
457;5;BinaryExpression;3026 
462;3;VariableDeclaration;2982 
498;116;Identifier;2980 
541;327;Identifier;2978 
700;3;ExpressionStatement;2959 
752;19;Property;2911 
461;0;RESTART;2911 
