counter;index;instructionType;totalChars 
0;0;original;1722 
1;4;ExpressionStatement;1710 
2;6;ExpressionStatement;1699 
3;0;ExpressionStatement;1686 
4;7;VariableDeclaration;1677 
7;11;Identifier;1676 
10;51;Identifier;1681 
11;56;Identifier;1680 
13;64;Identifier;1682 
14;63;Identifier;1690 
15;79;Identifier;1689 
20;143;Identifier;1694 
22;177;Identifier;1693 
23;166;Identifier;1691 
24;163;Identifier;1672 
25;164;Identifier;1671 
26;167;Identifier;1670 
27;168;Identifier;1669 
28;165;Identifier;1668 
40;7;CallExpression;1525 
41;5;CallExpression;1500 
42;6;CallExpression;1488 
43;11;CallExpression;1478 
44;14;CallExpression;1470 
45;18;CallExpression;1462 
48;26;Literal;1463 
49;25;Literal;1434 
52;8;MemberExpression;1395 
54;29;MemberExpression;1383 
55;30;MemberExpression;1377 
57;2;ObjectExpression;1311 
58;2;ObjectExpression;1241 
59;8;ObjectExpression;1227 
60;2;ObjectExpression;1204 
61;2;ObjectExpression;1115 
62;3;ObjectExpression;1042 
64;8;ExpressionStatement;1031 
65;9;ExpressionStatement;1022 
66;4;ExpressionStatement;985 
67;8;ExpressionStatement;965 
68;6;ExpressionStatement;948 
70;2;FunctionExpression;936 
71;6;FunctionExpression;909 
74;0;Property;897 
75;1;Property;876 
76;3;Property;858 
77;2;Property;846 
78;8;Property;806 
79;4;Property;794 
80;2;Property;752 
81;4;Property;725 
83;0;IfStatement;708 
84;3;IfStatement;693 
85;2;IfStatement;672 
88;3;ReturnStatement;672 
89;3;ReturnStatement;654 
91;1;FunctionDeclaration;633 
92;1;FunctionDeclaration;607 
95;5;VariableDeclaration;607 
96;7;VariableDeclaration;599 
97;5;VariableDeclaration;599 
98;1;VariableDeclaration;579 
99;6;VariableDeclaration;579 
102;18;Identifier;578 
104;21;Identifier;577 
105;24;Identifier;575 
106;31;Identifier;573 
107;31;Identifier;572 
108;38;Identifier;571 
109;39;Identifier;569 
110;39;Identifier;568 
112;52;Identifier;567 
94;0;RESTART;567 
137;1;RESTART;567 
166;2;RESTART;567 
195;3;RESTART;567 
