counter;index;instructionType;totalChars 
0;0;original;16161 
3;2;ExpressionStatement;16133 
4;2;ExpressionStatement;16119 
6;3;ExpressionStatement;16101 
9;5;ExpressionStatement;16087 
10;5;ExpressionStatement;16042 
44;38;ExpressionStatement;16021 
53;46;ExpressionStatement;16000 
92;84;ExpressionStatement;15988 
169;160;ExpressionStatement;15981 
172;162;ExpressionStatement;15972 
183;172;ExpressionStatement;15966 
184;172;ExpressionStatement;15954 
234;221;ExpressionStatement;15946 
235;221;ExpressionStatement;15937 
243;228;ExpressionStatement;15882 
244;228;ExpressionStatement;15772 
251;234;ExpressionStatement;15729 
264;246;ExpressionStatement;15725 
286;267;ExpressionStatement;15680 
303;283;ExpressionStatement;15634 
307;2;CallExpression;15614 
480;174;CallExpression;15599 
481;174;CallExpression;15536 
594;286;CallExpression;15523 
599;290;CallExpression;15497 
634;1;MemberExpression;15491 
642;8;MemberExpression;15472 
643;8;MemberExpression;15441 
789;153;MemberExpression;15430 
820;183;MemberExpression;15419 
960;322;MemberExpression;15312 
961;322;MemberExpression;15308 
1193;1;FunctionExpression;15299 
1197;4;FunctionExpression;15283 
1265;71;FunctionExpression;15263 
1351;1;VariableDeclaration;15263 
1355;4;VariableDeclaration;15260 
1366;14;VariableDeclaration;15253 
1379;26;VariableDeclaration;15259 
1436;82;VariableDeclaration;15259 
1437;82;VariableDeclaration;15272 
1462;106;VariableDeclaration;15272 
1464;107;VariableDeclaration;15272 
1465;107;VariableDeclaration;15279 
1466;107;VariableDeclaration;15287 
1467;107;VariableDeclaration;15237 
1468;107;VariableDeclaration;15238 
1528;166;VariableDeclaration;15219 
1542;6;VariableDeclarator;15241 
1543;6;VariableDeclarator;15235 
1591;53;VariableDeclarator;15245 
1592;53;VariableDeclarator;15271 
1597;57;VariableDeclarator;15281 
1598;57;VariableDeclarator;15307 
1605;63;VariableDeclarator;15317 
1660;117;VariableDeclarator;15315 
1662;118;VariableDeclarator;15321 
1667;122;VariableDeclarator;15349 
1668;122;VariableDeclarator;15362 
1676;129;VariableDeclarator;15372 
1677;129;VariableDeclarator;15394 
1699;150;VariableDeclarator;15430 
1712;162;VariableDeclarator;15436 
1717;166;VariableDeclarator;15455 
1718;166;VariableDeclarator;15465 
1737;184;VariableDeclarator;15471 
1839;72;Identifier;15469 
1840;72;Identifier;15467 
1871;102;Identifier;15471 
1922;152;Identifier;15476 
2012;241;Identifier;15475 
2121;349;Identifier;15473 
2127;354;Identifier;15471 
2153;379;Identifier;15469 
2170;395;Identifier;15467 
2205;429;Identifier;15465 
2240;463;Identifier;15463 
2252;474;Identifier;15462 
2361;582;Identifier;15460 
2412;632;Identifier;15458 
2429;648;Identifier;15457 
2439;657;Identifier;15456 
2447;664;Identifier;15454 
2467;683;Identifier;15453 
2492;707;Identifier;15451 
2508;722;Identifier;15449 
2509;722;Identifier;15447 
2602;814;Identifier;15446 
2605;816;Identifier;15445 
2642;852;Identifier;15443 
2757;966;Identifier;15441 
2758;966;Identifier;15439 
2797;1004;Identifier;15449 
2931;1137;Identifier;15448 
3132;1337;Identifier;15447 
3166;1370;Identifier;15446 
3167;1370;Identifier;15449 
3172;1374;Identifier;15447 
3185;1386;Identifier;15446 
3187;1387;Identifier;15433 
3202;1401;Identifier;15432 
3250;1448;Identifier;15423 
3383;1580;Identifier;15421 
3411;1607;Identifier;15413 
3412;1607;Identifier;15409 
3456;1650;Identifier;15399 
3465;1658;Identifier;15389 
3479;1671;Identifier;15389 
3480;1671;Identifier;15395 
3483;1673;Identifier;15391 
3484;1673;Identifier;15387 
3487;1675;Identifier;15382 
3488;1675;Identifier;15378 
3491;1677;Identifier;15374 
3501;1686;Identifier;15369 
3502;1686;Identifier;15365 
3511;1694;Identifier;15365 
3524;1706;Identifier;15365 
3525;1706;Identifier;15365 
3541;1721;Identifier;15365 
3542;1721;Identifier;15365 
3556;1734;Identifier;15364 
3611;1788;Identifier;15363 
3731;1907;Identifier;15361 
3815;1990;Identifier;15360 
4005;2179;Identifier;15359 
4011;2184;Identifier;15358 
4051;2223;Identifier;15349 
4184;2355;Identifier;15348 
4194;2364;Identifier;15347 
4310;2479;Identifier;15338 
