counter;index;instructionType;totalChars 
0;0;original;4029 
6;198;Identifier;4034 
9;275;Identifier;4033 
11;312;Identifier;4032 
12;304;Identifier;4030 
14;320;Identifier;4028 
15;322;Identifier;4026 
16;354;Identifier;4025 
17;348;Identifier;4024 
19;369;Identifier;4029 
20;399;Identifier;4028 
22;401;Identifier;4037 
23;419;Identifier;4036 
24;411;Identifier;4035 
37;36;ExpressionStatement;4013 
38;37;ExpressionStatement;4012 
39;36;ExpressionStatement;3972 
40;35;ExpressionStatement;3962 
41;35;ExpressionStatement;3953 
42;20;ExpressionStatement;3941 
43;37;ExpressionStatement;3933 
44;33;ExpressionStatement;3925 
46;41;ExpressionStatement;3920 
47;40;ExpressionStatement;3897 
48;40;ExpressionStatement;3872 
49;41;ExpressionStatement;3847 
55;109;MemberExpression;3841 
57;123;MemberExpression;3836 
58;123;MemberExpression;3831 
59;124;MemberExpression;3826 
60;122;MemberExpression;3821 
61;122;MemberExpression;3816 
64;23;ReturnStatement;3789 
65;16;ReturnStatement;3777 
66;31;ReturnStatement;3756 
67;28;ReturnStatement;3732 
68;25;ReturnStatement;3615 
69;25;ReturnStatement;3604 
70;17;ReturnStatement;3609 
71;16;ReturnStatement;3595 
72;24;ReturnStatement;3569 
73;23;ReturnStatement;3552 
76;60;CallExpression;3536 
77;46;CallExpression;3489 
78;46;CallExpression;3449 
80;8;Literal;3447 
82;63;Literal;3444 
83;72;Literal;3442 
84;55;Literal;3440 
85;71;Literal;3437 
86;57;Literal;3435 
87;69;Literal;3431 
89;116;Literal;3396 
90;106;Literal;3394 
91;109;Literal;3392 
92;108;Literal;3390 
93;110;Literal;3388 
94;104;Literal;3386 
95;102;Literal;3386 
96;102;Literal;3386 
97;103;Literal;3384 
98;100;Literal;3280 
99;102;Literal;3278 
102;65;BinaryExpression;3278 
103;51;BinaryExpression;3198 
104;51;BinaryExpression;3197 
105;79;BinaryExpression;3187 
106;79;BinaryExpression;3175 
111;23;VariableDeclaration;3175 
112;28;VariableDeclaration;3176 
113;22;VariableDeclaration;3171 
114;25;VariableDeclaration;3166 
115;13;VariableDeclaration;3166 
116;22;VariableDeclaration;3176 
117;24;VariableDeclaration;3171 
118;22;VariableDeclaration;3166 
119;21;VariableDeclaration;3165 
120;21;VariableDeclaration;3161 
123;3;IfStatement;3161 
124;5;IfStatement;3150 
125;2;IfStatement;3132 
