counter;index;instructionType;totalChars 
0;0;original;8301 
11;32;CallExpression;8297 
12;26;CallExpression;8293 
14;43;CallExpression;8284 
16;68;CallExpression;8267 
17;72;CallExpression;8256 
18;71;CallExpression;8241 
27;91;MemberExpression;8220 
30;135;MemberExpression;8209 
32;149;MemberExpression;8186 
33;154;MemberExpression;8164 
34;152;MemberExpression;8142 
37;197;MemberExpression;8127 
49;409;MemberExpression;8117 
54;11;Literal;8114 
55;12;Literal;8111 
60;97;Literal;8110 
63;133;Literal;8107 
64;132;Literal;8101 
68;9;VariableDeclarator;8121 
73;17;Identifier;8119 
75;36;Identifier;8110 
87;255;Identifier;8109 
88;259;Identifier;8108 
90;279;Identifier;8106 
91;279;Identifier;8101 
93;285;Identifier;8100 
94;291;Identifier;8099 
97;325;Identifier;8098 
102;404;Identifier;8095 
106;474;Identifier;8094 
132;971;Identifier;8093 
205;148;AssignmentExpression;8070 
