Lib;alg;trial;time;chars;originalchars;diffchars 
UglifyJS2;HC;0;35990.091;156226;184449;28223 
UglifyJS2;HC;1;36348.28;163517;184449;20932 
UglifyJS2;HC;2;42125.888;164457;184449;19992 
UglifyJS2;HC;3;48787.438;163605;184449;20844 
UglifyJS2;HC;4;52544.027;164348;184449;20101 
UglifyJS2;HC;5;57162.429;166727;184449;17722 
UglifyJS2;HC;6;73524.048;184449;184449;0 
UglifyJS2;HC;7;33025.487;164348;184449;20101 
UglifyJS2;HC;8;34010.594;163589;184449;20860 
UglifyJS2;HC;9;35343.751;164457;184449;19992 
browserify;HC;0;25789.885;23978;24377;399 
browserify;HC;1;25779.054;23978;24377;399 
browserify;HC;2;26013.32;23978;24377;399 
browserify;HC;3;26683.443;23978;24377;399 
browserify;HC;4;26790.616;23965;24377;412 
browserify;HC;5;26667.944;23978;24377;399 
browserify;HC;6;25283.146;23961;24377;416 
browserify;HC;7;25741.388;23961;24377;416 
browserify;HC;8;26147.441;23961;24377;416 
browserify;HC;9;28146.086;23978;24377;399 
d3-node;HC;0;1529.203;2175;3076;901 
d3-node;HC;1;1476.339;2175;3076;901 
d3-node;HC;2;1647.098;2175;3076;901 
d3-node;HC;3;1683.705;2175;3076;901 
d3-node;HC;4;1743.201;2175;3076;901 
d3-node;HC;5;1509.044;2175;3076;901 
d3-node;HC;6;1484.884;2175;3076;901 
d3-node;HC;7;1515.425;2175;3076;901 
d3-node;HC;8;1557.734;2175;3076;901 
d3-node;HC;9;1595.034;2175;3076;901 
decimal.js;HC;0;138989.485;134384;144706;10322 
decimal.js;HC;1;168112.024;134529;144706;10177 
decimal.js;HC;2;123745.597;121619;144706;23087 
decimal.js;HC;3;165933.737;134239;144706;10467 
decimal.js;HC;4;165714.169;134155;144706;10551 
decimal.js;HC;5;159500.864;134107;144706;10599 
decimal.js;HC;6;124186.306;118583;144706;26123 
decimal.js;HC;7;234050.014;135647;144706;9059 
decimal.js;HC;8;131430.788;135091;144706;9615 
decimal.js;HC;9;156762.925;137099;144706;7607 
esprima;HC;0;175098.087;309787;325767;15980 
esprima;HC;1;177718.367;309787;325767;15980 
esprima;HC;2;175984.884;309787;325767;15980 
esprima;HC;3;177128.413;309787;325767;15980 
esprima;HC;4;158961.779;312042;325767;13725 
esprima;HC;5;174713.849;309787;325767;15980 
esprima;HC;6;174448.76;309787;325767;15980 
esprima;HC;7;175286.721;309787;325767;15980 
esprima;HC;8;174690.015;309787;325767;15980 
