Lib;alg;trial;origchars;originst;optchars;optinst;time
d3-node;HC;0;1673;1238;413;335;1529.203;
d3-node;HC;1;1673;1238;413;335;1476.339;
d3-node;HC;2;1673;1238;413;335;1647.098;
d3-node;HC;3;1673;1238;413;335;1683.705;
d3-node;HC;4;1673;1238;413;335;1743.201;
d3-node;HC;5;1673;1238;413;335;1509.044;
d3-node;HC;6;1673;1238;413;335;1484.884;
d3-node;HC;7;1673;1238;413;335;1515.425;
d3-node;HC;8;1673;1238;413;335;1557.734;
d3-node;HC;9;1673;1238;413;335;1595.034;
exectimer;HC;0;1861;1363;588;413;856.152;
exectimer;HC;1;1861;1363;588;413;843.17;
exectimer;HC;2;1861;1363;588;413;808.755;
exectimer;HC;3;1861;1363;588;413;839.973;
exectimer;HC;4;1861;1363;588;413;821.02;
exectimer;HC;5;1861;1363;588;413;825.977;
exectimer;HC;6;1861;1363;588;413;832.406;
exectimer;HC;7;1861;1363;588;413;821.328;
exectimer;HC;8;1861;1363;588;413;835.173;
exectimer;HC;9;1861;1363;588;413;846.994;
express;HC;0;8716;7178;2376;2092;5947.077;
express;HC;1;8716;7349;2376;2146;9571.057;
express;HC;2;8716;7324;2376;2140;9493.959;
express;HC;3;8716;7324;2376;2140;9513.757;
express;HC;4;8716;7339;2376;2142;9537.033;
minimist;HC;0;2911;2839;1189;1162;1607.528;
minimist;HC;1;2911;2833;1189;1157;1468.017;
minimist;HC;2;2911;2833;1189;1157;1522.334;
minimist;HC;3;2911;2833;1189;1157;1534.382;
minimist;HC;4;2911;2833;1189;1157;1520.272;
minimist;HC;5;2911;2833;1189;1157;1489.333;
minimist;HC;6;2911;2833;1189;1157;1466.347;
minimist;HC;7;2911;2833;1189;1157;1450.257;
minimist;HC;8;2911;2833;1189;1157;1425.84;
minimist;HC;9;2911;2833;1189;1157;1467.017;
plivo-node;HC;0;12298;10388;3033;2494;2707.773;
plivo-node;HC;1;12298;10777;3033;2588;2764.852;
plivo-node;HC;2;12298;10428;3033;2521;2704.334;
plivo-node;HC;3;12298;11096;3033;2686;2865.941;
plivo-node;HC;4;12298;11085;3033;2632;2889.212;
plivo-node;HC;5;12298;11698;3033;2831;3034.895;
plivo-node;HC;6;12298;11256;3033;2733;2846.474;
plivo-node;HC;7;12298;11481;3033;2732;2972.921;
plivo-node;HC;8;12298;10436;3033;2520;2758.787;
plivo-node;HC;9;12298;11017;3033;2654;2836.467;
tleaf;HC;0;1722;567;459;136;1225.56;
tleaf;HC;1;1722;567;459;136;1142.165;
tleaf;HC;2;1722;567;459;136;1091.385;
tleaf;HC;3;1722;567;459;136;1090.669;
tleaf;HC;4;1722;567;459;136;1097.533;
tleaf;HC;5;1722;567;459;136;1124.73;
tleaf;HC;6;1722;567;459;136;1143.151;
tleaf;HC;7;1722;567;459;136;1098.506;
tleaf;HC;8;1722;567;459;136;1147.755;
tleaf;HC;9;1722;567;459;136;1134.185;
uuid;HC;0;4029;3151;1162;860;1170.22;
uuid;HC;1;4029;3132;1162;861;1123.42;
uuid;HC;2;4029;3433;1162;927;1112.784;
uuid;HC;3;4029;3159;1162;865;1133.466;
uuid;HC;4;4029;3098;1162;850;1135.52;
uuid;HC;5;4029;3137;1162;861;1143.539;
uuid;HC;6;4029;3203;1162;890;1207.098;
uuid;HC;7;4029;3104;1162;852;1209.397;
uuid;HC;8;4029;3127;1162;858;1161.251;
uuid;HC;9;4029;3111;1162;851;1133.89;
