counter;index;instructionType;totalChars 
0;0;original;71864 
1;0;ExpressionStatement;71851 
17;0;IfStatement;71791 
19;7;ExpressionStatement;71754 
20;6;ExpressionStatement;71737 
21;9;ExpressionStatement;71694 
25;21;ExpressionStatement;71669 
29;36;ExpressionStatement;71625 
30;36;ExpressionStatement;71582 
34;54;ExpressionStatement;71556 
36;55;ExpressionStatement;71548 
37;56;ExpressionStatement;71540 
38;56;ExpressionStatement;71530 
41;65;ExpressionStatement;71520 
42;69;ExpressionStatement;71516 
43;66;ExpressionStatement;71512 
44;67;ExpressionStatement;71508 
46;74;ExpressionStatement;71504 
47;74;ExpressionStatement;71500 
48;70;ExpressionStatement;71496 
49;74;ExpressionStatement;71492 
52;80;ExpressionStatement;71488 
53;83;ExpressionStatement;71484 
54;84;ExpressionStatement;71469 
55;84;ExpressionStatement;71465 
56;83;ExpressionStatement;71460 
58;86;ExpressionStatement;71456 
59;89;ExpressionStatement;71452 
60;88;ExpressionStatement;71448 
61;86;ExpressionStatement;71444 
63;90;ExpressionStatement;71427 
70;121;ExpressionStatement;71422 
73;132;ExpressionStatement;71293 
76;143;ExpressionStatement;71280 
77;143;ExpressionStatement;71274 
79;147;ExpressionStatement;71267 
80;148;ExpressionStatement;71265 
81;149;ExpressionStatement;71247 
82;149;ExpressionStatement;71243 
84;150;ExpressionStatement;71238 
86;157;ExpressionStatement;71201 
87;157;ExpressionStatement;71196 
88;158;ExpressionStatement;71137 
90;160;ExpressionStatement;71132 
91;160;ExpressionStatement;71113 
92;164;ExpressionStatement;71108 
93;160;ExpressionStatement;71103 
95;166;ExpressionStatement;71098 
98;177;ExpressionStatement;71082 
104;204;ExpressionStatement;71075 
105;204;ExpressionStatement;71070 
110;224;ExpressionStatement;71041 
111;223;ExpressionStatement;71012 
112;223;ExpressionStatement;70986 
113;224;ExpressionStatement;70957 
114;224;ExpressionStatement;70924 
116;226;ExpressionStatement;70840 
117;225;ExpressionStatement;70649 
118;226;ExpressionStatement;70549 
119;225;ExpressionStatement;70436 
121;234;ExpressionStatement;70412 
122;231;ExpressionStatement;70314 
123;233;ExpressionStatement;70289 
124;231;ExpressionStatement;70213 
125;231;ExpressionStatement;70121 
127;238;ExpressionStatement;70028 
128;238;ExpressionStatement;69929 
131;245;ExpressionStatement;69836 
132;245;ExpressionStatement;69737 
136;262;ExpressionStatement;69106 
137;262;ExpressionStatement;68980 
138;262;ExpressionStatement;68946 
140;266;ExpressionStatement;68938 
141;266;ExpressionStatement;68913 
147;293;ExpressionStatement;68893 
148;291;ExpressionStatement;68791 
149;293;ExpressionStatement;68772 
151;296;ExpressionStatement;68747 
152;296;ExpressionStatement;68715 
153;299;ExpressionStatement;68641 
154;299;ExpressionStatement;68598 
156;304;ExpressionStatement;68560 
157;303;ExpressionStatement;68516 
158;302;ExpressionStatement;68452 
159;303;ExpressionStatement;68437 
160;303;ExpressionStatement;68412 
161;304;ExpressionStatement;68396 
162;303;ExpressionStatement;68363 
163;304;ExpressionStatement;68347 
165;305;ExpressionStatement;68330 
168;315;ExpressionStatement;68306 
169;319;ExpressionStatement;68258 
170;319;ExpressionStatement;68172 
171;315;ExpressionStatement;68137 
172;319;ExpressionStatement;67995 
173;319;ExpressionStatement;67832 
174;319;ExpressionStatement;67758 
175;319;ExpressionStatement;67685 
176;319;ExpressionStatement;67660 
177;318;ExpressionStatement;67576 
179;324;ExpressionStatement;67538 
182;334;ExpressionStatement;67465 
183;334;ExpressionStatement;67360 
184;334;ExpressionStatement;67311 
185;334;ExpressionStatement;67166 
186;334;ExpressionStatement;67089 
189;340;ExpressionStatement;67002 
192;352;ExpressionStatement;66989 
194;356;ExpressionStatement;66976 
198;374;ExpressionStatement;66869 
200;378;ExpressionStatement;66777 
203;389;ExpressionStatement;66676 
205;391;ExpressionStatement;66654 
206;391;ExpressionStatement;66546 
207;392;ExpressionStatement;66506 
213;416;ExpressionStatement;66498 
214;416;ExpressionStatement;66486 
215;418;ExpressionStatement;66475 
218;427;ExpressionStatement;66439 
220;433;ExpressionStatement;66432 
221;433;ExpressionStatement;66408 
229;467;ExpressionStatement;66401 
232;478;ExpressionStatement;66372 
233;477;ExpressionStatement;66333 
234;475;ExpressionStatement;66280 
235;479;ExpressionStatement;66208 
237;481;ExpressionStatement;66135 
238;484;ExpressionStatement;66106 
239;483;ExpressionStatement;66073 
242;494;ExpressionStatement;66035 
244;496;ExpressionStatement;66019 
249;515;ExpressionStatement;66000 
251;524;ExpressionStatement;65909 
253;527;ExpressionStatement;65861 
257;544;ExpressionStatement;65839 
260;551;ExpressionStatement;65735 
261;551;ExpressionStatement;65714 
267;577;ExpressionStatement;65707 
273;601;ExpressionStatement;65645 
275;607;ExpressionStatement;65573 
276;605;ExpressionStatement;65556 
278;611;ExpressionStatement;65543 
283;633;ExpressionStatement;65470 
284;634;ExpressionStatement;65382 
285;634;ExpressionStatement;65308 
287;637;ExpressionStatement;65133 
288;638;ExpressionStatement;64881 
289;635;ExpressionStatement;64793 
291;640;ExpressionStatement;64787 
292;641;ExpressionStatement;64606 
293;643;ExpressionStatement;64332 
296;654;ExpressionStatement;64312 
297;650;ExpressionStatement;64266 
298;653;ExpressionStatement;64090 
303;671;ExpressionStatement;63912 
306;682;ExpressionStatement;63896 
339;154;CallExpression;63869 
341;155;CallExpression;63795 
347;182;CallExpression;63772 
360;241;CallExpression;63744 
361;244;CallExpression;63690 
425;559;CallExpression;63663 
427;560;CallExpression;63626 
428;561;CallExpression;63512 
430;569;CallExpression;63439 
462;724;CallExpression;63410 
474;779;CallExpression;63285 
475;779;CallExpression;63244 
476;779;CallExpression;63244 
477;779;CallExpression;63244 
499;884;CallExpression;63214 
509;926;CallExpression;63159 
512;939;CallExpression;63114 
513;939;CallExpression;63082 
524;986;CallExpression;63042 
534;1032;CallExpression;63023 
535;1032;CallExpression;63004 
540;1054;CallExpression;62975 
551;1103;CallExpression;62953 
567;1178;CallExpression;62931 
574;1205;CallExpression;62912 
577;1216;CallExpression;62893 
591;1281;CallExpression;62893 
603;1337;CallExpression;62871 
618;1405;CallExpression;62782 
690;6;ObjectExpression;62753 
694;22;ObjectExpression;62740 
695;21;ObjectExpression;62731 
696;21;ObjectExpression;62718 
699;32;ObjectExpression;62709 
711;89;ObjectExpression;62690 
732;46;Property;62662 
739;77;Property;62637 
740;77;Property;62563 
741;77;Property;62522 
767;202;Property;62506 
768;201;Property;62481 
772;216;Property;62465 
773;215;Property;62441 
775;222;Property;62425 
776;221;Property;62400 
778;227;Property;62391 
779;226;Property;62365 
839;19;Literal;62362 
846;45;Literal;62360 
849;55;Literal;62358 
850;57;Literal;62355 
852;64;Literal;62352 
856;79;Literal;62349 
860;91;Literal;62352 
862;99;Literal;62354 
864;104;Literal;62352 
865;100;Literal;62354 
866;104;Literal;62352 
867;104;Literal;62348 
869;108;Literal;62358 
870;105;Literal;62345 
876;131;Literal;62303 
878;135;Literal;62311 
879;135;Literal;62311 
886;165;Literal;62307 
887;167;Literal;62304 
889;170;Literal;62299 
890;174;Literal;62302 
892;179;Literal;62315 
899;206;Literal;62307 
900;207;Literal;62299 
902;210;Literal;62294 
903;214;Literal;62289 
905;216;Literal;62284 
907;223;Literal;62290 
908;221;Literal;62292 
910;227;Literal;62284 
911;229;Literal;62273 
913;230;Literal;62267 
914;230;Literal;62255 
915;232;Literal;62246 
916;233;Literal;62233 
925;272;Literal;62204 
932;304;Literal;62196 
934;307;Literal;62185 
