counter;index;instructionType;totalChars 
0;0;original;13105 
2;33;VariableDeclaration;13135 
15;79;CallExpression;13126 
17;88;CallExpression;13115 
20;127;CallExpression;13091 
21;128;CallExpression;13066 
22;132;CallExpression;13052 
24;153;CallExpression;13035 
25;152;CallExpression;13022 
27;164;CallExpression;13022 
28;165;CallExpression;13004 
30;195;CallExpression;12981 
32;207;CallExpression;12959 
33;201;CallExpression;12936 
35;220;CallExpression;12921 
36;220;CallExpression;12902 
38;249;CallExpression;12781 
39;249;CallExpression;12660 
41;264;CallExpression;12670 
42;266;CallExpression;12657 
43;267;CallExpression;12639 
45;291;CallExpression;12617 
49;25;Literal;12563 
51;51;Literal;12557 
52;51;Literal;12554 
53;41;Literal;12550 
54;40;Literal;12545 
55;44;Literal;12541 
56;43;Literal;12536 
58;67;Literal;12528 
60;94;Literal;12516 
61;91;Literal;12506 
62;99;Literal;12494 
63;98;Literal;12486 
64;88;Literal;12479 
65;96;Literal;12472 
66;97;Literal;12465 
67;99;Literal;12453 
68;96;Literal;12444 
69;98;Literal;12436 
70;96;Literal;12427 
71;92;Literal;12415 
73;115;Literal;12421 
74;113;Literal;12412 
75;111;Literal;12425 
76;107;Literal;12418 
77;115;Literal;12432 
78;113;Literal;12416 
79;108;Literal;12403 
80;118;Literal;12387 
81;119;Literal;12384 
83;127;Literal;12379 
85;147;Literal;12376 
86;148;Literal;12372 
88;174;Literal;12366 
89;174;Literal;12363 
90;176;Literal;12356 
93;18;ExpressionStatement;12343 
94;12;ExpressionStatement;12330 
96;37;ExpressionStatement;12316 
97;29;ExpressionStatement;12226 
98;37;ExpressionStatement;12212 
99;35;ExpressionStatement;12204 
100;28;ExpressionStatement;12172 
101;38;ExpressionStatement;12138 
102;37;ExpressionStatement;12113 
103;27;ExpressionStatement;12053 
105;56;ExpressionStatement;12040 
106;40;ExpressionStatement;12028 
108;75;ExpressionStatement;12006 
110;98;ExpressionStatement;11999 
111;90;ExpressionStatement;11957 
112;97;ExpressionStatement;11947 
114;111;ExpressionStatement;11935 
115;104;ExpressionStatement;11923 
116;109;ExpressionStatement;11912 
117;106;ExpressionStatement;11902 
118;107;ExpressionStatement;11858 
120;129;ExpressionStatement;11852 
121;125;ExpressionStatement;11835 
122;129;ExpressionStatement;11799 
123;130;ExpressionStatement;11739 
124;138;ExpressionStatement;11723 
125;121;ExpressionStatement;11620 
126;133;ExpressionStatement;11599 
128;146;ExpressionStatement;11580 
129;152;ExpressionStatement;11535 
130;158;ExpressionStatement;11522 
131;151;ExpressionStatement;11481 
133;169;ExpressionStatement;11463 
134;169;ExpressionStatement;11449 
135;178;ExpressionStatement;11417 
137;186;ExpressionStatement;11400 
138;186;ExpressionStatement;11388 
139;185;ExpressionStatement;11369 
147;5;ObjectExpression;11349 
148;11;ObjectExpression;11346 
150;24;ObjectExpression;11343 
151;29;ObjectExpression;11293 
152;24;ObjectExpression;11290 
154;6;Property;11282 
155;3;Property;11259 
156;13;Property;11193 
157;4;Property;11180 
158;19;Property;11169 
159;19;Property;11155 
160;19;Property;11132 
161;7;Property;11122 
164;16;IfStatement;11101 
165;11;IfStatement;11065 
166;15;IfStatement;11030 
167;6;IfStatement;10997 
168;19;IfStatement;10977 
169;12;IfStatement;10966 
170;12;IfStatement;10935 
171;4;IfStatement;10869 
172;3;IfStatement;10836 
173;18;IfStatement;10799 
174;18;IfStatement;10789 
175;18;IfStatement;10725 
177;36;IfStatement;10720 
178;36;IfStatement;10709 
179;31;IfStatement;10651 
180;37;IfStatement;10566 
181;39;IfStatement;10536 
182;39;IfStatement;10502 
184;40;IfStatement;10464 
185;50;IfStatement;10420 
186;42;IfStatement;10379 
187;48;IfStatement;10343 
188;51;IfStatement;10309 
189;58;IfStatement;10287 
190;58;IfStatement;10267 
191;42;IfStatement;10241 
192;57;IfStatement;10205 
194;72;IfStatement;10175 
195;73;IfStatement;10143 
196;78;IfStatement;10111 
197;63;IfStatement;10111 
198;71;IfStatement;10059 
199;79;IfStatement;10049 
200;79;IfStatement;9900 
201;75;IfStatement;9877 
210;12;ReturnStatement;9866 
211;9;ReturnStatement;9854 
212;9;ReturnStatement;9843 
213;2;ReturnStatement;9829 
214;8;ReturnStatement;9818 
215;18;ReturnStatement;9795 
217;33;ReturnStatement;9789 
219;15;ArrayExpression;9786 
220;14;ArrayExpression;9783 
228;33;VariableDeclaration;9783 
229;31;VariableDeclaration;9776 
232;63;VariableDeclaration;9776 
