counter;index;instructionType;totalChars 
0;0;original;1673 
1;0;ExpressionStatement;1660 
6;57;Identifier;1657 
22;22;CallExpression;1626 
23;21;CallExpression;1586 
25;1;Literal;1569 
26;2;Literal;1558 
27;11;Literal;1558 
28;2;Literal;1547 
29;19;Literal;1539 
30;19;Literal;1535 
31;19;Literal;1481 
32;19;Literal;1473 
35;3;ExpressionStatement;1473 
36;8;ExpressionStatement;1447 
37;1;ExpressionStatement;1420 
38;12;ExpressionStatement;1273 
50;3;Property;1263 
51;2;Property;1250 
52;1;Property;1238 
56;1;RESTART;1238 
91;2;RESTART;1238 
126;3;RESTART;1238 
161;4;RESTART;1238 
196;5;RESTART;1238 
