counter;index;instructionType;totalChars 
0;0;original;129648 
1;7;ExpressionStatement;129642 
2;7;ExpressionStatement;129636 
3;7;ExpressionStatement;129629 
4;6;ExpressionStatement;129617 
5;4;ExpressionStatement;129603 
6;5;ExpressionStatement;129590 
9;26;ExpressionStatement;129575 
10;25;ExpressionStatement;129562 
12;31;ExpressionStatement;129537 
13;31;ExpressionStatement;129509 
16;54;ExpressionStatement;129500 
18;61;ExpressionStatement;129487 
19;62;ExpressionStatement;129474 
21;73;ExpressionStatement;129448 
22;72;ExpressionStatement;129428 
23;79;ExpressionStatement;129404 
24;79;ExpressionStatement;129346 
26;81;ExpressionStatement;129288 
27;80;ExpressionStatement;129264 
31;117;ExpressionStatement;129241 
32;119;ExpressionStatement;129224 
36;142;ExpressionStatement;129191 
37;149;ExpressionStatement;129158 
39;151;ExpressionStatement;129093 
40;158;ExpressionStatement;129040 
41;152;ExpressionStatement;128947 
42;150;ExpressionStatement;128898 
43;155;ExpressionStatement;128843 
45;165;ExpressionStatement;128810 
46;169;ExpressionStatement;128775 
47;169;ExpressionStatement;128742 
48;164;ExpressionStatement;128707 
50;179;ExpressionStatement;128674 
51;174;ExpressionStatement;128641 
52;177;ExpressionStatement;128606 
54;185;ExpressionStatement;128573 
56;199;ExpressionStatement;128556 
57;197;ExpressionStatement;128521 
59;209;ExpressionStatement;128490 
60;209;ExpressionStatement;128464 
61;207;ExpressionStatement;128440 
64;229;ExpressionStatement;128413 
65;227;ExpressionStatement;128395 
67;234;ExpressionStatement;128377 
68;230;ExpressionStatement;128359 
69;236;ExpressionStatement;128314 
72;256;ExpressionStatement;128233 
74;265;ExpressionStatement;128185 
76;270;ExpressionStatement;128141 
78;288;ExpressionStatement;128108 
80;295;ExpressionStatement;128060 
82;309;ExpressionStatement;127992 
84;314;ExpressionStatement;127959 
85;313;ExpressionStatement;127924 
87;324;ExpressionStatement;127891 
88;320;ExpressionStatement;127858 
90;336;ExpressionStatement;127775 
91;336;ExpressionStatement;127742 
92;336;ExpressionStatement;127707 
93;339;ExpressionStatement;127674 
94;339;ExpressionStatement;127639 
96;347;ExpressionStatement;127604 
97;347;ExpressionStatement;127571 
99;350;ExpressionStatement;127536 
100;350;ExpressionStatement;127503 
101;355;ExpressionStatement;127470 
102;359;ExpressionStatement;127437 
103;358;ExpressionStatement;127402 
105;362;ExpressionStatement;127369 
106;361;ExpressionStatement;127334 
108;370;ExpressionStatement;127301 
109;376;ExpressionStatement;127292 
110;372;ExpressionStatement;127282 
112;389;ExpressionStatement;127249 
113;384;ExpressionStatement;127221 
114;384;ExpressionStatement;127196 
115;386;ExpressionStatement;127161 
116;389;ExpressionStatement;127128 
118;390;ExpressionStatement;127071 
119;390;ExpressionStatement;127025 
120;399;ExpressionStatement;127018 
122;404;ExpressionStatement;126983 
123;404;ExpressionStatement;126950 
125;416;ExpressionStatement;126913 
126;416;ExpressionStatement;126881 
127;412;ExpressionStatement;126853 
128;411;ExpressionStatement;126825 
133;453;ExpressionStatement;126736 
134;451;ExpressionStatement;126709 
135;450;ExpressionStatement;126681 
137;465;ExpressionStatement;126671 
144;527;ExpressionStatement;126638 
146;539;ExpressionStatement;126605 
149;551;ExpressionStatement;126598 
150;555;ExpressionStatement;126591 
152;565;ExpressionStatement;126568 
153;563;ExpressionStatement;126561 
154;568;ExpressionStatement;126554 
156;572;ExpressionStatement;126547 
158;583;ExpressionStatement;126540 
159;588;ExpressionStatement;126533 
162;601;ExpressionStatement;126500 
166;639;ExpressionStatement;126470 
169;654;ExpressionStatement;126427 
171;668;ExpressionStatement;126394 
175;699;ExpressionStatement;126367 
176;694;ExpressionStatement;126342 
177;698;ExpressionStatement;126316 
178;697;ExpressionStatement;126290 
181;714;ExpressionStatement;126267 
182;713;ExpressionStatement;126209 
183;710;ExpressionStatement;126193 
184;716;ExpressionStatement;126144 
188;741;ExpressionStatement;126112 
190;755;ExpressionStatement;126088 
191;755;ExpressionStatement;126060 
193;768;ExpressionStatement;126032 
194;769;ExpressionStatement;126005 
195;767;ExpressionStatement;125976 
197;772;ExpressionStatement;125948 
198;778;ExpressionStatement;125921 
199;775;ExpressionStatement;125893 
200;773;ExpressionStatement;125864 
202;780;ExpressionStatement;125832 
