counter;index;instructionType;totalChars 
0;0;original;1861 
1;4;ExpressionStatement;1789 
2;11;ExpressionStatement;1773 
3;2;ExpressionStatement;1701 
4;0;ExpressionStatement;1688 
8;73;Identifier;1707 
11;129;Identifier;1705 
12;128;Identifier;1704 
21;34;Literal;1685 
22;25;Literal;1683 
26;5;IfStatement;1596 
27;5;IfStatement;1591 
28;4;IfStatement;1565 
30;16;BinaryExpression;1527 
34;60;MemberExpression;1515 
36;13;ExpressionStatement;1504 
37;12;ExpressionStatement;1501 
38;13;ExpressionStatement;1472 
39;14;ExpressionStatement;1444 
44;13;ReturnStatement;1444 
45;11;ReturnStatement;1432 
46;10;ReturnStatement;1363 
49;1;RESTART;1363 
76;2;RESTART;1363 
