counter;index;instructionType;totalChars 
0;0;original;8743 
1;0;ExpressionStatement;8730 
2;0;VariableDeclaration;8693 
4;34;VariableDeclaration;8675 
5;39;VariableDeclaration;8657 
20;60;Identifier;8657 
22;83;Identifier;8657 
26;157;Identifier;8655 
27;146;Identifier;8654 
29;175;Identifier;8652 
30;160;Identifier;8650 
31;166;Identifier;8648 
33;192;Identifier;8648 
34;189;Identifier;8640 
37;225;Identifier;8640 
41;286;Identifier;8640 
42;299;Identifier;8640 
46;356;Identifier;8638 
47;354;Identifier;8636 
50;399;Identifier;8636 
55;463;Identifier;8636 
59;527;Identifier;8636 
60;537;Identifier;8636 
62;554;Identifier;8635 
63;556;Identifier;8634 
64;554;Identifier;8633 
66;564;Identifier;8633 
69;612;Identifier;8633 
73;675;Identifier;8633 
75;687;Identifier;8633 
79;740;Identifier;8632 
80;747;Identifier;8632 
85;829;Identifier;8631 
88;862;Identifier;8630 
89;861;Identifier;8630 
91;888;Identifier;8633 
93;906;Identifier;8631 
149;151;CallExpression;8610 
151;163;CallExpression;8610 
155;32;Literal;8543 
156;33;Literal;8476 
157;39;Literal;8422 
158;39;Literal;8417 
160;58;Literal;8401 
162;70;Literal;8336 
163;71;Literal;8271 
165;91;Literal;8261 
166;81;Literal;8195 
167;89;Literal;8171 
168;82;Literal;8104 
170;118;Literal;8063 
172;134;Literal;8045 
173;139;Literal;8042 
176;176;Literal;8039 
177;174;Literal;8005 
178;176;Literal;7986 
179;178;Literal;7970 
180;163;Literal;7904 
181;171;Literal;7888 
183;192;Literal;7887 
198;12;ExpressionStatement;7875 
199;8;ExpressionStatement;7863 
200;6;ExpressionStatement;7849 
201;18;ExpressionStatement;7841 
202;19;ExpressionStatement;7824 
203;19;ExpressionStatement;7813 
204;18;ExpressionStatement;7793 
205;9;ExpressionStatement;7775 
206;18;ExpressionStatement;7764 
207;14;ExpressionStatement;7755 
209;26;ExpressionStatement;7741 
210;27;ExpressionStatement;7729 
211;33;ExpressionStatement;7717 
212;35;ExpressionStatement;7704 
213;20;ExpressionStatement;7668 
214;30;ExpressionStatement;7654 
215;21;ExpressionStatement;7649 
217;41;ExpressionStatement;7632 
218;55;ExpressionStatement;7625 
219;48;ExpressionStatement;7620 
220;55;ExpressionStatement;7613 
221;50;ExpressionStatement;7567 
222;43;ExpressionStatement;7562 
224;79;ExpressionStatement;7522 
225;79;ExpressionStatement;7492 
227;86;ExpressionStatement;7478 
228;91;ExpressionStatement;7474 
229;96;ExpressionStatement;7460 
230;92;ExpressionStatement;7449 
232;106;ExpressionStatement;7444 
233;103;ExpressionStatement;7439 
234;114;ExpressionStatement;7432 
244;4;ReturnStatement;7420 
245;14;ReturnStatement;7409 
246;14;ReturnStatement;7397 
248;35;ReturnStatement;7382 
249;21;ReturnStatement;7379 
