counter;index;instructionType;totalChars 
0;0;original;49636 
1;2;ExpressionStatement;49506 
2;3;ExpressionStatement;49430 
3;3;ExpressionStatement;49375 
5;15;ExpressionStatement;49354 
9;41;ExpressionStatement;49342 
13;77;ExpressionStatement;49335 
14;79;ExpressionStatement;49324 
16;82;ExpressionStatement;49313 
18;92;ExpressionStatement;49298 
21;117;ExpressionStatement;49295 
27;164;ExpressionStatement;49299 
28;167;ExpressionStatement;49284 
30;177;ExpressionStatement;49274 
33;199;ExpressionStatement;49262 
35;205;ExpressionStatement;49257 
38;225;ExpressionStatement;49243 
39;225;ExpressionStatement;49188 
43;258;ExpressionStatement;49178 
46;271;ExpressionStatement;49167 
56;367;ExpressionStatement;49153 
288;129;VariableDeclarator;49145 
289;127;VariableDeclarator;49209 
366;29;Literal;49209 
413;487;Literal;49207 
414;487;Literal;49204 
436;698;Literal;49201 
