counter;index;instructionType;totalChars 
0;0;original;36858 
1;0;ExpressionStatement;36845 
3;19;VariableDeclaration;36906 
5;29;VariableDeclaration;36949 
6;20;VariableDeclaration;36968 
9;45;VariableDeclaration;37014 
10;44;VariableDeclaration;37141 
11;40;VariableDeclaration;37255 
12;40;VariableDeclaration;37297 
16;73;VariableDeclaration;37343 
18;87;VariableDeclaration;37343 
19;81;VariableDeclaration;37343 
20;80;VariableDeclaration;37343 
22;95;VariableDeclaration;37356 
23;94;VariableDeclaration;37377 
26;112;VariableDeclaration;37395 
29;139;VariableDeclaration;37362 
31;149;VariableDeclaration;37413 
32;140;VariableDeclaration;37406 
33;140;VariableDeclaration;37414 
34;145;VariableDeclaration;37470 
35;149;VariableDeclaration;37466 
37;151;VariableDeclaration;37469 
85;18;Literal;37371 
86;17;Literal;37319 
87;19;Literal;37262 
90;39;Literal;37262 
91;37;Literal;37250 
94;51;Literal;37249 
95;57;Literal;37251 
96;56;Literal;37253 
98;60;Literal;37248 
103;103;Literal;37247 
104;105;Literal;37247 
107;126;Literal;37239 
108;123;Literal;37228 
114;176;Literal;37187 
115;178;Literal;37165 
117;189;Literal;37162 
126;264;Literal;37054 
127;260;Literal;36946 
167;659;Literal;36941 
168;659;Literal;36940 
170;663;Literal;36938 
171;666;Literal;36933 
172;666;Literal;36932 
173;662;Literal;36928 
174;668;Literal;36923 
175;668;Literal;36922 
177;671;Literal;36917 
178;676;Literal;36915 
179;679;Literal;36910 
180;671;Literal;36909 
181;674;Literal;36905 
182;677;Literal;36904 
188;721;Literal;36902 
189;724;Literal;36897 
190;724;Literal;36896 
191;720;Literal;36892 
192;726;Literal;36887 
193;726;Literal;36886 
194;729;Literal;36881 
195;729;Literal;36880 
197;733;Literal;36878 
199;742;Literal;36876 
201;754;Literal;36866 
202;759;Literal;36864 
203;759;Literal;36862 
204;759;Literal;36860 
205;759;Literal;36858 
206;759;Literal;36856 
207;759;Literal;36854 
208;759;Literal;36852 
209;759;Literal;36850 
210;759;Literal;36849 
212;766;Literal;36847 
213;769;Literal;36845 
215;772;Literal;36843 
216;777;Literal;36841 
217;777;Literal;36839 
218;777;Literal;36837 
219;779;Literal;36835 
220;772;Literal;36833 
221;777;Literal;36831 
222;771;Literal;36829 
223;775;Literal;36827 
224;770;Literal;36825 
225;770;Literal;36823 
226;777;Literal;36821 
227;777;Literal;36819 
228;777;Literal;36817 
229;777;Literal;36815 
230;778;Literal;36813 
231;778;Literal;36811 
232;779;Literal;36809 
233;778;Literal;36807 
234;778;Literal;36805 
236;785;Literal;36803 
237;786;Literal;36801 
238;784;Literal;36799 
239;781;Literal;36797 
240;784;Literal;36795 
241;783;Literal;36793 
242;785;Literal;36791 
243;781;Literal;36789 
244;782;Literal;36787 
245;785;Literal;36785 
246;787;Literal;36783 
247;780;Literal;36781 
248;781;Literal;36779 
249;785;Literal;36777 
250;780;Literal;36776 
251;789;Literal;36774 
252;783;Literal;36772 
253;780;Literal;36770 
254;786;Literal;36768 
255;781;Literal;36766 
256;787;Literal;36764 
257;785;Literal;36762 
258;780;Literal;36760 
259;787;Literal;36758 
260;789;Literal;36756 
261;787;Literal;36754 
262;787;Literal;36752 
263;788;Literal;36750 
264;786;Literal;36748 
265;785;Literal;36746 
266;786;Literal;36744 
267;789;Literal;36742 
268;786;Literal;36740 
269;788;Literal;36738 
270;785;Literal;36737 
271;788;Literal;36735 
272;784;Literal;36733 
273;786;Literal;36731 
274;788;Literal;36729 
275;786;Literal;36727 
276;786;Literal;36725 
277;784;Literal;36723 
278;780;Literal;36722 
279;787;Literal;36720 
280;787;Literal;36718 
281;788;Literal;36716 
282;789;Literal;36714 
283;788;Literal;36712 
284;787;Literal;36710 
286;790;Literal;36708 
287;790;Literal;36706 
288;799;Literal;36704 
289;797;Literal;36702 
290;797;Literal;36700 
291;798;Literal;36698 
293;805;Literal;36696 
294;806;Literal;36694 
295;804;Literal;36692 
296;809;Literal;36690 
297;809;Literal;36688 
299;816;Literal;36686 
300;818;Literal;36684 
301;817;Literal;36682 
302;811;Literal;36680 
303;810;Literal;36678 
304;814;Literal;36676 
305;814;Literal;36674 
306;819;Literal;36672 
307;819;Literal;36670 
308;819;Literal;36668 
309;818;Literal;36666 
310;818;Literal;36664 
312;825;Literal;36662 
313;822;Literal;36660 
314;824;Literal;36658 
315;823;Literal;36656 
316;827;Literal;36654 
317;827;Literal;36652 
318;827;Literal;36650 
319;822;Literal;36648 
320;827;Literal;36646 
321;826;Literal;36644 
323;833;Literal;36642 
324;838;Literal;36640 
325;839;Literal;36638 
326;839;Literal;36636 
327;833;Literal;36634 
328;832;Literal;36632 
329;837;Literal;36630 
330;836;Literal;36628 
331;830;Literal;36626 
332;838;Literal;36624 
333;839;Literal;36622 
334;839;Literal;36620 
335;830;Literal;36618 
336;838;Literal;36616 
337;839;Literal;36614 
338;839;Literal;36612 
339;837;Literal;36610 
340;837;Literal;36608 
341;837;Literal;36606 
342;837;Literal;36604 
344;841;Literal;36602 
345;841;Literal;36600 
346;842;Literal;36598 
347;845;Literal;36596 
348;844;Literal;36594 
349;849;Literal;36592 
350;845;Literal;36590 
351;848;Literal;36588 
352;842;Literal;36586 
353;847;Literal;36584 
354;849;Literal;36582 
355;847;Literal;36580 
356;848;Literal;36578 
357;841;Literal;36576 
358;841;Literal;36574 
359;841;Literal;36573 
360;844;Literal;36571 
361;844;Literal;36569 
362;844;Literal;36568 
421;1420;Literal;36559 
425;1456;Literal;36555 
428;1475;Literal;36550 
429;1475;Literal;36548 
433;1505;Literal;36545 
434;1502;Literal;36544 
435;1503;Literal;36543 
437;1510;Literal;36542 
441;0;IfStatement;36502 
442;0;IfStatement;36445 
443;4;IfStatement;36380 
444;0;IfStatement;36317 
446;19;IfStatement;36212 
447;19;IfStatement;36115 
449;24;IfStatement;36046 
450;22;IfStatement;35991 
451;25;IfStatement;35966 
458;81;IfStatement;35878 
459;80;IfStatement;35837 
460;89;IfStatement;35785 
462;92;IfStatement;35766 
463;90;IfStatement;35739 
464;99;IfStatement;35662 
465;95;IfStatement;35548 
466;91;IfStatement;35476 
469;116;IfStatement;35439 
470;112;IfStatement;35295 
471;113;IfStatement;35160 
472;112;IfStatement;35108 
492;181;BinaryExpression;35035 
494;196;BinaryExpression;34939 
498;2;ExpressionStatement;34895 
503;44;ExpressionStatement;34890 
505;50;ExpressionStatement;34886 
507;67;ExpressionStatement;34867 
508;66;ExpressionStatement;34866 
510;70;ExpressionStatement;34862 
513;96;ExpressionStatement;34826 
515;109;ExpressionStatement;34808 
517;116;ExpressionStatement;34790 
519;121;ExpressionStatement;34780 
520;129;ExpressionStatement;34750 
522;132;ExpressionStatement;34720 
524;147;ExpressionStatement;34708 
526;152;ExpressionStatement;34682 
527;153;ExpressionStatement;34654 
530;170;ExpressionStatement;34617 
533;194;ExpressionStatement;34593 
534;192;ExpressionStatement;34562 
535;192;ExpressionStatement;34539 
536;193;ExpressionStatement;34511 
537;193;ExpressionStatement;34483 
538;192;ExpressionStatement;34445 
539;197;ExpressionStatement;34416 
540;195;ExpressionStatement;34392 
541;199;ExpressionStatement;34351 
542;195;ExpressionStatement;34322 
543;196;ExpressionStatement;34300 
544;199;ExpressionStatement;34256 
545;192;ExpressionStatement;34242 
546;196;ExpressionStatement;34201 
547;198;ExpressionStatement;34159 
548;198;ExpressionStatement;34118 
549;198;ExpressionStatement;34069 
550;199;ExpressionStatement;34027 
551;199;ExpressionStatement;33986 
552;199;ExpressionStatement;33941 
554;202;ExpressionStatement;33896 
557;223;ExpressionStatement;33888 
558;229;ExpressionStatement;33880 
559;221;ExpressionStatement;33813 
561;230;ExpressionStatement;33775 
562;234;ExpressionStatement;33760 
564;248;ExpressionStatement;33744 
565;240;ExpressionStatement;33731 
566;240;ExpressionStatement;33711 
567;241;ExpressionStatement;33694 
595;8;ReturnStatement;33688 
596;3;ReturnStatement;33676 
597;2;ReturnStatement;33660 
598;0;ReturnStatement;33660 
599;8;ReturnStatement;33653 
600;3;ReturnStatement;33649 
602;15;ReturnStatement;33649 
634;171;ObjectExpression;33603 
635;170;ObjectExpression;33603 
655;360;ObjectExpression;33585 
659;26;Property;33571 
661;31;Property;33533 
662;31;Property;33496 
664;48;Property;33487 
665;47;Property;33458 
666;44;Property;33449 
667;44;Property;33438 
668;46;Property;33429 
669;44;Property;33416 
670;47;Property;33378 
671;43;Property;33373 
672;43;Property;33344 
673;42;Property;33330 
674;49;Property;33316 
675;47;Property;33307 
677;51;Property;33293 
678;59;Property;33255 
679;59;Property;33216 
680;59;Property;33177 
681;59;Property;33138 
682;59;Property;33099 
683;59;Property;33060 
685;65;Property;33048 
686;68;Property;33035 
687;64;Property;33005 
688;64;Property;32973 
689;69;Property;32961 
690;69;Property;32951 
691;69;Property;32938 
692;68;Property;32930 
693;63;Property;32916 
694;69;Property;32906 
695;68;Property;32894 
696;67;Property;32873 
697;68;Property;32861 
698;69;Property;32847 
699;68;Property;32837 
700;69;Property;32825 
701;69;Property;32814 
702;67;Property;32806 
703;68;Property;32793 
704;69;Property;32782 
705;69;Property;32771 
706;69;Property;32758 
707;68;Property;32751 
708;69;Property;32738 
709;68;Property;32705 
710;69;Property;32692 
711;68;Property;32659 
712;67;Property;32651 
713;68;Property;32639 
714;67;Property;32609 
715;67;Property;32564 
716;69;Property;32553 
717;69;Property;32539 
718;67;Property;32518 
720;75;Property;32473 
721;76;Property;32460 
722;77;Property;32446 
723;76;Property;32435 
724;78;Property;32423 
725;78;Property;32409 
726;77;Property;32398 
727;75;Property;32389 
728;78;Property;32377 
729;78;Property;32363 
730;76;Property;32342 
731;79;Property;32328 
732;78;Property;32316 
733;79;Property;32281 
734;75;Property;32273 
735;78;Property;32234 
736;79;Property;32225 
737;78;Property;32197 
738;75;Property;32176 
739;77;Property;32167 
740;78;Property;32153 
741;79;Property;32144 
742;78;Property;32115 
743;78;Property;32077 
744;78;Property;32039 
745;78;Property;32001 
746;79;Property;31992 
747;79;Property;31981 
748;78;Property;31963 
749;79;Property;31954 
750;79;Property;31943 
751;79;Property;31930 
752;78;Property;31925 
753;79;Property;31916 
754;79;Property;31905 
755;78;Property;31887 
756;79;Property;31878 
757;78;Property;31850 
758;78;Property;31812 
759;78;Property;31774 
760;78;Property;31735 
761;79;Property;31726 
762;78;Property;31696 
763;78;Property;31657 
764;78;Property;31618 
765;78;Property;31579 
766;78;Property;31540 
767;78;Property;31501 
769;89;Property;31491 
770;83;Property;31452 
771;89;Property;31438 
772;80;Property;31430 
773;88;Property;31392 
774;83;Property;31383 
775;88;Property;31374 
776;83;Property;31361 
777;81;Property;31347 
778;81;Property;31342 
779;84;Property;31313 
780;82;Property;31304 
781;88;Property;31295 
782;87;Property;31266 
783;83;Property;31228 
784;85;Property;31217 
785;84;Property;31208 
786;83;Property;31190 
787;84;Property;31181 
788;89;Property;31167 
789;87;Property;31158 
790;88;Property;31120 
