counter;index;instructionType;totalChars 
0;0;original;2911 
6;114;MemberExpression;2907 
12;102;Identifier;2905 
13;117;Identifier;2877 
14;101;Identifier;2876 
16;120;Identifier;2874 
17;120;Identifier;2873 
19;193;Identifier;2870 
21;225;Identifier;2870 
22;232;Identifier;2870 
24;263;Identifier;2870 
25;269;Identifier;2870 
26;256;Identifier;2870 
27;252;Identifier;2870 
29;308;Identifier;2870 
30;288;Identifier;2870 
31;319;Identifier;2870 
33;344;Identifier;2870 
34;327;Identifier;2870 
35;358;Identifier;2870 
36;347;Identifier;2870 
38;363;Identifier;2870 
55;28;IfStatement;2848 
61;2;Property;2833 
65;51;Literal;2830 
91;295;Identifier;2830 
