counter;index;instructionType;totalChars 
0;0;original;48844 
1;7;ExpressionStatement;48821 
2;6;ExpressionStatement;48796 
3;8;ExpressionStatement;48685 
4;2;ExpressionStatement;48672 
6;14;ExpressionStatement;48659 
8;27;ExpressionStatement;48638 
9;27;ExpressionStatement;48632 
10;26;ExpressionStatement;48609 
11;28;ExpressionStatement;48609 
12;29;ExpressionStatement;48604 
13;29;ExpressionStatement;48588 
15;34;ExpressionStatement;48568 
16;30;ExpressionStatement;48551 
17;32;ExpressionStatement;48468 
18;31;ExpressionStatement;48452 
19;33;ExpressionStatement;48441 
20;30;ExpressionStatement;48421 
21;33;ExpressionStatement;48395 
22;31;ExpressionStatement;48272 
23;31;ExpressionStatement;48235 
25;45;ExpressionStatement;48224 
26;40;ExpressionStatement;48215 
27;43;ExpressionStatement;48167 
29;54;ExpressionStatement;48162 
31;67;ExpressionStatement;48147 
32;65;ExpressionStatement;48132 
34;77;ExpressionStatement;48057 
37;91;ExpressionStatement;48036 
40;110;ExpressionStatement;48030 
41;117;ExpressionStatement;48015 
43;127;ExpressionStatement;48002 
44;127;ExpressionStatement;47990 
45;126;ExpressionStatement;47978 
49;155;ExpressionStatement;47966 
51;167;ExpressionStatement;47954 
52;167;ExpressionStatement;47939 
55;183;ExpressionStatement;47923 
56;182;ExpressionStatement;47911 
57;182;ExpressionStatement;47892 
60;205;ExpressionStatement;47854 
61;207;ExpressionStatement;47821 
62;205;ExpressionStatement;47785 
63;206;ExpressionStatement;47749 
64;208;ExpressionStatement;47711 
65;207;ExpressionStatement;47678 
67;218;ExpressionStatement;47663 
68;219;ExpressionStatement;47648 
71;234;ExpressionStatement;47638 
72;236;ExpressionStatement;47625 
73;236;ExpressionStatement;47612 
74;235;ExpressionStatement;47600 
77;252;ExpressionStatement;47587 
79;264;ExpressionStatement;47561 
81;276;ExpressionStatement;47545 
82;271;ExpressionStatement;47529 
84;289;ExpressionStatement;47510 
86;290;ExpressionStatement;47501 
89;311;ExpressionStatement;47481 
90;312;ExpressionStatement;47444 
92;323;ExpressionStatement;47424 
93;325;ExpressionStatement;47404 
95;331;ExpressionStatement;47373 
96;330;ExpressionStatement;47349 
97;331;ExpressionStatement;47308 
98;330;ExpressionStatement;46947 
99;339;ExpressionStatement;46933 
100;339;ExpressionStatement;46915 
102;341;ExpressionStatement;46900 
105;362;ExpressionStatement;46872 
109;391;ExpressionStatement;46843 
110;395;ExpressionStatement;46830 
112;408;ExpressionStatement;46817 
113;409;ExpressionStatement;46793 
114;401;ExpressionStatement;46773 
115;400;ExpressionStatement;46759 
117;412;ExpressionStatement;46733 
120;438;ExpressionStatement;46720 
122;449;ExpressionStatement;46689 
123;446;ExpressionStatement;46676 
124;442;ExpressionStatement;46655 
125;449;ExpressionStatement;46631 
126;448;ExpressionStatement;46605 
127;448;ExpressionStatement;46574 
129;457;ExpressionStatement;46564 
130;455;ExpressionStatement;46544 
131;452;ExpressionStatement;46513 
132;456;ExpressionStatement;46449 
133;455;ExpressionStatement;46441 
134;455;ExpressionStatement;46414 
136;463;ExpressionStatement;46410 
137;464;ExpressionStatement;46405 
139;472;ExpressionStatement;46395 
141;489;ExpressionStatement;46369 
142;488;ExpressionStatement;46343 
143;489;ExpressionStatement;46321 
149;538;ExpressionStatement;46304 
150;533;ExpressionStatement;46294 
151;530;ExpressionStatement;46278 
152;531;ExpressionStatement;46268 
153;535;ExpressionStatement;46251 
154;530;ExpressionStatement;46232 
156;541;ExpressionStatement;46204 
157;544;ExpressionStatement;46189 
159;558;ExpressionStatement;46172 
161;564;ExpressionStatement;46157 
162;569;ExpressionStatement;46142 
165;582;ExpressionStatement;46122 
177;697;ExpressionStatement;46112 
178;696;ExpressionStatement;46103 
179;697;ExpressionStatement;46101 
180;699;ExpressionStatement;46092 
181;699;ExpressionStatement;46084 
183;706;ExpressionStatement;46050 
184;709;ExpressionStatement;46028 
185;708;ExpressionStatement;46008 
186;704;ExpressionStatement;45982 
187;706;ExpressionStatement;45958 
188;706;ExpressionStatement;45938 
189;705;ExpressionStatement;45908 
198;783;ExpressionStatement;45889 
199;784;ExpressionStatement;45881 
236;336;CallExpression;45878 
257;536;CallExpression;45869 
269;647;CallExpression;45858 
291;851;CallExpression;45829 
295;887;CallExpression;45824 
358;260;BinaryExpression;45590 
362;291;BinaryExpression;45587 
397;631;BinaryExpression;45568 
422;7;Literal;45566 
424;14;Literal;45563 
425;12;Literal;45552 
426;12;Literal;45542 
429;32;Literal;45542 
431;44;Literal;45415 
432;46;Literal;45415 
441;124;Literal;45412 
442;123;Literal;45407 
445;147;Literal;45404 
446;146;Literal;45400 
453;201;Literal;45397 
454;200;Literal;45394 
456;218;Literal;45391 
457;217;Literal;45388 
459;228;Literal;45385 
460;222;Literal;45382 
461;220;Literal;45379 
462;227;Literal;45376 
463;220;Literal;45373 
464;225;Literal;45370 
466;239;Literal;45355 
467;237;Literal;45340 
469;245;Literal;45337 
470;243;Literal;45334 
471;243;Literal;45331 
472;242;Literal;45328 
479;300;Literal;45325 
491;415;Literal;45327 
493;429;Literal;45323 
494;429;Literal;45322 
495;429;Literal;45319 
496;429;Literal;45316 
497;429;Literal;45313 
