counter;index;instructionType;totalChars 
0;0;original;18323 
1;0;ExpressionStatement;18293 
2;0;VariableDeclaration;18289 
3;4;IfStatement;18254 
4;4;IfStatement;18228 
5;7;IfStatement;18133 
6;7;IfStatement;18081 
7;3;IfStatement;18047 
8;2;IfStatement;18015 
10;15;IfStatement;17965 
11;13;IfStatement;17915 
12;16;IfStatement;17857 
15;37;IfStatement;17839 
43;180;BinaryExpression;17805 
47;210;BinaryExpression;17779 
51;241;BinaryExpression;17751 
82;16;Identifier;17741 
84;21;Identifier;17741 
85;21;Identifier;17733 
116;321;Identifier;17731 
120;355;Identifier;17729 
121;351;Identifier;17727 
123;368;Identifier;17725 
124;362;Identifier;17723 
127;389;Identifier;17721 
128;389;Identifier;17719 
137;468;Identifier;17717 
143;518;Identifier;17715 
144;518;Identifier;17713 
145;517;Identifier;17711 
150;553;Identifier;17709 
151;558;Identifier;17707 
166;699;Identifier;17705 
167;696;Identifier;17703 
168;697;Identifier;17702 
169;695;Identifier;17701 
176;759;Identifier;17699 
177;755;Identifier;17697 
180;772;Identifier;17695 
182;786;Identifier;17693 
194;898;Identifier;17691 
196;907;Identifier;17689 
197;902;Identifier;17687 
199;910;Identifier;17685 
202;931;Identifier;17683 
203;932;Identifier;17681 
204;932;Identifier;17679 
210;981;Identifier;17677 
213;1008;Identifier;17675 
215;1017;Identifier;17673 
216;1011;Identifier;17671 
218;1020;Identifier;17669 
222;1052;Identifier;17667 
224;1063;Identifier;17665 
228;1096;Identifier;17663 
229;1090;Identifier;17661 
230;1098;Identifier;17659 
236;1145;Identifier;17657 
237;1145;Identifier;17655 
239;1157;Identifier;17653 
241;1164;Identifier;17651 
246;1205;Identifier;17648 
250;1237;Identifier;17646 
252;1245;Identifier;17644 
253;1242;Identifier;17642 
255;1259;Identifier;17640 
257;1264;Identifier;17638 
258;1269;Identifier;17636 
260;1274;Identifier;17634 
261;1279;Identifier;17632 
262;1277;Identifier;17630 
263;1272;Identifier;17628 
268;1316;Identifier;17626 
269;1318;Identifier;17624 
270;1314;Identifier;17622 
271;1314;Identifier;17620 
272;1314;Identifier;17618 
273;1314;Identifier;17616 
276;1332;Identifier;17614 
279;1350;Identifier;17612 
280;1358;Identifier;17611 
282;1367;Identifier;17609 
283;1366;Identifier;17607 
286;1382;Identifier;17605 
287;1382;Identifier;17603 
288;1381;Identifier;17601 
289;1381;Identifier;17599 
290;1382;Identifier;17597 
291;1381;Identifier;17595 
294;1404;Identifier;17593 
300;1459;Identifier;17591 
301;1459;Identifier;17589 
302;1453;Identifier;17587 
304;1464;Identifier;17585 
307;1488;Identifier;17583 
308;1488;Identifier;17581 
309;1487;Identifier;17579 
310;1487;Identifier;17577 
311;1488;Identifier;17575 
312;1488;Identifier;17573 
313;1485;Identifier;17571 
314;1486;Identifier;17569 
321;1547;Identifier;17567 
323;1552;Identifier;17565 
324;1552;Identifier;17563 
325;1550;Identifier;17561 
327;1569;Identifier;17559 
343;1718;Identifier;17557 
347;1748;Identifier;17555 
359;1856;Identifier;17553 
361;1863;Identifier;17551 
367;1917;Identifier;17549 
368;1913;Identifier;17547 
