trial;counter;index;instructionType;totalChars 
0;0;0;original;18323 
0;counter;index;instructionType;totalChars 
0;0;0;original;18323 
0;242;114;MemberExpression;18316 
0;246;173;MemberExpression;18296 
0;247;175;MemberExpression;18277 
0;248;177;MemberExpression;18264 
0;249;177;MemberExpression;18253 
0;250;177;MemberExpression;18242 
1;0;0;original;18323 
1;1;0;ExpressionStatement;18293 
1;10;83;VariableDeclaration;18301 
1;12;98;VariableDeclaration;18348 
1;13;93;VariableDeclaration;18351 
1;14;95;VariableDeclaration;18354 
1;29;17;Identifier;18344 
1;31;23;Identifier;18336 
1;32;22;Identifier;18336 
1;63;322;Identifier;18334 
1;68;366;Identifier;18332 
1;69;362;Identifier;18330 
1;71;379;Identifier;18328 
1;72;373;Identifier;18326 
1;76;406;Identifier;18324 
1;77;408;Identifier;18322 
1;78;406;Identifier;18319 
1;79;407;Identifier;18317 
1;88;486;Identifier;18315 
1;91;504;Identifier;18313 
1;94;525;Identifier;18311 
1;98;551;Identifier;18309 
1;99;550;Identifier;18307 
1;100;550;Identifier;18305 
1;104;586;Identifier;18303 
1;106;591;Identifier;18301 
1;121;738;Identifier;18299 
1;122;738;Identifier;18298 
1;123;735;Identifier;18296 
1;124;735;Identifier;18295 
1;131;799;Identifier;18293 
1;132;795;Identifier;18291 
1;135;812;Identifier;18289 
1;137;826;Identifier;18287 
1;149;938;Identifier;18285 
1;151;942;Identifier;18283 
1;152;946;Identifier;18281 
1;154;950;Identifier;18279 
1;157;974;Identifier;18277 
1;158;973;Identifier;18275 
1;159;971;Identifier;18273 
1;165;1022;Identifier;18271 
1;168;1049;Identifier;18269 
1;170;1052;Identifier;18267 
1;171;1057;Identifier;18265 
1;173;1061;Identifier;18263 
1;177;1093;Identifier;18261 
1;179;1104;Identifier;18259 
1;183;1131;Identifier;18257 
1;184;1136;Identifier;18255 
1;185;1139;Identifier;18253 
1;191;1188;Identifier;18251 
1;192;1187;Identifier;18249 
1;194;1199;Identifier;18247 
1;196;1206;Identifier;18245 
1;201;1247;Identifier;18242 
1;205;1279;Identifier;18240 
1;207;1287;Identifier;18238 
1;208;1284;Identifier;18236 
1;211;1307;Identifier;18234 
1;212;1301;Identifier;18232 
1;214;1315;Identifier;18230 
1;215;1316;Identifier;18228 
1;216;1311;Identifier;18226 
1;217;1318;Identifier;18224 
1;218;1319;Identifier;18222 
1;223;1359;Identifier;18220 
1;224;1356;Identifier;18218 
1;225;1359;Identifier;18216 
1;226;1357;Identifier;18214 
1;227;1356;Identifier;18212 
1;228;1356;Identifier;18210 
1;231;1374;Identifier;18208 
1;234;1392;Identifier;18206 
1;236;1400;Identifier;18205 
1;237;1409;Identifier;18203 
1;238;1408;Identifier;18201 
1;241;1424;Identifier;18199 
1;242;1424;Identifier;18197 
1;243;1426;Identifier;18195 
1;244;1424;Identifier;18193 
1;245;1424;Identifier;18191 
1;246;1423;Identifier;18189 
