Lib;Heuristic;Trial;Lines;% Improved Loc;Chars;% Improved Chars;Instructions;% Improved Instructions;Time Spent
node-semver;Original;-;1;0;18318;0;5258;0;0
node-semver;HC;0;1;0;18237;0.0044218801179168035;5239;0.0036135412704450362;7068,346
node-semver;HC;1;1;0;18142;0.009608035811769843;5135;0.023392925066565234;9326,192
node-semver;HC;2;1;0;17615;0.0383775521345125;5034;0.04260174971472042;9445,712
node-semver;HC;3;1;0;18174;0.007861120209629872;5122;0.025865348041080257;8983,077
node-semver;HC;4;1;0;16993;0.0723332241511082;4862;0.07531380753138076;8909,487
node-semver;HC;5;1;0;17510;0.044109618954034285;5019;0.045454545454545456;8776,82
node-semver;HC;6;1;0;17475;0.04602030789387488;5022;0.04488398630658045;8897,479
node-semver;HC;7;1;0;17542;0.042362703351894314;5034;0.04260174971472042;8931,509
node-semver;HC;8;1;0;18183;0.007369800196528005;5129;0.024534043362495244;9085,271
node-semver;HC;9;1;0;18174;0.007861120209629872;5122;0.025865348041080257;8785,198
