counter;index;instructionType;totalChars 
0;0;original;12325 
1;0;VariableDeclaration;12304 
2;30;VariableDeclaration;12304 
3;17;VariableDeclaration;12290 
4;24;VariableDeclaration;12289 
5;15;VariableDeclaration;12289 
6;25;VariableDeclaration;12290 
7;34;VariableDeclaration;12288 
8;32;VariableDeclaration;12288 
9;16;VariableDeclaration;12165 
10;31;VariableDeclaration;12133 
11;15;VariableDeclaration;12144 
12;32;VariableDeclaration;12114 
13;32;VariableDeclaration;12112 
14;21;VariableDeclaration;12113 
15;8;VariableDeclaration;12108 
16;26;VariableDeclaration;12106 
17;32;VariableDeclaration;12104 
18;39;VariableDeclaration;12105 
19;37;VariableDeclaration;12106 
20;25;VariableDeclaration;12081 
21;31;VariableDeclaration;12051 
22;6;VariableDeclaration;12039 
23;26;VariableDeclaration;12039 
24;32;VariableDeclaration;12032 
25;6;VariableDeclaration;12011 
26;23;VariableDeclaration;11979 
27;31;VariableDeclaration;11972 
28;26;VariableDeclaration;11941 
29;30;VariableDeclaration;11939 
30;37;VariableDeclaration;11937 
31;32;VariableDeclaration;11879 
32;26;VariableDeclaration;11879 
33;18;VariableDeclaration;11854 
34;39;VariableDeclaration;11854 
35;24;VariableDeclaration;11854 
36;33;VariableDeclaration;11790 
37;18;VariableDeclaration;11765 
38;30;VariableDeclaration;11765 
39;34;VariableDeclaration;11702 
40;36;VariableDeclaration;11639 
41;36;VariableDeclaration;11639 
42;29;VariableDeclaration;11576 
43;30;VariableDeclaration;11576 
44;27;VariableDeclaration;11574 
45;32;VariableDeclaration;11572 
46;39;VariableDeclaration;11570 
47;21;VariableDeclaration;11540 
48;25;VariableDeclaration;11505 
49;27;VariableDeclaration;11441 
50;34;VariableDeclaration;11441 
51;29;VariableDeclaration;11378 
52;26;VariableDeclaration;11315 
53;24;VariableDeclaration;11280 
54;21;VariableDeclaration;11249 
55;33;VariableDeclaration;11253 
56;34;VariableDeclaration;11246 
57;24;VariableDeclaration;11244 
58;22;VariableDeclaration;11242 
59;32;VariableDeclaration;11243 
60;36;VariableDeclaration;11211 
61;22;VariableDeclaration;11209 
62;23;VariableDeclaration;11207 
63;33;VariableDeclaration;11207 
64;27;VariableDeclaration;11211 
65;23;VariableDeclaration;11148 
66;30;VariableDeclaration;11141 
67;28;VariableDeclaration;11109 
68;27;VariableDeclaration;11109 
69;27;VariableDeclaration;11110 
70;27;VariableDeclaration;11110 
71;22;VariableDeclaration;11047 
72;31;VariableDeclaration;11048 
73;27;VariableDeclaration;11046 
74;25;VariableDeclaration;11047 
75;39;VariableDeclaration;11014 
76;22;VariableDeclaration;11014 
77;29;VariableDeclaration;11014 
78;23;VariableDeclaration;10972 
79;36;VariableDeclaration;10970 
80;36;VariableDeclaration;10965 
81;24;VariableDeclaration;10957 
82;34;VariableDeclaration;10958 
83;30;VariableDeclaration;10956 
84;26;VariableDeclaration;10948 
85;32;VariableDeclaration;10949 
86;26;VariableDeclaration;10920 
87;35;VariableDeclaration;10889 
88;36;VariableDeclaration;10858 
89;31;VariableDeclaration;10827 
90;34;VariableDeclaration;10827 
91;26;VariableDeclaration;10827 
92;39;VariableDeclaration;10825 
93;25;VariableDeclaration;10796 
94;22;VariableDeclaration;10754 
95;32;VariableDeclaration;10751 
96;26;VariableDeclaration;10752 
97;27;VariableDeclaration;10753 
98;34;VariableDeclaration;10736 
99;35;VariableDeclaration;10696 
100;34;VariableDeclaration;10697 
101;33;VariableDeclaration;10673 
102;22;VariableDeclaration;10641 
103;26;VariableDeclaration;10636 
104;31;VariableDeclaration;10637 
105;30;VariableDeclaration;10638 
106;23;VariableDeclaration;10609 
107;26;VariableDeclaration;10607 
108;34;VariableDeclaration;10578 
109;30;VariableDeclaration;10554 
110;39;VariableDeclaration;10555 
111;22;VariableDeclaration;10556 
112;36;VariableDeclaration;10557 
113;30;VariableDeclaration;10549 
114;31;VariableDeclaration;10549 
115;34;VariableDeclaration;10521 
116;34;VariableDeclaration;10509 
117;22;VariableDeclaration;10503 
118;21;VariableDeclaration;10472 
119;25;VariableDeclaration;10432 
120;34;VariableDeclaration;10420 
121;34;VariableDeclaration;10420 
122;32;VariableDeclaration;10383 
123;39;VariableDeclaration;10346 
124;21;VariableDeclaration;10313 
125;21;VariableDeclaration;10313 
