counter;index;instructionType;totalChars 
0;0;original;4800 
1;0;ExpressionStatement;4787 
5;19;VariableDeclaration;4805 
9;30;VariableDeclaration;4803 
10;30;VariableDeclaration;4801 
25;33;Identifier;4805 
27;35;Identifier;4803 
28;35;Identifier;4812 
29;39;Identifier;4810 
30;39;Identifier;4809 
32;43;Identifier;4816 
34;46;Identifier;4820 
45;99;Identifier;4824 
47;102;Identifier;4828 
55;137;Identifier;4826 
60;156;Identifier;4830 
61;159;Identifier;4834 
66;179;Identifier;4832 
67;179;Identifier;4830 
68;179;Identifier;4829 
73;196;Identifier;4827 
74;196;Identifier;4826 
76;200;Identifier;4824 
82;226;Identifier;4827 
158;604;Identifier;4843 
159;604;Identifier;4842 
160;603;Identifier;4844 
163;613;Identifier;4839 
164;613;Identifier;4831 
165;613;Identifier;4829 
297;14;CallExpression;4811 
302;32;CallExpression;4766 
303;32;CallExpression;4766 
304;34;CallExpression;4724 
309;52;CallExpression;4724 
312;64;CallExpression;4706 
313;63;CallExpression;4701 
320;15;Literal;4685 
321;15;Literal;4675 
322;19;Literal;4664 
323;19;Literal;4652 
324;19;Literal;4642 
325;19;Literal;4633 
326;19;Literal;4622 
327;19;Literal;4609 
328;19;Literal;4595 
329;19;Literal;4585 
330;19;Literal;4574 
331;19;Literal;4561 
333;20;Literal;4547 
334;21;Literal;4540 
335;24;Literal;4537 
336;20;Literal;4537 
338;28;Literal;4488 
340;32;Literal;4481 
343;9;ExpressionStatement;4462 
344;7;ExpressionStatement;4376 
345;8;ExpressionStatement;4356 
347;14;ExpressionStatement;4341 
348;12;ExpressionStatement;4341 
349;10;ExpressionStatement;4251 
350;13;ExpressionStatement;4231 
351;14;ExpressionStatement;4204 
352;13;ExpressionStatement;4153 
353;12;ExpressionStatement;4127 
355;15;ExpressionStatement;4107 
356;17;ExpressionStatement;4087 
357;17;ExpressionStatement;4067 
358;17;ExpressionStatement;4045 
359;17;ExpressionStatement;4045 
360;15;ExpressionStatement;4025 
363;28;ExpressionStatement;3988 
364;28;ExpressionStatement;3944 
367;38;ExpressionStatement;3800 
377;7;MemberExpression;3781 
387;53;MemberExpression;3779 
408;1;FunctionDeclaration;3625 
410;1;ReturnStatement;3589 
412;5;ReturnStatement;3589 
414;14;ReturnStatement;3589 
424;6;Property;3579 
425;5;Property;3567 
426;8;Property;3557 
427;6;Property;3505 
428;8;Property;3477 
430;10;Property;3459 
432;15;Property;3426 
433;19;Property;3378 
434;19;Property;3360 
436;21;Property;3346 
437;23;Property;3316 
438;24;Property;3298 
439;21;Property;3274 
440;23;Property;3246 
442;28;Property;3228 
443;29;Property;3198 
444;29;Property;3184 
445;26;Property;3166 
447;32;Property;3148 
448;30;Property;3118 
449;32;Property;3086 
451;3;IfStatement;3070 
453;6;IfStatement;3070 
454;7;IfStatement;3028 
455;6;IfStatement;3004 
458;5;BinaryExpression;2978 
463;3;VariableDeclaration;2934 
499;116;Identifier;2932 
541;324;Identifier;2930 
701;3;ExpressionStatement;2911 
462;0;RESTART;2911 
