counter;index;instructionType;totalChars 
0;0;original;1722 
1;0;ExpressionStatement;1709 
19;6;CallExpression;1690 
20;6;CallExpression;1549 
22;8;CallExpression;1537 
25;13;CallExpression;1527 
28;16;CallExpression;1519 
31;20;CallExpression;1510 
45;25;Literal;1495 
46;25;Literal;1482 
52;2;ObjectExpression;1416 
53;2;ObjectExpression;1346 
55;4;ObjectExpression;1261 
56;5;ObjectExpression;1188 
58;6;ObjectExpression;1158 
61;3;ExpressionStatement;1110 
63;5;ExpressionStatement;1099 
64;4;ExpressionStatement;1056 
66;7;ExpressionStatement;1045 
67;6;ExpressionStatement;1028 
68;7;ExpressionStatement;1011 
69;7;ExpressionStatement;993 
72;2;FunctionExpression;980 
75;6;FunctionExpression;953 
79;0;Property;941 
80;1;Property;920 
82;3;Property;913 
83;2;Property;906 
84;2;Property;897 
85;3;Property;885 
86;2;Property;890 
87;2;Property;872 
88;2;Property;830 
89;3;Property;818 
91;4;Property;791 
92;5;Property;744 
94;0;IfStatement;727 
96;3;IfStatement;711 
97;2;IfStatement;684 
101;3;ReturnStatement;684 
102;3;ReturnStatement;666 
104;1;FunctionDeclaration;644 
105;1;FunctionDeclaration;617 
111;6;VariableDeclaration;617 
112;7;VariableDeclaration;609 
114;8;VariableDeclaration;609 
120;1;CallExpression;591 
107;0;RESTART;591 
150;1;VariableDeclaration;589 
149;0;RESTART;589 
187;1;RESTART;589 
224;2;RESTART;589 
261;3;RESTART;589 
298;4;RESTART;589 
335;5;RESTART;589 
372;6;RESTART;589 
409;7;RESTART;589 
446;8;RESTART;589 
483;9;RESTART;589 
520;10;RESTART;589 
557;11;RESTART;589 
594;12;RESTART;589 
631;13;RESTART;589 
668;14;RESTART;589 
705;15;RESTART;589 
742;16;RESTART;589 
779;17;RESTART;589 
816;18;RESTART;589 
853;19;RESTART;589 
890;20;RESTART;589 
927;21;RESTART;589 
964;22;RESTART;589 
1001;23;RESTART;589 
1038;24;RESTART;589 
1075;25;RESTART;589 
1112;26;RESTART;589 
1149;27;RESTART;589 
1186;28;RESTART;589 
1223;29;RESTART;589 
1260;30;RESTART;589 
1297;31;RESTART;589 
1334;32;RESTART;589 
1371;33;RESTART;589 
1408;34;RESTART;589 
1445;35;RESTART;589 
1482;36;RESTART;589 
1519;37;RESTART;589 
1556;38;RESTART;589 
1593;39;RESTART;589 
1630;40;RESTART;589 
1667;41;RESTART;589 
1704;42;RESTART;589 
1741;43;RESTART;589 
1778;44;RESTART;589 
1815;45;RESTART;589 
1852;46;RESTART;589 
1889;47;RESTART;589 
1926;48;RESTART;589 
1963;49;RESTART;589 
2000;50;RESTART;589 
2037;51;RESTART;589 
2074;52;RESTART;589 
2111;53;RESTART;589 
2148;54;RESTART;589 
2185;55;RESTART;589 
2222;56;RESTART;589 
2259;57;RESTART;589 
2296;58;RESTART;589 
2333;59;RESTART;589 
2370;60;RESTART;589 
2407;61;RESTART;589 
2444;62;RESTART;589 
