counter;index;instructionType;totalChars 
0;0;original;16161 
1;5;ExpressionStatement;16143 
2;3;ExpressionStatement;16129 
3;6;ExpressionStatement;16115 
4;6;ExpressionStatement;16070 
5;2;ExpressionStatement;16042 
9;38;ExpressionStatement;16021 
11;46;ExpressionStatement;16000 
16;84;ExpressionStatement;15988 
25;163;ExpressionStatement;15979 
26;160;ExpressionStatement;15972 
28;173;ExpressionStatement;15960 
29;172;ExpressionStatement;15954 
35;222;ExpressionStatement;15946 
36;229;ExpressionStatement;15891 
37;221;ExpressionStatement;15882 
38;228;ExpressionStatement;15772 
40;234;ExpressionStatement;15729 
42;246;ExpressionStatement;15725 
45;267;ExpressionStatement;15680 
48;283;ExpressionStatement;15634 
50;2;CallExpression;15614 
68;174;CallExpression;15599 
69;176;CallExpression;15582 
70;174;CallExpression;15536 
82;286;CallExpression;15523 
84;290;CallExpression;15497 
89;5;FunctionExpression;15481 
90;1;FunctionExpression;15472 
98;71;FunctionExpression;15452 
108;5;VariableDeclaration;15449 
109;1;VariableDeclaration;15443 
111;14;VariableDeclaration;15436 
113;26;VariableDeclaration;15442 
120;82;VariableDeclaration;15442 
121;82;VariableDeclaration;15455 
124;106;VariableDeclaration;15455 
125;108;VariableDeclaration;15355 
126;109;VariableDeclaration;15323 
127;109;VariableDeclaration;15324 
128;108;VariableDeclaration;15310 
129;108;VariableDeclaration;15310 
130;107;VariableDeclaration;15310 
137;165;VariableDeclaration;15291 
140;7;VariableDeclarator;15285 
141;6;VariableDeclarator;15307 
142;2;VariableDeclarator;15288 
148;52;VariableDeclarator;15298 
149;57;VariableDeclarator;15308 
150;57;VariableDeclarator;15334 
151;52;VariableDeclarator;15360 
153;62;VariableDeclarator;15370 
159;116;VariableDeclarator;15368 
160;117;VariableDeclarator;15374 
162;121;VariableDeclarator;15402 
163;121;VariableDeclarator;15415 
164;129;VariableDeclarator;15437 
165;128;VariableDeclarator;15447 
168;148;VariableDeclarator;15483 
171;165;VariableDeclarator;15502 
172;160;VariableDeclarator;15508 
173;164;VariableDeclarator;15518 
176;182;VariableDeclarator;15524 
181;3;IfStatement;15484 
182;3;IfStatement;15461 
185;29;IfStatement;15423 
187;33;IfStatement;15400 
188;34;IfStatement;15390 
189;32;IfStatement;15385 
193;60;IfStatement;15367 
194;69;IfStatement;15344 
195;68;IfStatement;15316 
196;65;IfStatement;15293 
198;75;IfStatement;15278 
199;76;IfStatement;15227 
200;70;IfStatement;15204 
201;78;IfStatement;15191 
202;74;IfStatement;15143 
203;78;IfStatement;15091 
205;88;IfStatement;15059 
208;105;IfStatement;15059 
209;107;IfStatement;15046 
210;102;IfStatement;15035 
211;103;IfStatement;15010 
212;109;IfStatement;14957 
213;109;IfStatement;14919 
220;51;BinaryExpression;14905 
222;67;BinaryExpression;14900 
228;115;BinaryExpression;14847 
229;117;BinaryExpression;14847 
235;164;BinaryExpression;14806 
241;4;ReturnStatement;14799 
242;6;ReturnStatement;14741 
243;4;ReturnStatement;14680 
244;2;ReturnStatement;14614 
246;14;ReturnStatement;14619 
250;43;ReturnStatement;14619 
255;85;ReturnStatement;14610 
256;82;ReturnStatement;14597 
259;103;ReturnStatement;14585 
264;141;ReturnStatement;14585 
266;158;ReturnStatement;14585 
268;164;ReturnStatement;14576 
273;25;UnaryExpression;14576 
274;24;UnaryExpression;14576 
277;49;UnaryExpression;14525 
312;25;Literal;14523 
316;51;Literal;14521 
319;75;Literal;14518 
320;75;Literal;14516 
323;97;Literal;14514 
327;128;Literal;14473 
328;123;Literal;14436 
329;129;Literal;14434 
331;130;Literal;14432 
332;130;Literal;14427 
335;151;Literal;14425 
336;154;Literal;14423 
337;150;Literal;14420 
338;151;Literal;14417 
339;151;Literal;14414 
340;158;Literal;14407 
343;176;Literal;14405 
344;171;Literal;14403 
345;174;Literal;14401 
346;175;Literal;14399 
347;174;Literal;14397 
350;197;Literal;14395 
356;245;Literal;14393 
358;259;Literal;14389 
360;261;Literal;14382 
361;267;Literal;14375 
362;263;Literal;14368 
363;266;Literal;14360 
367;4;FunctionDeclaration;14360 
372;1;Property;14352 
373;2;Property;14340 
375;12;Property;14331 
393;150;ExpressionStatement;14331 
464;106;VariableDeclaration;14331 
485;128;VariableDeclarator;14331 
497;25;IfStatement;14306 
