counter;index;instructionType;totalChars 
0;0;original;8301 
9;172;ExpressionStatement;8294 
12;32;CallExpression;8290 
13;26;CallExpression;8286 
15;43;CallExpression;8277 
17;68;CallExpression;8260 
18;72;CallExpression;8249 
19;71;CallExpression;8234 
26;13;Literal;8231 
27;14;Literal;8228 
32;97;Literal;8226 
35;133;Literal;8223 
36;132;Literal;8217 
38;144;Literal;8217 
41;9;VariableDeclarator;8237 
57;148;AssignmentExpression;8214 
76;12;ExpressionStatement;8170 
77;19;ExpressionStatement;8149 
75;0;RESTART;8149 
137;1;RESTART;8149 
