Lib;alg;trial;time;chars;originalchars;diffchars 
UglifyJS2;RD;0;30957.698;178779;184449;5670 
UglifyJS2;RD;1;30873.203;180627;184449;3822 
UglifyJS2;RD;2;31426.154;177589;184449;6860 
UglifyJS2;RD;3;31188.215;180137;184449;4312 
UglifyJS2;RD;4;31654.169;180046;184449;4403 
UglifyJS2;RD;5;31677.821;179169;184449;5280 
UglifyJS2;RD;6;31819.52;180510;184449;3939 
UglifyJS2;RD;7;32246.439;179054;184449;5395 
UglifyJS2;RD;8;32575.767;178335;184449;6114 
UglifyJS2;RD;9;31107.375;179680;184449;4769 
browserify;RD;0;20373.662;20414;24377;3963 
browserify;RD;1;20888.484;21245;24377;3132 
browserify;RD;2;22205.509;21254;24377;3123 
browserify;RD;3;21069.73;20740;24377;3637 
browserify;RD;4;22837.417;20660;24377;3717 
browserify;RD;5;22802.984;20789;24377;3588 
browserify;RD;6;28837.749;21729;24377;2648 
browserify;RD;7;32270.772;21081;24377;3296 
browserify;RD;8;33514.925;21701;24377;2676 
browserify;RD;9;44370.433;22848;24377;1529 
d3-node;RD;0;8586.209;2292;3076;784 
d3-node;RD;1;11297.019;2292;3076;784 
d3-node;RD;2;14513.027;2292;3076;784 
d3-node;RD;3;18437.919;2292;3076;784 
d3-node;RD;4;20943.122;2292;3076;784 
d3-node;RD;5;23049.49;2292;3076;784 
d3-node;RD;6;28325.002;2292;3076;784 
d3-node;RD;7;34714.551;2292;3076;784 
d3-node;RD;8;40489.545;2292;3076;784 
d3-node;RD;9;43759.994;2292;3076;784 
decimal.js;RD;0;29284.343;141146;144706;3560 
decimal.js;RD;1;60081.345;142210;144706;2496 
decimal.js;RD;2;24093.324;136388;144706;8318 
decimal.js;RD;3;28645.393;134905;144706;9801 
decimal.js;RD;4;28255.102;137534;144706;7172 
decimal.js;RD;5;27811.064;138281;144706;6425 
decimal.js;RD;6;24438.246;136741;144706;7965 
decimal.js;RD;7;36018.927;141821;144706;2885 
decimal.js;RD;8;27888.063;136138;144706;8568 
decimal.js;RD;9;28174.553;137905;144706;6801 
esprima;RD;0;62503.978;324389;325767;1378 
esprima;RD;1;65971.725;324628;325767;1139 
esprima;RD;2;70537.257;324660;325767;1107 
esprima;RD;3;67186.722;324891;325767;876 
esprima;RD;4;62122.77;324964;325767;803 
esprima;RD;5;67622.466;323846;325767;1921 
esprima;RD;6;67787.073;324257;325767;1510 
esprima;RD;7;64648.332;324486;325767;1281 
esprima;RD;8;68948.164;324794;325767;973 
esprima;RD;9;65844.319;324904;325767;863 
exectimer;RD;0;4957.456;4272;5435;1163 
exectimer;RD;1;6274.748;4321;5435;1114 
exectimer;RD;2;8267.737;4322;5435;1113 
exectimer;RD;3;10670.862;4272;5435;1163 
exectimer;RD;4;12313.363;4272;5435;1163 
exectimer;RD;5;12732.038;4300;5435;1135 
exectimer;RD;6;15933.991;4345;5435;1090 
exectimer;RD;7;18652.988;4272;5435;1163 
exectimer;RD;8;23938.038;4307;5435;1128 
exectimer;RD;9;25148.351;4418;5435;1017 
express;RD;0;11819.245;27069;28616;1547 
express;RD;1;11851.637;27401;28616;1215 
express;RD;2;11927.545;27344;28616;1272 
express;RD;3;11849.735;27514;28616;1102 
