counter;index;instructionType;totalChars 
0;0;original;71864 
12;28176;Literal;71880 
18;114892;Identifier;71879 
24;204112;Identifier;71878 
32;116193;Identifier;71762 
50;155694;Identifier;71760 
55;65264;Identifier;71756 
68;251189;Identifier;71740 
69;86443;Identifier;71738 
76;137729;Identifier;71728 
115;57974;Identifier;71673 
138;111331;Literal;71670 
160;48481;Identifier;71667 
160;76244;Identifier;71669 
171;239285;Identifier;71668 
189;113812;Identifier;71685 
193;98326;BreakStatement;71653 
204;248434;Identifier;71634 
230;147;Identifier;71632 
239;81544;Identifier;71533 
242;222314;Identifier;71511 
257;34449;Literal;71498 
274;26776;Identifier;71488 
276;133580;Identifier;71478 
278;135484;Identifier;71456 
293;240058;Identifier;71455 
294;113461;Identifier;71293 
297;221174;Literal;71293 
317;38457;Identifier;71293 
337;81353;Identifier;71292 
357;57931;Identifier;71286 
357;127636;Literal;71295 
371;52919;Identifier;71277 
379;75741;Identifier;71101 
380;207763;Identifier;71099 
403;237371;Identifier;71099 
422;193187;Identifier;71099 
429;90665;Identifier;71070 
442;51150;Literal;71073 
453;111248;Identifier;71056 
473;112795;Identifier;71054 
479;246103;Identifier;70892 
480;120307;Identifier;70890 
489;37681;Literal;70890 
494;108069;Literal;70881 
520;14268;Identifier;70838 
523;60663;BreakStatement;70838 
535;110590;Identifier;70825 
564;99092;Identifier;70823 
567;82241;Identifier;70760 
573;114622;Identifier;70735 
578;207990;Identifier;70733 
599;219900;Line;70705 
615;112923;Identifier;70655 
619;117702;Literal;70655 
622;56439;Identifier;70631 
625;50344;Literal;70626 
638;76078;Identifier;70542 
639;41919;Identifier;70524 
663;248715;Identifier;70504 
667;166071;Identifier;70425 
669;156114;Identifier;70423 
678;74976;Literal;70414 
691;255910;Literal;70400 
695;143012;Identifier;70398 
698;78520;Identifier;70386 
720;160339;Literal;70383 
722;141067;Identifier;70383 
760;189280;Identifier;70338 
787;55629;Identifier;70301 
801;271665;Identifier;70285 
814;89895;Identifier;70169 
817;9532;Identifier;70163 
827;188011;Identifier;70153 
851;217752;Identifier;70154 
863;207767;Identifier;70152 
866;275133;Identifier;70138 
877;90076;Identifier;70111 
879;167892;Identifier;70082 
880;86025;ThisExpression;70077 
881;175862;Identifier;70039 
882;250073;Identifier;70037 
883;229965;BreakStatement;70037 
885;60499;Literal;70029 
889;107871;Identifier;70027 
895;149983;Identifier;70025 
898;245563;Line;69585 
927;74848;Identifier;69552 
928;80160;Identifier;69551 
931;233199;Identifier;69523 
935;250359;Identifier;69521 
937;204346;Identifier;69504 
941;75518;Identifier;69503 
953;104928;Identifier;69518 
969;36655;Literal;69526 
995;188586;Identifier;69510 
998;149162;Identifier;69525 
