counter;index;instructionType;totalChars 
0;0;original;13105 
1;14366;ThisExpression;13099 
2;37952;Identifier;13084 
3;25918;Identifier;13082 
3;24676;ThisExpression;13074 
3;47063;Identifier;13060 
5;24310;Literal;12979 
6;33356;ObjectExpression;12922 
8;31676;Literal;12919 
12;6475;Identifier;12899 
13;42985;Identifier;12891 
15;27107;Identifier;12883 
21;40753;Identifier;12836 
22;33029;Literal;12820 
22;27016;Identifier;12824 
22;29728;ArrayExpression;12820 
23;7995;ThisExpression;12810 
25;39061;Identifier;12794 
26;30347;Literal;12791 
26;34697;Identifier;12736 
28;22442;Identifier;12712 
31;47386;Identifier;12671 
32;14412;Literal;12661 
35;5391;Literal;12643 
37;30022;Identifier;12641 
39;18648;ThisExpression;12629 
41;19041;Line;12618 
45;9949;Identifier;12593 
47;40439;Literal;12593 
52;22933;Literal;12586 
55;6669;Identifier;12566 
56;33318;Literal;12554 
61;34368;Identifier;12530 
63;47644;Identifier;12522 
69;38168;Identifier;12499 
75;6612;Identifier;12487 
75;13823;Identifier;12478 
76;5363;Identifier;12477 
78;50007;Identifier;12458 
80;25933;Literal;12442 
81;40712;Identifier;12440 
85;36152;Identifier;12421 
86;35317;Literal;12410 
86;40640;Identifier;12302 
87;24937;Identifier;12300 
88;2957;Identifier;12298 
89;45442;Identifier;12292 
92;13781;Identifier;12291 
94;32307;Literal;12288 
98;17909;Identifier;12266 
100;27018;Identifier;12266 
100;6900;Identifier;12235 
101;6586;Identifier;12223 
107;6683;Identifier;12215 
107;20359;ObjectExpression;12181 
108;33017;Literal;12179 
115;32715;Identifier;12177 
117;32499;Identifier;12176 
117;13685;Literal;12175 
118;14221;Identifier;12173 
119;21070;Identifier;12161 
120;30588;Literal;12181 
121;9380;Identifier;12170 
122;29875;ReturnStatement;12132 
126;12094;Identifier;12130 
126;40833;Identifier;12119 
134;39972;Literal;12072 
135;29167;Literal;12085 
137;3392;Literal;11995 
140;13965;Identifier;11973 
146;22508;Identifier;11969 
154;29088;Line;11866 
157;26098;Identifier;11862 
158;41002;Literal;11849 
163;23623;Identifier;11847 
167;31695;Identifier;11845 
168;26012;Identifier;11806 
171;5391;Identifier;11805 
172;38079;Identifier;11764 
178;19250;ThisExpression;11748 
181;42200;Identifier;11743 
183;31721;Literal;11734 
184;9880;Identifier;11731 
185;20855;BlockStatement;11666 
188;22416;ThisExpression;11655 
192;24763;Identifier;11648 
194;24688;Identifier;11631 
195;11689;Line;11602 
200;2997;Identifier;11569 
204;10833;Identifier;11568 
205;20670;Identifier;11543 
214;23271;Literal;11541 
219;12965;Identifier;11540 
220;37270;Identifier;11429 
230;36783;Identifier;11408 
231;31325;Identifier;11398 
238;23363;Identifier;11396 
240;44864;Literal;11392 
241;9656;Literal;11386 
247;18527;Literal;11344 
