counter;index;instructionType;totalChars 
0;0;original;31502 
27;84700;Identifier;31481 
41;117172;Identifier;31470 
43;24980;Identifier;31468 
47;53599;Identifier;31466 
96;172700;Literal;31458 
122;48631;Identifier;31456 
124;159818;Literal;31450 
128;146900;Literal;31449 
130;126143;Literal;31443 
148;25648;Literal;31429 
163;78934;Literal;31417 
211;89732;Identifier;31415 
239;179517;Identifier;31386 
250;101908;Line;31375 
268;192943;Literal;31369 
327;113207;Identifier;31357 
356;45118;BreakStatement;31344 
362;69238;Identifier;31340 
377;89653;Identifier;31338 
425;35626;Identifier;31336 
431;28581;Identifier;31329 
451;166528;Literal;31015 
475;117341;Identifier;30999 
485;93344;Literal;30997 
508;33702;Identifier;30984 
513;26315;Identifier;30962 
518;78096;Literal;30959 
586;152967;Literal;30950 
587;146192;Literal;30949 
589;32856;Identifier;30944 
615;103435;Literal;30904 
646;172895;Identifier;30901 
741;87112;Identifier;30899 
750;182767;Identifier;30882 
766;93548;Literal;30880 
776;77129;Identifier;30870 
810;147843;Literal;30868 
813;94712;Identifier;30835 
930;14114;Identifier;30737 
954;41156;Literal;30726 
1046;157417;Identifier;30720 
1067;20229;Literal;30682 
1109;121245;Literal;30675 
1120;75754;Identifier;30655 
1185;105201;Line;30640 
1229;99579;Line;30591 
1262;167362;Literal;30570 
1263;68387;Literal;30553 
1273;61044;Identifier;30551 
1274;26323;Identifier;30545 
1305;56992;Identifier;30531 
1312;190154;Identifier;30527 
1361;39557;Literal;30507 
1363;166171;Literal;30501 
1374;139076;Literal;30499 
1443;83906;Identifier;30478 
1450;73159;Identifier;30472 
1461;83230;Identifier;30470 
1490;75585;Identifier;30459 
1491;167883;Literal;30437 
1526;86770;Identifier;30416 
1529;4993;Identifier;30409 
1552;66667;Literal;30143 
1560;137701;Identifier;30141 
1579;22135;Literal;30138 
1592;53487;Identifier;30130 
1608;142247;Literal;30125 
1611;120685;Literal;30119 
1621;92333;Identifier;30104 
1659;70716;Identifier;30079 
1668;92006;Literal;30037 
1681;16127;Identifier;30009 
1688;115636;Identifier;30004 
1703;144217;Literal;30001 
1712;121457;Identifier;29988 
1717;122738;Line;29823 
1745;129231;Literal;29805 
1787;66750;Identifier;29794 
1808;173171;Identifier;29581 
1871;121764;Identifier;29574 
1878;164339;Literal;29574 
1937;164141;EmptyStatement;29574 
1972;186748;Identifier;29571 
2023;127276;Line;29552 
2068;11627;Identifier;29548 
2100;143117;Identifier;29539 
2103;91217;Identifier;29495 
2130;134056;Literal;29493 
2145;12382;Literal;29450 
2156;146190;Identifier;29362 
2164;29067;Identifier;29318 
2228;21073;Identifier;29237 
2271;120305;Line;29227 
2279;88016;Identifier;29219 
2342;52328;Identifier;29217 
2352;107467;Literal;29216 
2360;41707;Identifier;29195 
2366;99966;Literal;29156 
2390;156144;Identifier;29143 
2404;67255;Literal;29140 
2414;148085;Identifier;29138 
2430;9092;Identifier;29137 
2443;41933;Line;29080 
2468;180075;Identifier;29046 
2498;9706;Literal;29014 
