counter;index;instructionType;totalChars 
0;0;original;129648 
38;403113;Literal;129639 
107;27675;Literal;129602 
147;282575;Identifier;129577 
546;405784;Literal;129568 
612;397485;Literal;129557 
651;119332;Identifier;129550 
680;261092;Literal;129533 
779;115192;Literal;129500 
816;264000;Literal;129483 
825;405366;Literal;129472 
1017;122255;Identifier;129451 
1067;287503;Literal;129438 
1095;397966;Literal;129427 
1220;148965;Identifier;129426 
1512;275961;Line;129426 
1581;401682;Literal;129418 
1598;401467;Literal;129409 
1693;399360;Literal;129399 
1696;413829;BreakStatement;129393 
1712;305700;Identifier;129391 
1762;395090;Literal;129380 
1840;204639;Identifier;129344 
1856;252845;Literal;129337 
1911;29228;Literal;129300 
1971;399069;Literal;129291 
1989;287898;Literal;129290 
2028;159174;Identifier;129283 
2085;213800;Literal;129265 
2124;309815;Literal;129231 
2167;215085;Identifier;129226 
2311;394957;Literal;129215 
2322;142318;Identifier;129213 
2365;26330;Literal;129201 
2383;400921;Literal;129191 
